RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,10809,Jim Furyk,38,0,3,8,2016430
1,0,32448,James Hahn,38,5,2,5,2016030
3,0,28679,Fabián Gómez,37,4,4,9,2016070
4,0,27644,Brian Harman,33,1,1,17,2016020
4,0,33122,Russell Knox,33,4,2,17,2016100
6,0,20396,Lee Westwood,32,0,1,15,2016420
7,0,20472,Alex Cejka,31,0,3,3,2016100
7,0,30926,Chris Kirk,31,1,3,2,2016100
9,0,28089,Jason Day,30,2,3,18,2016100
9,0,34099,Harris English,30,5,4,12,2016030
11,0,12510,Chad Campbell,29,3,1,12,2016460
11,0,29720,Andres Gonzales,29,0,3,17,2016350
13,0,24502,Adam Scott,28,5,4,5,2016480
14,0,27933,John Merrick,27,1,4,4,2016390
15,0,34360,Patrick Reed,26,0,1,9,2016100
15,0,34046,Jordan Spieth,26,0,1,9,2016100
17,0,48084,Wesley Bryan,25,3,1,10,2016450
17,0,32366,Kevin Chappell,25,1,1,1,2016070
17,0,37273,Derek Ernst,25,3,2,10,2016270
17,0,25900,Lucas Glover,25,3,4,15,2016200
17,0,23353,J.J. Henry,25,0,1,9,2016290
17,0,12716,Charley Hoffman,25,5,3,4,2016350
17,0,30925,Dustin Johnson,25,4,1,3,2016340
17,0,31420,Anirban Lahiri,25,2,1,1,2016120
25,0,25364,Paul Casey,24,2,2,11,2016420
25,0,25686,Jason Dufner,24,2,4,17,2016060
25,0,30711,Colt Knost,24,1,1,6,2016290
25,0,20691,Greg Owen,24,0,1,3,2016010
29,0,20098,Stuart Appleby,23,0,2,4,2016350
29,0,32839,Hideki Matsuyama,23,0,4,5,2016420
29,0,25396,Kevin Na,23,8,2,4,2016460
29,0,29476,Kyle Reifers,23,0,3,4,2016300
29,0,26331,Charl Schwartzel,23,3,4,14,2016010
29,0,29221,Webb Simpson,23,5,1,1,2016350
29,0,27770,Camilo Villegas,23,7,4,6,2016020
29,0,27095,Nick Watney,23,0,4,16,2016010
29,0,25804,Bubba Watson,23,8,3,13,2016470
38,0,33141,Keegan Bradley,22,2,2,1,2016030
38,0,24925,Jonathan Byrd,22,0,1,17,2016070
38,0,26499,Rafa Cabrera Bello,22,1,4,5,2016420
38,0,32200,Roberto Castro,22,0,1,11,2016040
38,0,49633,Charlie Danielson,22,3,1,10,2016450
38,0,27436,Graham DeLaet,22,3,2,14,2016120
38,0,29535,Brice Garnett,22,12,3,2,2016460
38,0,37455,Si Woo Kim,22,4,1,10,2016230
38,0,25572,Graeme McDowell,22,0,3,6,2016070
38,0,24140,Sean O'Hair,22,4,4,2,2016070
38,0,32139,Danny Willett,22,3,4,8,2016050
49,0,22371,Aaron Baddeley,21,2,3,11,2016120
49,0,35545,Blayne Barber,21,0,3,13,2016270
49,0,29268,Bronson Burgoon,21,2,2,18,2016040
49,0,20229,Stewart Cink,21,6,1,12,2016460
49,0,26851,Marc Leishman,21,2,1,3,2016200
49,0,28237,Rory McIlroy,21,4,3,12,2016050
