RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK
1,0,25349,Tim Wilkinson,5' 4",5.987,93,22
2,0,34358,Jonathan Randolph,5' 5",7.524,115,140
3,0,33120,Mark Anderson,5' 6",6.214,94,42
3,0,40009,Dominic Bozzelli,5' 6",8.378,126,122
3,0,33461,Morgan Hoffmann,5' 6",12.586,190,61
6,0,06522,Ernie Els,5' 7",6.408,95,161
6,0,24924,Bill Haas,5' 7",9.290,139,9
6,0,26758,David Hearn,5' 7",9.377,140,31
9,0,36801,Mark Hubbard,5' 8",8.127,120,104
9,0,26851,Marc Leishman,5' 8",11.360,166,39
9,0,25396,Kevin Na,5' 8",8.874,130,43
12,0,48084,Wesley Bryan,5' 9",12.696,184,49
12,0,01810,Phil Mickelson,5' 9",9.309,134,67
12,0,24138,Ian Poulter,5' 9",8.844,128,1
12,0,25493,Nick Taylor,5' 9",11.663,168,33
16,0,35110,Brett Drewitt,5' 10",5.964,85,81
16,0,29974,Branden Grace,5' 10",7.943,114,39
16,0,31420,Anirban Lahiri,5' 10",10.533,150,170
16,0,26331,Charl Schwartzel,5' 10",8.652,123,65
16,0,34046,Jordan Spieth,5' 10",9.045,130,34
16,0,34431,Robert Streb,5' 10",13.838,199,94
16,0,25892,Steve Wheatcroft,5' 10",6.065,87,11
23,0,25720,Chad Collins,5' 11",10.838,152,20
23,0,28252,Seamus Power,5' 11",9.520,134,12
23,0,27963,Chris Stroud,5' 11",6.841,96,79
26,0,32366,Kevin Chappell,6' 0",10.798,149,139
26,0,47959,Bryson DeChambeau,6' 0",9.438,131,127
28,0,19846,Brian Gay,6' 1",11.055,152,27
28,0,29222,Billy Hurley III,6' 1",10.265,141,97
28,0,27466,Spencer Levin,6' 1",10.255,141,43
28,0,24361,Pat Perez,6' 1",12.111,165,18
28,0,33418,Shawn Stefani,6' 1",8.706,119,75
33,0,25364,Paul Casey,6' 2",11.538,156,7
33,0,20593,Greg Chalmers,6' 2",10.362,140,80
33,0,30191,Julián Etulain,6' 2",8.024,109,103
33,0,25900,Lucas Glover,6' 2",11.387,154,58
33,0,27141,J.B. Holmes,6' 2",11.203,151,145
33,0,35891,Cameron Smith,6' 2",12.413,167,101
33,0,25632,Jimmy Walker,6' 2",7.112,96,129
33,0,47128,Richy Werenski,6' 2",9.072,123,48
41,0,24507,Jason Bohn,6' 3",10.218,136,132
41,0,28420,Ryan Brehm,6' 3",11.491,153,133
41,0,24357,K.J. Choi,6' 3",8.245,110,55
41,0,20229,Stewart Cink,6' 3",10.329,138,118
41,0,23983,Luke Donald,6' 3",7.532,101,70
41,0,23320,Ryan Palmer,6' 3",8.462,113,138
41,0,29908,C.T. Pan,6' 3",12.520,166,51
41,0,23621,Rory Sabbatini,6' 3",7.273,97,111
49,0,12510,Chad Campbell,6' 4",13.103,173,5
49,0,31416,Derek Fathauer,6' 4",9.928,130,180
49,0,29720,Andres Gonzales,6' 4",7.455,98,31
49,0,37455,Si Woo Kim,6' 4",10.800,143,167
49,0,36689,Brooks Koepka,6' 4",12.642,166,153
49,0,32839,Hideki Matsuyama,6' 4",9.726,128,37
49,0,28237,Rory McIlroy,6' 4",5.982,79,28
49,0,29221,Webb Simpson,6' 4",12.318,162,4
57,0,20771,Steven Alker,6' 5",7.475,97,73
57,0,34021,Bud Cauley,6' 5",13.298,173,110
57,0,12716,Charley Hoffman,6' 5",14.556,188,146
57,0,30944,Jason Kokrak,6' 5",13.790,180,179
57,0,23108,Matt Kuchar,6' 5",11.142,145,3
57,0,46732,Rick Lamb,6' 5",6.186,80,177
57,0,33419,Cameron Tringale,6' 5",11.567,150,95
64,0,27895,Jonas Blixt,6' 6",9.587,123,105
