RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,28089,Jason Day,68.53,1028,15
2,0,32102,Rickie Fowler,68.67,824,12
3,0,21209,Sergio Garcia,68.78,1238,18
4,0,26851,Marc Leishman,68.90,2136,31
5,0,28237,Rory McIlroy,68.92,827,12
6,0,34046,Jordan Spieth,69.00,966,14
7,0,30925,Dustin Johnson,69.07,967,14
8,0,25364,Paul Casey,69.12,1175,17
9,0,29725,Tony Finau,69.51,2989,43
10,0,25198,Francesco Molinari,69.65,1602,23
11,0,22405,Justin Rose,69.67,1045,15
12,0,48081,Xander Schauffele,69.68,2160,31
13,0,19803,Ryan Armour,69.71,976,14
14,0,30191,Julián Etulain,69.75,1395,20
14,0,27963,Chris Stroud,69.75,1116,16
16,0,33413,Ben Martin,69.76,2023,29
17,0,34098,Russell Henley,69.77,2093,30
18,0,25900,Lucas Glover,69.78,1884,27
18,0,46970,Jon Rahm,69.78,1256,18
20,0,20229,Stewart Cink,69.79,2373,34
21,0,26476,Chez Reavie,69.81,2164,31
22,0,28252,Seamus Power,69.86,1467,21
23,0,23108,Matt Kuchar,69.87,1607,23
24,0,29479,Scott Brown,69.91,1538,22
25,0,27129,Luke List,69.92,2657,38
26,0,46550,Brandon Hagy,69.93,1888,27
27,0,32839,Hideki Matsuyama,69.94,1259,18
28,0,01810,Phil Mickelson,69.95,1399,20
29,0,23621,Rory Sabbatini,70.00,1260,18
30,0,34021,Bud Cauley,70.04,1751,25
31,0,33141,Keegan Bradley,70.07,2032,29
31,0,35450,Patrick Cantlay,70.07,1051,15
33,0,39324,J.J. Spaun,70.08,1752,25
33,0,33419,Cameron Tringale,70.08,1682,24
35,0,29461,Jamie Lovemark,70.12,1823,26
36,0,30692,Scott Stallings,70.13,1613,23
37,0,12510,Chad Campbell,70.15,1824,26
37,0,31646,Emiliano Grillo,70.15,2315,33
39,0,29223,Sam Saunders,70.16,1333,19
39,0,28132,Tyrone Van Aswegen,70.16,2175,31
41,0,24924,Bill Haas,70.21,1685,24
42,0,27644,Brian Harman,70.24,2318,33
42,0,29221,Webb Simpson,70.24,2669,38
44,0,49771,J.T. Poston,70.25,2248,32
45,0,23320,Ryan Palmer,70.27,773,11
45,0,24138,Ian Poulter,70.27,1546,22
47,0,19846,Brian Gay,70.28,1757,25
48,0,34360,Patrick Reed,70.29,1968,28
48,0,27649,Brandt Snedeker,70.29,492,7
50,0,33418,Shawn Stefani,70.30,1898,27
51,0,34099,Harris English,70.33,1899,27
52,0,26758,David Hearn,70.36,1548,22
53,0,25396,Kevin Na,70.37,2111,30
54,0,24361,Pat Perez,70.38,2041,29
55,0,30110,Kyle Stanley,70.42,2676,38
56,0,25572,Graeme McDowell,70.44,1127,16
57,0,29720,Andres Gonzales,70.45,1409,20
57,0,46501,Ollie Schniederjans,70.45,2043,29
59,0,23541,Ben Crane,70.46,1832,26
59,0,23983,Luke Donald,70.46,916,13
61,0,28500,Martin Flores,70.48,1480,21
62,0,22371,Aaron Baddeley,70.50,1410,20
63,0,26331,Charl Schwartzel,70.55,1552,22
63,0,32333,Kevin Tway,70.55,2187,31
65,0,40026,Daniel Berger,70.56,1270,18
66,0,27974,Sung Kang,70.59,2612,37
66,0,29289,S.Y. Noh,70.59,1200,17
68,0,32448,James Hahn,70.62,2613,37
69,0,20771,Steven Alker,70.63,1130,16
69,0,33122,Russell Knox,70.63,1342,19
69,0,47128,Richy Werenski,70.63,1342,19
72,0,24357,K.J. Choi,70.64,1554,22
72,0,29476,Kyle Reifers,70.64,1766,25
72,0,34264,Hudson Swafford,70.64,2331,33
75,0,25686,Jason Dufner,70.65,1837,26
75,0,33204,Shane Lowry,70.65,1413,20
75,0,46601,Trey Mullinax,70.65,1413,20
78,0,23800,Bryce Molder,70.67,1696,24
79,0,29518,Brendan Steele,70.68,1979,28
80,0,40058,Zac Blair,70.70,2121,30
81,0,23497,Tag Ridings,70.74,1344,19
82,0,27436,Graham DeLaet,70.75,1415,20
83,0,39975,Michael Kim,70.76,2406,34
84,0,35545,Blayne Barber,70.78,1628,23
84,0,27141,J.B. Holmes,70.78,1911,27
84,0,24024,Zach Johnson,70.78,1628,23
84,0,35891,Cameron Smith,70.78,2265,32
88,0,34431,Robert Streb,70.79,2053,29
88,0,25349,Tim Wilkinson,70.79,1345,19
90,0,35532,Tom Hoge,70.80,1062,15
91,0,28093,Miguel Angel Carballo,70.81,1133,16
91,0,34174,John Huh,70.81,2266,32
91,0,26300,Matt Jones,70.81,1133,16
94,0,28420,Ryan Brehm,70.82,1558,22
95,0,31323,Gary Woodland,70.83,2479,35
96,0,30926,Chris Kirk,70.86,1984,28
96,0,23325,Vaughn Taylor,70.86,2551,36
98,0,31202,William McGirt,70.87,2197,31
99,0,24846,Ricky Barnes,70.88,2339,33
99,0,36689,Brooks Koepka,70.88,1205,17
99,0,34466,Peter Malnati,70.88,1843,26
102,0,27958,Ryan Blaum,70.89,2623,37
102,0,20472,Alex Cejka,70.89,1914,27
104,0,30944,Jason Kokrak,70.90,2198,31
105,0,22046,Geoff Ogilvy,70.91,1560,22
105,0,37189,Harold Varner III,70.91,2411,34
107,0,27095,Nick Watney,70.92,1702,24
108,0,23353,J.J. Henry,70.93,2128,30
109,0,33399,Adam Hadwin,70.94,2412,34
109,0,31557,Jim Herman,70.94,2341,33
111,0,24358,Robert Garrigus,70.95,1490,21
112,0,33461,Morgan Hoffmann,70.96,1845,26
113,0,12716,Charley Hoffman,71.03,2628,37
113,0,29420,Billy Horschel,71.03,2060,29
115,0,35506,Mackenzie Hughes,71.05,2771,39
116,0,24507,Jason Bohn,71.06,1208,17
117,0,24502,Adam Scott,71.10,711,10
118,0,27214,Kevin Streelman,71.11,1991,28
119,0,24140,Sean O'Hair,71.12,1778,25
120,0,29222,Billy Hurley III,71.13,2276,32
121,0,25493,Nick Taylor,71.15,1850,26
122,0,47959,Bryson DeChambeau,71.17,1637,23
122,0,20157,Retief Goosen,71.17,1281,18
122,0,29908,C.T. Pan,71.17,2064,29
125,0,36801,Mark Hubbard,71.18,1566,22
125,0,33448,Justin Thomas,71.18,783,11
127,0,36699,Patrick Rodgers,71.19,1495,21
128,0,32150,Michael Thompson,71.20,1424,20
129,0,33120,Mark Anderson,71.21,997,14
130,0,27770,Camilo Villegas,71.22,1282,18
131,0,27936,Martin Laird,71.24,2066,29
132,0,26289,Boo Weekley,71.25,1995,28
133,0,27895,Jonas Blixt,71.29,1711,24
133,0,40009,Dominic Bozzelli,71.29,998,14
133,0,22056,Cameron Percy,71.29,998,14
136,0,46440,Smylie Kaufman,71.30,1426,20
136,0,29478,Kevin Kisner,71.30,2353,33
136,0,34409,David Lingmerth,71.30,1925,27
139,0,29740,Brad Fritsch,71.33,1070,15
139,0,24781,Hunter Mahan,71.33,1498,21
141,0,26951,Johnson Wagner,71.35,1213,17
142,0,25191,Gonzalo Fernandez-Castaño,71.36,999,14
143,0,39954,Cody Gribble,71.38,1856,26
143,0,25632,Jimmy Walker,71.38,1142,16
145,0,20593,Greg Chalmers,71.39,2213,31
146,0,32757,Patton Kizzire,71.43,2143,30
146,0,46732,Rick Lamb,71.43,1000,14
146,0,31560,Brian Stuard,71.43,2857,40
149,0,21961,Charles Howell III,71.47,2287,32
150,0,29485,Brett Stegmaier,71.48,1644,23
151,0,26329,Louis Oosthuizen,71.52,1502,21
152,0,30852,Ryo Ishikawa,71.53,1073,15
152,0,37278,Nicholas Lindheim,71.53,1073,15
154,0,27466,Spencer Levin,71.55,1574,22
155,0,32366,Kevin Chappell,71.56,2290,32
156,0,33948,Byeong Hun An,71.58,1718,24
156,0,26596,Ryan Moore,71.58,1861,26
158,0,34213,Grayson Murray,71.59,2076,29
159,0,35110,Brett Drewitt,71.60,1432,20
160,0,25720,Chad Collins,71.61,1289,18
160,0,27064,Jhonattan Vegas,71.61,2363,33
162,0,26499,Rafa Cabrera Bello,71.63,1361,19
163,0,28679,Fabián Gómez,71.69,1147,16
163,0,25804,Bubba Watson,71.69,1147,16
165,0,37454,Whee Kim,71.73,1076,15
166,0,28307,Matt Every,71.75,1435,20
167,0,25818,Scott Piercy,71.76,1220,17
168,0,29974,Branden Grace,71.78,1651,23
168,0,35879,Kelly Kraft,71.78,1651,23
168,0,31420,Anirban Lahiri,71.78,1651,23
171,0,10809,Jim Furyk,71.79,1005,14
172,0,31416,Derek Fathauer,71.81,1149,16
173,0,25240,D.A. Points,71.82,1580,22
174,0,25892,Steve Wheatcroft,71.92,863,12
175,0,32200,Roberto Castro,72.00,1728,24
175,0,48822,Sebastián Muñoz,72.00,1152,16
177,0,20572,Rod Pampling,72.07,2162,30
178,0,48084,Wesley Bryan,72.10,2091,29
178,0,29926,Danny Lee,72.10,2235,31
180,0,25345,Carl Pettersson,72.12,1226,17
181,0,32640,Troy Merritt,72.26,1662,23
182,0,46443,Brian Campbell,72.27,1084,15
183,0,22986,Søren Kjeldsen,72.36,1013,14
184,0,35300,Andrew Loupe,72.40,1086,15
185,0,25834,Daniel Summerhays,72.44,1811,25
186,0,34358,Jonathan Randolph,72.56,1306,18
187,0,37455,Si Woo Kim,72.63,1743,24
188,0,20104,Ken Duke,73.00,803,11
189,0,06522,Ernie Els,73.45,808,11
190,0,25274,Steven Bowditch,73.77,1623,22
