RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,30925,Dustin Johnson,46' 11",1173.917,25,-7
2,0,25198,Francesco Molinari,57' 6",1264.833,22,-3
3,0,34046,Jordan Spieth,58' 7",2341.667,40,-18
4,0,24138,Ian Poulter,59' 1",1891.917,32,E
5,0,32366,Kevin Chappell,59' 2",1775.000,30,-8
6,0,32839,Hideki Matsuyama,60' 1",1682.417,28,-2
6,0,24502,Adam Scott,60' 1",1682.250,28,-4
8,0,21961,Charles Howell III,60' 7",2241.417,37,-7
9,0,23320,Ryan Palmer,60' 8",2243.833,37,-11
10,0,29908,C.T. Pan,60' 9",2064.417,34,+2
10,0,48081,Xander Schauffele,60' 9",2188.083,36,-2
12,0,26476,Chez Reavie,61' 5",1289.000,21,+1
13,0,25686,Jason Dufner,61' 6",1414.083,23,-3
14,0,22405,Justin Rose,61' 7",1540.167,25,-8
15,0,35545,Blayne Barber,61' 9",2039.083,33,-2
16,0,25632,Jimmy Walker,62' 3",2739.500,44,+5
17,0,46435,Austin Cook,62' 8",2192.250,35,-1
18,0,24361,Pat Perez,62' 10",1822.000,29,-3
19,0,27129,Luke List,63' 0",3967.083,63,-15
20,0,37338,Zecheng Dou,63' 3",1201.083,19,-1
20,0,34363,Tyrrell Hatton,63' 3",1328.250,21,+4
22,0,32333,Kevin Tway,63' 4",3928.417,62,-14
23,0,25804,Bubba Watson,63' 6",2158.583,34,-6
24,0,25818,Scott Piercy,63' 8",2546.000,40,-5
25,0,33141,Keegan Bradley,64' 5",2446.333,38,-4
25,0,35879,Kelly Kraft,64' 5",3155.500,49,+8
25,0,46601,Trey Mullinax,64' 5",1996.833,31,-8
28,0,29485,Brett Stegmaier,64' 8",1228.167,19,-2
29,0,27556,Ted Potter Jr.,64' 9",2847.583,44,+3
30,0,47959,Bryson DeChambeau,64' 10",2723.917,42,-13
31,0,29725,Tony Finau,65' 0",4290.083,66,-15
31,0,34563,Chesson Hadley,65' 0",2861.333,44,-4
33,0,48084,Wesley Bryan,65' 2",2931.167,45,+11
34,0,27141,J.B. Holmes,65' 4",2091.000,32,-5
35,0,23541,Ben Crane,65' 8",1905.000,29,+5
36,0,32102,Rickie Fowler,65' 9",2565.083,39,-5
36,0,28775,Nate Lashley,65' 9",1249.333,19,-7
38,0,19803,Ryan Armour,66' 3",2450.167,37,-2
38,0,32640,Troy Merritt,66' 3",3180.417,48,-10
40,0,27895,Jonas Blixt,66' 5",2390.917,36,-6
41,0,35544,Andrew Yun,66' 7",1664.250,25,+7
42,0,30911,Tommy Fleetwood,66' 8",1800.000,27,-2
42,0,34409,David Lingmerth,66' 8",2267.250,34,-2
44,0,22371,Aaron Baddeley,66' 10",3007.000,45,-7
45,0,25240,D.A. Points,66' 11",2410.417,36,-6
46,0,33122,Russell Knox,67' 2",1813.500,27,-5
47,0,25396,Kevin Na,67' 3",3094.833,46,+5
48,0,25364,Paul Casey,67' 5",1820.000,27,-5
48,0,32757,Patton Kizzire,67' 5",3235.750,48,-7
50,0,47287,Ethan Tracy,67' 7",1554.500,23,+3
51,0,35376,Roberto Díaz,67' 8",2164.500,32,+1
52,0,26300,Matt Jones,67' 9",1895.833,28,+8
52,0,39975,Michael Kim,67' 9",2845.750,42,-1
52,0,27649,Brandt Snedeker,67' 9",2372.333,35,-3
55,0,27214,Kevin Streelman,67' 10",2035.417,30,-5
56,0,28500,Martin Flores,68' 0",3197.583,47,-6
57,0,31416,Derek Fathauer,68' 1",3675.417,54,-1
57,0,20157,Retief Goosen,68' 1",2041.583,30,-1
57,0,35532,Tom Hoge,68' 1",3471.417,51,-6
60,0,26596,Ryan Moore,68' 2",2318.583,34,-3
60,0,26331,Charl Schwartzel,68' 2",1841.167,27,+1
62,0,33399,Adam Hadwin,68' 3",2046.333,30,-3
63,0,27349,Alex Noren,68' 5",2737.417,40,-6
64,0,30926,Chris Kirk,68' 6",3834.500,56,-4
64,0,47993,Denny McCarthy,68' 6",1986.167,29,-5
64,0,20572,Rod Pampling,68' 6",2054.000,30,E
67,0,12510,Chad Campbell,68' 9",2338.167,34,-2
67,0,37278,Nicholas Lindheim,68' 9",2407.083,35,-2
69,0,28252,Seamus Power,68' 11",3170.083,46,-3
70,0,46501,Ollie Schniederjans,69' 2",3735.750,54,+1
71,0,27936,Martin Laird,69' 7",2436.833,35,-5
71,0,31323,Gary Woodland,69' 7",2156.750,31,-5
73,0,47125,Matt Atkins,69' 8",1741.500,25,-5
74,0,27963,Chris Stroud,69' 9",2860.583,41,-3
74,0,27095,Nick Watney,69' 9",2789.500,40,-15
76,0,28132,Tyrone Van Aswegen,69' 10",3563.333,51,-5
77,0,37454,Whee Kim,69' 11",3217.500,46,+2
77,0,08793,Tiger Woods,69' 11",2166.250,31,-5
79,0,49771,J.T. Poston,70' 3",2389.000,34,+2
80,0,33948,Byeong Hun An,70' 4",2533.333,36,-4
81,0,22582,Kyle Thompson,70' 5",1408.167,20,+1
82,0,34431,Robert Streb,70' 6",3313.917,47,+4
83,0,29461,Jamie Lovemark,70' 7",3389.333,48,-11
83,0,32150,Michael Thompson,70' 7",1765.417,25,-5
85,0,29535,Brice Garnett,70' 8",2403.917,34,-1
85,0,34264,Hudson Swafford,70' 8",1413.750,20,-7
87,0,27942,Rob Oppenheim,70' 9",2689.917,38,+5
87,0,29484,Peter Uihlein,70' 9",2759.000,39,-7
89,0,39997,Corey Conners,70' 10",2620.000,37,E
89,0,23108,Matt Kuchar,70' 10",2266.000,32,E
91,0,24846,Ricky Barnes,70' 11",3758.583,53,-17
92,0,37189,Harold Varner III,71' 0",3265.500,46,-9
93,0,33410,Andrew Landry,71' 1",2132.667,30,+7
94,0,24140,Sean O'Hair,71' 2",2705.750,38,E
95,0,29478,Kevin Kisner,71' 3",1639.500,23,E
96,0,40026,Daniel Berger,71' 4",2712.083,38,-7
96,0,50526,Tom Lovelady,71' 4",3782.417,53,-12
98,0,20229,Stewart Cink,71' 5",1999.500,28,-7
99,0,25572,Graeme McDowell,71' 6",2145.417,30,-4
100,0,34076,Joel Dahmen,71' 7",2363.250,33,-10
100,0,26758,David Hearn,71' 7",2003.833,28,E
102,0,36799,Stephan Jaeger,71' 8",3226.583,45,-12
102,0,31560,Brian Stuard,71' 8",2221.833,31,+8
104,0,26951,Johnson Wagner,71' 10",2226.667,31,-4
105,0,36689,Brooks Koepka,71' 11",2589.750,36,-10
106,0,12716,Charley Hoffman,72' 0",3094.417,43,-12
107,0,01810,Phil Mickelson,72' 1",3170.083,44,-11
107,0,34358,Jonathan Randolph,72' 1",2595.750,36,-2
107,0,30692,Scott Stallings,72' 1",2883.833,40,-2
110,0,46970,Jon Rahm,72' 6",1812.000,25,-5
111,0,32448,James Hahn,72' 7",2832.250,39,-6
111,0,33418,Shawn Stefani,72' 7",3557.250,49,-8
113,0,34174,John Huh,72' 10",3057.333,42,-1
114,0,35310,Lanto Griffin,73' 2",3951.417,54,-5
115,0,24924,Bill Haas,73' 3",3001.667,41,-7
116,0,27958,Ryan Blaum,73' 7",2869.833,39,+3
116,0,33448,Justin Thomas,73' 7",3309.583,45,-20
118,0,40009,Dominic Bozzelli,73' 9",2433.000,33,-12
118,0,35891,Cameron Smith,73' 9",2728.333,37,-8
120,0,34098,Russell Henley,73' 10",2216.167,30,+4
120,0,33413,Ben Martin,73' 10",2879.917,39,-1
120,0,47128,Richy Werenski,73' 10",2435.750,33,-5
123,0,29974,Branden Grace,74' 0",2590.083,35,-1
124,0,34360,Patrick Reed,74' 2",4154.333,56,-9
125,0,30978,Kiradech Aphibarnrat,74' 3",965.500,13,-2
125,0,26329,Louis Oosthuizen,74' 3",965.583,13,+1
127,0,49964,Aaron Wise,74' 6",2681.750,36,-5
128,0,29420,Billy Horschel,74' 7",2460.667,33,-3
129,0,27644,Brian Harman,74' 8",1718.000,23,+2
129,0,23325,Vaughn Taylor,74' 8",2464.583,33,+2
131,0,30110,Kyle Stanley,74' 9",2390.917,32,+3
132,0,25900,Lucas Glover,75' 0",1950.917,26,-9
133,0,39328,Conrad Shindler,75' 2",1202.917,16,+1
134,0,26499,Rafa Cabrera Bello,75' 3",2183.417,29,+2
135,0,23621,Rory Sabbatini,75' 4",2788.417,37,-1
136,0,10809,Jim Furyk,75' 6",1435.083,19,+3
137,0,29926,Danny Lee,75' 8",3025.250,40,-3
138,0,26851,Marc Leishman,75' 9",2727.500,36,-7
139,0,29221,Webb Simpson,75' 11",4250.250,56,-4
139,0,25892,Steve Wheatcroft,75' 11",1898.750,25,+1
141,0,35461,Beau Hossler,76' 1",2739.917,36,-6
142,0,24925,Jonathan Byrd,76' 2",2665.167,35,-4
143,0,29518,Brendan Steele,76' 4",1985.333,26,-1
144,0,29479,Scott Brown,76' 5",4280.167,56,-6
145,0,40058,Zac Blair,76' 11",2615.167,34,+7
145,0,35450,Patrick Cantlay,76' 11",3383.833,44,-8
147,0,27064,Jhonattan Vegas,77' 3",4170.833,54,-4
148,0,39954,Cody Gribble,77' 4",3787.667,49,+3
149,0,46402,Talor Gooch,77' 6",3798.667,49,E
149,0,28237,Rory McIlroy,77' 6",2093.083,27,-6
151,0,37275,Sam Ryder,77' 7",2791.583,36,-1
152,0,20472,Alex Cejka,77' 8",1553.583,20,-5
153,0,30944,Jason Kokrak,77' 9",4353.083,56,-15
153,0,33204,Shane Lowry,77' 9",1709.667,22,E
153,0,47347,Adam Schenk,77' 9",3499.000,45,-2
156,0,24358,Robert Garrigus,77' 11",4598.000,59,-9
156,0,25834,Daniel Summerhays,77' 11",2570.500,33,E
158,0,34213,Grayson Murray,78' 0",2729.750,35,-8
159,0,28679,Fabián Gómez,78' 6",2748.917,35,-6
159,0,32876,Martin Piller,78' 6",3453.833,44,+4
161,0,45609,Tyler Duncan,78' 8",2987.917,38,E
161,0,32816,Satoshi Kodaira,78' 8",1573.250,20,+6
163,0,28307,Matt Every,78' 10",3940.333,50,E
163,0,31202,William McGirt,78' 10",3782.750,48,-6
165,0,29222,Billy Hurley III,78' 11",2999.083,38,+13
166,0,29268,Bronson Burgoon,79' 2",2771.167,35,+2
166,0,35421,Brandon Harkins,79' 2",4512.167,57,-8
168,0,31420,Anirban Lahiri,79' 3",3485.417,44,+6
169,0,39324,J.J. Spaun,79' 8",2947.667,37,-5
170,0,19846,Brian Gay,79' 9",2871.833,36,+6
170,0,33419,Cameron Tringale,79' 9",3189.500,40,+6
172,0,28089,Jason Day,79' 11",1758.917,22,+1
173,0,21528,Henrik Stenson,80' 0",1439.500,18,-3
174,0,36699,Patrick Rodgers,80' 1",2883.333,36,+2
175,0,34021,Bud Cauley,80' 6",2255.083,28,E
176,0,22056,Cameron Percy,80' 7",1530.333,19,+1
177,0,35506,Mackenzie Hughes,80' 9",2827.000,35,-4
178,0,37455,Si Woo Kim,81' 2",3734.250,46,-6
179,0,34099,Harris English,81' 5",3665.333,45,-8
180,0,39546,Keith Mitchell,82' 0",3688.333,45,-7
180,0,34256,Andrew Putnam,82' 0",5249.917,64,E
180,0,39327,Ben Silverman,82' 0",3363.667,41,+2
183,0,23353,J.J. Henry,82' 2",2628.917,32,-1
184,0,29223,Sam Saunders,82' 9",3228.167,39,-1
185,0,27974,Sung Kang,82' 10",3892.417,47,-6
186,0,24781,Hunter Mahan,83' 1",2741.167,33,+5
187,0,34466,Peter Malnati,83' 6",3006.750,36,-2
188,0,45526,Abraham Ancer,84' 3",3705.167,44,+10
189,0,24024,Zach Johnson,85' 0",2379.000,28,-1
190,0,25493,Nick Taylor,85' 1",3659.500,43,-6
191,0,31646,Emiliano Grillo,85' 7",2994.000,35,-2
192,0,32254,Xinjun Zhang,86' 8",3119.333,36,+6
193,0,20593,Greg Chalmers,87' 0",2521.917,29,+2
