RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,22405,Justin Rose,34' 4",75,2576.417,-7.00
2,0,27214,Kevin Streelman,36' 8",80,2933.250,-1.00
3,0,24138,Ian Poulter,36' 9",59,2169.833,-1.00
4,0,30925,Dustin Johnson,37' 4",104,3886.417,-2.00
5,0,33410,Andrew Landry,37' 5",92,3442.833,+19.00
6,0,25818,Scott Piercy,37' 7",92,3454.917,+19.00
7,0,24924,Bill Haas,38' 6",99,3815.250,-3.00
8,0,12716,Charley Hoffman,38' 7",97,3745.917,+1.00
9,0,30944,Jason Kokrak,39' 2",152,5953.000,+2.00
10,0,37338,Zecheng Dou,39' 4",89,3499.000,+16.00
11,0,45609,Tyler Duncan,39' 7",113,4475.167,+15.00
12,0,32102,Rickie Fowler,39' 11",81,3230.417,+7.00
12,0,46601,Trey Mullinax,39' 11",130,5189.250,-2.00
14,0,29908,C.T. Pan,40' 4",118,4760.083,+17.00
15,0,25804,Bubba Watson,40' 5",124,5016.750,+1.00
16,0,20572,Rod Pampling,40' 8",66,2686.167,+9.00
17,0,20157,Retief Goosen,40' 9",88,3589.083,+13.00
18,0,47959,Bryson DeChambeau,40' 10",124,5059.833,-1.00
19,0,12510,Chad Campbell,41' 0",110,4511.667,+4.00
20,0,27942,Rob Oppenheim,41' 1",106,4357.667,+8.00
21,0,27936,Martin Laird,41' 2",70,2882.333,+7.00
22,0,20472,Alex Cejka,41' 3",115,4739.000,+10.00
23,0,29484,Peter Uihlein,41' 4",129,5327.833,+6.00
23,0,08793,Tiger Woods,41' 4",93,3844.917,+6.00
25,0,22371,Aaron Baddeley,41' 5",161,6673.333,+10.00
25,0,40058,Zac Blair,41' 5",74,3066.833,+13.00
25,0,46970,Jon Rahm,41' 5",77,3189.167,+6.00
28,0,25364,Paul Casey,41' 7",82,3408.083,-2.00
28,0,32366,Kevin Chappell,41' 7",119,4951.417,+14.00
28,0,34076,Joel Dahmen,41' 7",108,4487.250,-4.00
28,0,23108,Matt Kuchar,41' 7",119,4947.250,-5.00
28,0,26476,Chez Reavie,41' 7",73,3032.833,+12.00
33,0,36689,Brooks Koepka,41' 10",122,5102.417,+9.00
33,0,26331,Charl Schwartzel,41' 10",77,3222.750,+10.00
35,0,27141,J.B. Holmes,41' 11",139,5825.917,-5.00
35,0,27095,Nick Watney,41' 11",147,6156.083,+5.00
37,0,29485,Brett Stegmaier,42' 0",107,4491.917,+22.00
37,0,31560,Brian Stuard,42' 0",112,4699.750,+11.00
39,0,33948,Byeong Hun An,42' 2",123,5190.583,+19.00
39,0,37455,Si Woo Kim,42' 2",131,5520.417,+19.00
39,0,31202,William McGirt,42' 2",142,5990.833,+3.00
42,0,24925,Jonathan Byrd,42' 3",88,3714.417,+14.00
42,0,22056,Cameron Percy,42' 3",84,3548.583,+2.00
44,0,33418,Shawn Stefani,42' 4",113,4780.917,+8.00
44,0,47287,Ethan Tracy,42' 4",96,4061.833,+12.00
46,0,33122,Russell Knox,42' 5",85,3603.833,+5.00
