RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,22405,Justin Rose,2260,2,11
2,0,08793,Tiger Woods,2219,1,7,41
3,0,47959,Bryson DeChambeau,2188,3,9,72
4,0,30925,Dustin Johnson,2056,3,12,204
5,0,29420,Billy Horschel,1840,1,6,420
6,0,29725,Tony Finau,1732,0,11,528
7,0,33448,Justin Thomas,1610,3,10,650
8,0,33141,Keegan Bradley,1253,1,5,1007
9,0,36689,Brooks Koepka,1093,2,6,1167
10,0,25804,Bubba Watson,918,3,6,1342
11,0,29221,Webb Simpson,844,1,9,1416
12,0,35891,Cameron Smith,660,0,7,1600
13,0,32839,Hideki Matsuyama,602,0,4,1658
13,0,28237,Rory McIlroy,602,1,7,1658
15,0,48081,Xander Schauffele,581,0,7,1679
16,0,28089,Jason Day,564,2,5,1696
17,0,32102,Rickie Fowler,512,0,6,1748
17,0,25198,Francesco Molinari,512,2,5,1748
19,0,30911,Tommy Fleetwood,483,0,6,1777
20,0,35450,Patrick Cantlay,453,1,7,1807
21,0,01810,Phil Mickelson,448,1,6,1812
22,0,34360,Patrick Reed,438,1,7,1822
23,0,46970,Jon Rahm,422,1,5,1838
24,0,49964,Aaron Wise,418,1,4,1842
25,0,25364,Paul Casey,403,1,5,1857
26,0,31323,Gary Woodland,385,1,3,1875
27,0,30110,Kyle Stanley,373,0,5,1887
28,0,25396,Kevin Na,336,1,4,1924
29,0,26851,Marc Leishman,284,0,6,1976
30,0,32757,Patton Kizzire,275,2,4,1985
31,0,34046,Jordan Spieth,1323,0,5,4466
32,0,31646,Emiliano Grillo,1270,0,6,4519
33,0,34256,Andrew Putnam,1267,1,5,4522
34,0,26476,Chez Reavie,1252,0,3,4537
35,0,29908,C.T. Pan,1238,0,2,4551
36,0,33399,Adam Hadwin,1226,0,3,4563
37,0,33410,Andrew Landry,1225,1,5,4564
38,0,46435,Austin Cook,1203,1,3,4586
39,0,24361,Pat Perez,1190,1,4,4599
40,0,27649,Brandt Snedeker,1188,1,4,4601
41,0,26499,Rafa Cabrera Bello,1175,0,5,4614
42,0,33948,Byeong Hun An,1170,0,4,4619
43,0,27349,Alex Noren,1169,0,3,4620
44,0,34563,Chesson Hadley,1163,0,7,4626
45,0,27129,Luke List,1150,0,5,4639
46,0,35461,Beau Hossler,1134,0,5,4655
47,0,29478,Kevin Kisner,1132,0,4,4657
48,0,27644,Brian Harman,1129,0,8,4660
49,0,19803,Ryan Armour,1113,1,3,4676
50,0,24138,Ian Poulter,1090,1,4,4699
51,0,24502,Adam Scott,1081,0,3,4708
52,0,30944,Jason Kokrak,1053,0,4,4736
53,0,21961,Charles Howell III,1041,0,4,4748
54,0,34363,Tyrrell Hatton,1041,0,4,4748
55,0,37455,Si Woo Kim,1026,0,5,4763
56,0,29518,Brendan Steele,1015,1,3,4774
57,0,21528,Henrik Stenson,990,0,5,4799
58,0,24024,Zach Johnson,981,0,2,4808
59,0,19846,Brian Gay,949,0,6,4840
60,0,45526,Abraham Ancer,938,0,5,4851
61,0,29535,Brice Garnett,933,1,2,4856
62,0,39324,J.J. Spaun,919,0,4,4870
63,0,23320,Ryan Palmer,916,0,3,4873
64,0,29484,Peter Uihlein,911,0,4,4878
65,0,27556,Ted Potter Jr.,889,1,1,4900
66,0,30926,Chris Kirk,888,0,4,4901
67,0,39546,Keith Mitchell,878,0,4,4911
