RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,32150,Michael Thompson,11' 11",2343.667,197,62,5"
2,0,35376,Roberto Díaz,11' 7",1950.750,168,57,7"
3,0,37454,Whee Kim,11' 3",2879.250,255,64,3"
3,0,37278,Nicholas Lindheim,11' 3",2331.083,207,59,3"
5,0,20593,Greg Chalmers,11' 2",1314.000,118,42,1
5,0,31646,Emiliano Grillo,11' 2",3249.750,291,58,2"
5,0,35461,Beau Hossler,11' 2",3683.333,331,70,2"
8,0,27644,Brian Harman,11' 1",2843.917,257,58,6"
8,0,39327,Ben Silverman,11' 1",2771.417,250,56,3"
10,0,33122,Russell Knox,11' 0",2555.667,233,54,2"
11,0,27958,Ryan Blaum,10' 10",2822.667,260,49,3"
11,0,48084,Wesley Bryan,10' 10",1740.583,161,58,3"
11,0,34099,Harris English,10' 10",2455.667,226,51,6"
11,0,27942,Rob Oppenheim,10' 10",1817.917,168,43,5"
15,0,27649,Brandt Snedeker,10' 9",2773.083,257,49,1"
15,0,29485,Brett Stegmaier,10' 9",1806.833,168,60,4"
17,0,10809,Jim Furyk,10' 8",1425.667,134,59,3"
17,0,39975,Michael Kim,10' 8",1754.000,165,50,3"
17,0,29478,Kevin Kisner,10' 8",2175.583,204,54,4"
17,0,25396,Kevin Na,10' 8",2885.500,271,62,3"
17,0,35544,Andrew Yun,10' 8",1113.083,104,64,1"
22,0,30978,Kiradech Aphibarnrat,10' 7",1129.833,107,49,5"
22,0,31416,Derek Fathauer,10' 7",2275.833,215,63,2"
22,0,27936,Martin Laird,10' 7",2404.333,228,56,2"
22,0,25240,D.A. Points,10' 7",1574.917,149,55,1"
22,0,39328,Conrad Shindler,10' 7",1489.000,141,50,3"
27,0,33410,Andrew Landry,10' 6",2481.750,236,56,2"
27,0,31202,William McGirt,10' 6",2523.167,240,42,4"
29,0,19803,Ryan Armour,10' 5",3498.000,335,60,5"
29,0,19846,Brian Gay,10' 5",3449.417,332,59,3"
29,0,33399,Adam Hadwin,10' 5",2328.250,224,57,4"
29,0,47347,Adam Schenk,10' 5",2229.583,214,51,3"
29,0,25834,Daniel Summerhays,10' 5",1156.417,111,40,4"
29,0,26951,Johnson Wagner,10' 5",1931.833,186,50,5"
35,0,35545,Blayne Barber,10' 4",2219.500,214,55,2"
35,0,26758,David Hearn,10' 4",1805.000,175,42,6"
35,0,24024,Zach Johnson,10' 4",2711.583,263,46,5"
35,0,26300,Matt Jones,10' 4",1656.500,160,63,2"
35,0,23108,Matt Kuchar,10' 4",2324.750,225,64,3"
35,0,47993,Denny McCarthy,10' 4",1735.250,168,62,4"
35,0,24361,Pat Perez,10' 4",1819.000,176,43,3"
35,0,28252,Seamus Power,10' 4",2329.833,226,60,1"
35,0,33419,Cameron Tringale,10' 4",1589.833,154,58,4"
44,0,39954,Cody Gribble,10' 3",1914.000,186,48,2"
44,0,27349,Alex Noren,10' 3",1678.750,164,42,2"
44,0,49771,J.T. Poston,10' 3",2109.083,206,62,2"
44,0,30692,Scott Stallings,10' 3",2627.500,257,55,4"
44,0,37189,Harold Varner III,10' 3",2582.833,252,56,3"
49,0,24846,Ricky Barnes,10' 2",1702.250,168,47,6"
49,0,46402,Talor Gooch,10' 2",2011.583,198,52,2"
49,0,24924,Bill Haas,10' 2",1884.500,186,52,5"
49,0,50526,Tom Lovelady,10' 2",2594.750,255,51,1"
49,0,33204,Shane Lowry,10' 2",1764.500,173,74,2"
49,0,30110,Kyle Stanley,10' 2",2523.667,249,59,4"
55,0,34098,Russell Henley,10' 1",2081.083,206,47,1"
55,0,29222,Billy Hurley III,10' 1",1714.000,170,47,2"
55,0,31420,Anirban Lahiri,10' 1",2252.917,223,44,3"
58,0,37338,Zecheng Dou,10' 0",1088.250,109,47,2"
58,0,28679,Fabián Gómez,10' 0",2171.000,217,57,2"
58,0,26476,Chez Reavie,10' 0",2073.500,208,37,1"
58,0,23621,Rory Sabbatini,10' 0",2638.000,263,67,1"
58,0,29221,Webb Simpson,10' 0",2841.333,284,50,3"
58,0,34431,Robert Streb,10' 0",1975.333,198,64,3"
58,0,31560,Brian Stuard,10' 0",2838.750,284,51,7"
65,0,28500,Martin Flores,9' 11",2340.833,237,69,3"
65,0,25900,Lucas Glover,9' 11",1452.000,147,44,4"
65,0,33413,Ben Martin,9' 11",1860.333,188,45,2"
65,0,34256,Andrew Putnam,9' 11",2592.750,262,53,2"
65,0,34358,Jonathan Randolph,9' 11",1750.500,176,59,5"
65,0,29484,Peter Uihlein,9' 11",2209.417,223,51,4"
71,0,40058,Zac Blair,9' 10",1597.500,162,58,4"
71,0,26499,Rafa Cabrera Bello,9' 10",1746.000,178,50,7"
71,0,34363,Tyrrell Hatton,9' 10",1351.417,137,49,4"
71,0,35506,Mackenzie Hughes,9' 10",2340.333,237,73,3"
71,0,30944,Jason Kokrak,9' 10",3116.333,318,51,4"
71,0,25572,Graeme McDowell,9' 10",1496.417,152,64,1"
71,0,27556,Ted Potter Jr.,9' 10",2470.333,252,39,7"
71,0,27095,Nick Watney,9' 10",2778.833,282,59,1"
71,0,49964,Aaron Wise,9' 10",3082.333,313,58,2"
80,0,20229,Stewart Cink,9' 9",2193.500,225,57,2"
80,0,29725,Tony Finau,9' 9",3168.583,324,53,2"
80,0,12716,Charley Hoffman,9' 9",2253.083,232,50,5"
80,0,35532,Tom Hoge,9' 9",2878.083,296,54,6"
80,0,34174,John Huh,9' 9",2753.583,282,45,1"
80,0,30926,Chris Kirk,9' 9",3367.333,344,61,4"
80,0,24138,Ian Poulter,9' 9",1710.083,176,45,4"
80,0,36699,Patrick Rodgers,9' 9",2339.083,240,54,3"
88,0,29479,Scott Brown,9' 8",2461.333,255,69,2"
88,0,34021,Bud Cauley,9' 8",1354.000,140,52,4"
88,0,20472,Alex Cejka,9' 8",1837.250,190,44,5"
88,0,39997,Corey Conners,9' 8",2628.083,272,63,2"
88,0,46435,Austin Cook,9' 8",3298.333,340,70,1"
88,0,34076,Joel Dahmen,9' 8",2395.167,248,55,5"
88,0,25686,Jason Dufner,9' 8",1696.750,175,59,4"
88,0,30911,Tommy Fleetwood,9' 8",2205.083,228,57,1"
88,0,35421,Brandon Harkins,9' 8",3069.000,317,61,2"
88,0,21961,Charles Howell III,9' 8",2518.417,261,51,4"
88,0,28132,Tyrone Van Aswegen,9' 8",2516.500,261,78,8"
88,0,25632,Jimmy Walker,9' 8",2134.333,221,59,1"
100,0,45526,Abraham Ancer,9' 7",2752.333,286,59,3"
