RANK,MOVEMENT,PLAYER_ID,PLAYER,% TIMES IMPROVED,# OF TIMES IMPROVED
1,0,12510,Chad Campbell,100.0,1
1,0,20229,Stewart Cink,100.0,2
1,0,23541,Ben Crane,100.0,1
1,0,21961,Charles Howell III,100.0,1
1,0,27974,Sung Kang,100.0,1
1,0,37455,Si Woo Kim,100.0,2
1,0,32757,Patton Kizzire,100.0,2
1,0,30944,Jason Kokrak,100.0,2
1,0,37278,Nicholas Lindheim,100.0,1
1,0,50526,Tom Lovelady,100.0,2
1,0,31202,William McGirt,100.0,1
1,0,39546,Keith Mitchell,100.0,3
1,0,46601,Trey Mullinax,100.0,2
1,0,24140,Sean O'Hair,100.0,1
1,0,22056,Cameron Percy,100.0,1
1,0,32876,Martin Piller,100.0,1
1,0,25240,D.A. Points,100.0,1
1,0,34358,Jonathan Randolph,100.0,1
1,0,34360,Patrick Reed,100.0,4
1,0,47347,Adam Schenk,100.0,1
1,0,24502,Adam Scott,100.0,2
1,0,29518,Brendan Steele,100.0,2
1,0,21528,Henrik Stenson,100.0,5
1,0,27095,Nick Watney,100.0,1
25,0,47959,Bryson DeChambeau,87.5,7
26,0,29420,Billy Horschel,85.7,6
27,0,01810,Phil Mickelson,83.3,5
28,0,22405,Justin Rose,80.0,8
29,0,34563,Chesson Hadley,75.0,6
29,0,27141,J.B. Holmes,75.0,3
29,0,37454,Whee Kim,75.0,3
29,0,33410,Andrew Landry,75.0,3
29,0,27129,Luke List,75.0,3
29,0,24361,Pat Perez,75.0,3
29,0,29221,Webb Simpson,75.0,3
29,0,25804,Bubba Watson,75.0,3
29,0,08793,Tiger Woods,75.0,6
38,0,30925,Dustin Johnson,70.0,7
39,0,33141,Keegan Bradley,66.7,2
39,0,29268,Bronson Burgoon,66.7,2
39,0,26499,Rafa Cabrera Bello,66.7,2
39,0,34076,Joel Dahmen,66.7,2
39,0,25686,Jason Dufner,66.7,2
39,0,45609,Tyler Duncan,66.7,2
39,0,29535,Brice Garnett,66.7,2
39,0,24024,Zach Johnson,66.7,2
39,0,36689,Brooks Koepka,66.7,4
39,0,25198,Francesco Molinari,66.7,2
39,0,25396,Kevin Na,66.7,2
39,0,27349,Alex Noren,66.7,2
39,0,37275,Sam Ryder,66.7,2
39,0,27649,Brandt Snedeker,66.7,2
39,0,29484,Peter Uihlein,66.7,2
39,0,37189,Harold Varner III,66.7,2
39,0,25632,Jimmy Walker,66.7,2
39,0,47128,Richy Werenski,66.7,2
57,0,48081,Xander Schauffele,62.5,5
58,0,35450,Patrick Cantlay,60.0,3
58,0,35891,Cameron Smith,60.0,3
58,0,39324,J.J. Spaun,60.0,3
58,0,33448,Justin Thomas,60.0,6
62,0,28089,Jason Day,57.1,4
62,0,27644,Brian Harman,57.1,4
62,0,28237,Rory McIlroy,57.1,4
65,0,29725,Tony Finau,55.6,5
65,0,46970,Jon Rahm,55.6,5
67,0,33948,Byeong Hun An,50.0,2
67,0,45526,Abraham Ancer,50.0,2
67,0,19803,Ryan Armour,50.0,2
67,0,25364,Paul Casey,50.0,2
67,0,34099,Harris English,50.0,1
67,0,25900,Lucas Glover,50.0,1
67,0,31646,Emiliano Grillo,50.0,2
67,0,33399,Adam Hadwin,50.0,1
67,0,34363,Tyrrell Hatton,50.0,2
67,0,29478,Kevin Kisner,50.0,2
67,0,33122,Russell Knox,50.0,1
67,0,29926,Danny Lee,50.0,2
67,0,26329,Louis Oosthuizen,50.0,2
67,0,23320,Ryan Palmer,50.0,1
67,0,25818,Scott Piercy,50.0,1
67,0,49771,J.T. Poston,50.0,2
67,0,27556,Ted Potter Jr.,50.0,1
67,0,34256,Andrew Putnam,50.0,2
67,0,26476,Chez Reavie,50.0,3
67,0,26331,Charl Schwartzel,50.0,2
67,0,30692,Scott Stallings,50.0,1
67,0,27214,Kevin Streelman,50.0,1
67,0,31560,Brian Stuard,50.0,2
67,0,49964,Aaron Wise,50.0,2
91,0,30911,Tommy Fleetwood,42.9,3
91,0,19846,Brian Gay,42.9,3
91,0,30110,Kyle Stanley,42.9,3
94,0,30926,Chris Kirk,40.0,2
94,0,26851,Marc Leishman,40.0,2
96,0,32102,Rickie Fowler,37.5,3
97,0,22371,Aaron Baddeley,33.3,1
