RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,30925,Dustin Johnson,1.987,.919,.829,.238,62
2,0,25198,Francesco Molinari,1.610,.690,.593,.327,57
3,0,33448,Justin Thomas,1.563,.408,.844,.311,68
4,0,22405,Justin Rose,1.527,.551,.526,.450,53
5,0,21528,Henrik Stenson,1.360,.427,.960,-.027,44
6,0,28237,Rory McIlroy,1.351,.761,.269,.322,51
7,0,27129,Luke List,1.337,.795,.194,.349,78
8,0,08793,Tiger Woods,1.330,.061,.883,.385,59
9,0,30911,Tommy Fleetwood,1.282,.580,.405,.296,54
10,0,35450,Patrick Cantlay,1.278,.622,.509,.146,67
11,0,47959,Bryson DeChambeau,1.212,.586,.556,.070,78
12,0,26596,Ryan Moore,1.211,.406,.532,.273,66
13,0,29725,Tony Finau,1.203,.481,.500,.222,81
14,0,33141,Keegan Bradley,1.151,.237,.888,.026,80
15,0,33948,Byeong Hun An,1.091,.475,.448,.167,73
16,0,32839,Hideki Matsuyama,1.064,.194,.727,.143,57
16,0,24502,Adam Scott,1.064,.300,.639,.125,60
18,0,31323,Gary Woodland,1.059,.803,.484,-.228,70
19,0,36689,Brooks Koepka,1.052,.658,.232,.162,54
20,0,46970,Jon Rahm,1.039,.817,.047,.176,51
21,0,32102,Rickie Fowler,.980,.244,.494,.242,61
22,0,27214,Kevin Streelman,.868,.439,.415,.014,82
23,0,34046,Jordan Spieth,.863,.271,.409,.184,66
24,0,25818,Scott Piercy,.859,.209,.553,.097,68
25,0,26499,Rafa Cabrera Bello,.839,.256,.487,.096,48
26,0,25364,Paul Casey,.833,.138,.586,.109,49
27,0,24024,Zach Johnson,.829,-.059,.463,.425,72
28,0,20229,Stewart Cink,.810,.057,.698,.055,67
29,0,34360,Patrick Reed,.783,.051,.187,.545,63
30,0,27141,J.B. Holmes,.756,.565,.159,.032,68
31,0,29221,Webb Simpson,.741,-.116,.486,.370,81
32,0,29420,Billy Horschel,.720,.538,.352,-.169,77
33,0,34076,Joel Dahmen,.677,.300,.381,-.004,71
34,0,32366,Kevin Chappell,.668,.608,.296,-.236,62
35,0,30926,Chris Kirk,.659,-.048,.518,.190,96
36,0,34563,Chesson Hadley,.650,.146,.606,-.102,89
37,0,30110,Kyle Stanley,.649,.378,.298,-.027,67
38,0,24138,Ian Poulter,.627,.141,.435,.051,50
39,0,29518,Brendan Steele,.604,.557,.243,-.195,54
40,0,34363,Tyrrell Hatton,.603,.148,.202,.252,42
41,0,31646,Emiliano Grillo,.587,.364,.345,-.122,73
42,0,45609,Tyler Duncan,.583,.273,.476,-.166,81
43,0,21961,Charles Howell III,.582,.324,.163,.095,78
44,0,39997,Corey Conners,.579,.501,.275,-.198,79
45,0,25804,Bubba Watson,.554,.780,.005,-.231,68
46,0,26329,Louis Oosthuizen,.548,.401,-.261,.408,46
47,0,29908,C.T. Pan,.544,.215,.267,.063,82
48,0,33204,Shane Lowry,.524,.331,.245,-.052,51
49,0,30944,Jason Kokrak,.517,.360,.257,-.101,88
50,0,28089,Jason Day,.515,.176,-.140,.479,49
51,0,37275,Sam Ryder,.503,.203,.399,-.099,70
52,0,26851,Marc Leishman,.498,-.006,.211,.292,73
53,0,40026,Daniel Berger,.497,.100,.543,-.145,62
54,0,33399,Adam Hadwin,.490,.057,.166,.267,66
54,0,22056,Cameron Percy,.490,.241,.039,.210,41
