RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,26329,Louis Oosthuizen,-.200,20,-4.00
2,0,23320,Ryan Palmer,-.185,27,-5.00
3,0,27141,J.B. Holmes,-.174,23,-4.00
3,0,32640,Troy Merritt,-.174,23,-4.00
5,0,33122,Russell Knox,-.154,26,-4.00
6,0,46523,Joey Garber,-.136,22,-3.00
7,0,22371,Aaron Baddeley,-.133,15,-2.00
8,0,35376,Roberto Díaz,-.125,24,-3.00
9,0,47504,Sam Burns,-.121,33,-4.00
10,0,46970,Jon Rahm,-.118,34,-4.00
10,0,49964,Aaron Wise,-.118,17,-2.00
12,0,34360,Patrick Reed,-.111,36,-4.00
13,0,27958,Ryan Blaum,-.100,40,-4.00
13,0,24361,Pat Perez,-.100,20,-2.00
13,0,24138,Ian Poulter,-.100,20,-2.00
16,0,51766,Wyndham Clark,-.097,31,-3.00
17,0,27936,Martin Laird,-.095,21,-2.00
17,0,34466,Peter Malnati,-.095,42,-4.00
19,0,27095,Nick Watney,-.094,32,-3.00
20,0,12716,Charley Hoffman,-.091,22,-2.00
20,0,25818,Scott Piercy,-.091,22,-2.00
20,0,22405,Justin Rose,-.091,22,-2.00
23,0,19803,Ryan Armour,-.089,45,-4.00
24,0,29223,Sam Saunders,-.085,47,-4.00
25,0,25632,Jimmy Walker,-.083,24,-2.00
26,0,19846,Brian Gay,-.077,39,-3.00
26,0,23353,J.J. Henry,-.077,26,-2.00
26,0,40115,Adam Svensson,-.077,26,-2.00
29,0,34099,Harris English,-.071,42,-3.00
29,0,35732,Wes Roach,-.071,28,-2.00
29,0,47128,Richy Werenski,-.071,42,-3.00
32,0,23621,Rory Sabbatini,-.067,45,-3.00
33,0,27330,Josh Teater,-.063,32,-2.00
34,0,34261,Scott Langley,-.061,33,-2.00
35,0,24925,Jonathan Byrd,-.059,17,-1.00
35,0,25572,Graeme McDowell,-.059,34,-2.00
35,0,49960,Sepp Straka,-.059,34,-2.00
38,0,36799,Stephan Jaeger,-.057,35,-2.00
39,0,24502,Adam Scott,-.056,18,-1.00
40,0,31420,Anirban Lahiri,-.054,37,-2.00
41,0,24024,Zach Johnson,-.053,38,-2.00
42,0,35450,Patrick Cantlay,-.051,39,-2.00
43,0,37189,Harold Varner III,-.050,40,-2.00
44,0,29479,Scott Brown,-.048,42,-2.00
45,0,35532,Tom Hoge,-.047,43,-2.00
46,0,34264,Hudson Swafford,-.045,22,-1.00
47,0,34076,Joel Dahmen,-.044,45,-2.00
48,0,30978,Kiradech Aphibarnrat,-.043,23,-1.00
48,0,32102,Rickie Fowler,-.043,23,-1.00
50,0,31646,Emiliano Grillo,-.038,26,-1.00
51,0,49303,Anders Albertson,-.037,27,-1.00
51,0,46501,Ollie Schniederjans,-.037,27,-1.00
53,0,40009,Dominic Bozzelli,-.036,28,-1.00
53,0,29268,Bronson Burgoon,-.036,28,-1.00
55,0,23108,Matt Kuchar,-.034,29,-1.00
56,0,39997,Corey Conners,-.033,30,-1.00
56,0,29970,Dylan Frittelli,-.033,30,-1.00
56,0,21528,Henrik Stenson,-.033,30,-1.00
56,0,34431,Robert Streb,-.033,30,-1.00
60,0,20472,Alex Cejka,-.030,33,-1.00
60,0,47990,Kyle Jones,-.030,33,-1.00
60,0,33448,Justin Thomas,-.030,33,-1.00
63,0,33948,Byeong Hun An,-.029,34,-1.00
63,0,30925,Dustin Johnson,-.029,34,-1.00
65,0,47856,Seth Reeves,-.028,36,-1.00
66,0,33141,Keegan Bradley,-.024,41,-1.00
67,0,31560,Brian Stuard,-.023,44,-1.00
68,0,24924,Bill Haas,-.022,45,-1.00
68,0,27649,Brandt Snedeker,-.022,45,-1.00
70,0,39971,Sungjae Im,-.021,47,-1.00
71,0,45526,Abraham Ancer,E,34,E
71,0,40026,Daniel Berger,E,33,E
71,0,27895,Jonas Blixt,E,38,E
71,0,26499,Rafa Cabrera Bello,E,33,E
71,0,34021,Bud Cauley,E,33,E
71,0,45157,Cam Davis,E,29,E
71,0,28089,Jason Day,E,18,E
71,0,45609,Tyler Duncan,E,40,E
71,0,21209,Sergio Garcia,E,28,E
71,0,28679,Fabián Gómez,E,23,E
71,0,35421,Brandon Harkins,E,32,E
71,0,34363,Tyrrell Hatton,E,22,E
71,0,34098,Russell Henley,E,39,E
71,0,29420,Billy Horschel,E,38,E
71,0,35461,Beau Hossler,E,29,E
71,0,26300,Matt Jones,E,24,E
71,0,39975,Michael Kim,E,21,E
71,0,37455,Si Woo Kim,E,40,E
71,0,29478,Kevin Kisner,E,32,E
71,0,28775,Nate Lashley,E,34,E
71,0,32791,K.H. Lee,E,21,E
71,0,37380,Curtis Luck,E,22,E
71,0,25198,Francesco Molinari,E,26,E
71,0,45486,Joaquin Niemann,E,46,E
71,0,27556,Ted Potter Jr.,E,29,E
71,0,32058,José de Jesús Rodríguez,E,31,E
71,0,35891,Cameron Smith,E,36,E
98,0,27974,Sung Kang,+.020,50,+1.00
99,0,27644,Brian Harman,+.021,48,+1.00
100,0,49298,Kramer Hickok,+.022,46,+1.00
101,0,25900,Lucas Glover,+.024,41,+1.00
101,0,33667,Carlos Ortiz,+.024,42,+1.00
103,0,29908,C.T. Pan,+.026,38,+1.00
104,0,34046,Jordan Spieth,+.028,36,+1.00
105,0,52372,Cameron Champ,+.029,35,+1.00
105,0,49766,Hank Lebioda,+.029,35,+1.00
107,0,30911,Tommy Fleetwood,+.030,33,+1.00
107,0,48822,Sebastián Muñoz,+.030,33,+1.00
109,0,47993,Denny McCarthy,+.031,32,+1.00
110,0,37275,Sam Ryder,+.032,31,+1.00
110,0,27064,Jhonattan Vegas,+.032,31,+1.00
112,0,01810,Phil Mickelson,+.034,29,+1.00
113,0,32139,Danny Willett,+.036,28,+1.00
114,0,31557,Jim Herman,+.037,27,+1.00
114,0,29484,Peter Uihlein,+.037,27,+1.00
116,0,32757,Patton Kizzire,+.038,26,+1.00
117,0,46402,Talor Gooch,+.040,25,+1.00
118,0,25686,Jason Dufner,+.043,23,+1.00
118,0,24781,Hunter Mahan,+.043,23,+1.00
118,0,27963,Chris Stroud,+.043,23,+1.00
121,0,47347,Adam Schenk,+.045,44,+2.00
122,0,23325,Vaughn Taylor,+.047,43,+2.00
123,0,25493,Nick Taylor,+.051,39,+2.00
124,0,35879,Kelly Kraft,+.054,37,+2.00
124,0,32839,Hideki Matsuyama,+.054,37,+2.00
126,0,34563,Chesson Hadley,+.057,35,+2.00
126,0,33410,Andrew Landry,+.057,35,+2.00
126,0,46601,Trey Mullinax,+.057,35,+2.00
126,0,29221,Webb Simpson,+.057,35,+2.00
130,0,35449,Adam Long,+.059,34,+2.00
131,0,36689,Brooks Koepka,+.061,33,+2.00
131,0,33418,Shawn Stefani,+.061,33,+2.00
131,0,25804,Bubba Watson,+.061,33,+2.00
134,0,25364,Paul Casey,+.063,32,+2.00
134,0,32200,Roberto Castro,+.063,32,+2.00
136,0,39977,Max Homa,+.064,47,+3.00
137,0,26851,Marc Leishman,+.067,30,+2.00
138,0,27349,Alex Noren,+.069,29,+2.00
138,0,30946,Alex Prugh,+.069,29,+2.00
140,0,29535,Brice Garnett,+.071,42,+3.00
140,0,27129,Luke List,+.071,28,+2.00
142,0,40098,Matt Fitzpatrick,+.077,26,+2.00
142,0,37454,Whee Kim,+.077,13,+1.00
142,0,36699,Patrick Rodgers,+.077,26,+2.00
145,0,30944,Jason Kokrak,+.078,51,+4.00
146,0,39324,J.J. Spaun,+.079,38,+3.00
146,0,32333,Kevin Tway,+.079,38,+3.00
148,0,33399,Adam Hadwin,+.081,37,+3.00
149,0,35506,Mackenzie Hughes,+.083,36,+3.00
149,0,37340,Chase Wright,+.083,24,+2.00
151,0,26476,Chez Reavie,+.085,47,+4.00
152,0,28237,Rory McIlroy,+.086,35,+3.00
153,0,34256,Andrew Putnam,+.087,23,+2.00
154,0,36852,Jim Knous,+.091,22,+2.00
154,0,39546,Keith Mitchell,+.091,22,+2.00
156,0,28252,Seamus Power,+.100,30,+3.00
157,0,30191,Julián Etulain,+.103,29,+3.00
157,0,29926,Danny Lee,+.103,29,+3.00
157,0,30786,Brady Schnell,+.103,29,+3.00
157,0,33486,Roger Sloan,+.103,39,+4.00
161,0,06522,Ernie Els,+.111,9,+1.00
161,0,29974,Branden Grace,+.111,27,+3.00
161,0,21731,Freddie Jacobson,+.111,18,+2.00
164,0,31323,Gary Woodland,+.114,35,+4.00
165,0,10809,Jim Furyk,+.115,26,+3.00
166,0,28259,Sangmoon Bae,+.125,24,+3.00
166,0,34306,John Chin,+.125,24,+3.00
166,0,29725,Tony Finau,+.125,32,+4.00
166,0,21961,Charles Howell III,+.125,32,+4.00
166,0,33419,Cameron Tringale,+.125,24,+3.00
171,0,49771,J.T. Poston,+.127,55,+7.00
172,0,29518,Brendan Steele,+.129,31,+4.00
173,0,48081,Xander Schauffele,+.133,30,+4.00
174,0,35617,Martin Trainer,+.136,22,+3.00
175,0,30692,Scott Stallings,+.138,29,+4.00
176,0,47959,Bryson DeChambeau,+.139,36,+5.00
176,0,32150,Michael Thompson,+.139,36,+5.00
178,0,32816,Satoshi Kodaira,+.143,28,+4.00
178,0,26596,Ryan Moore,+.143,28,+4.00
180,0,39327,Ben Silverman,+.154,26,+4.00
181,0,20572,Rod Pampling,+.158,19,+3.00
182,0,25396,Kevin Na,+.167,12,+2.00
183,0,26951,Johnson Wagner,+.182,22,+4.00
184,0,39954,Cody Gribble,+.184,38,+7.00
185,0,27214,Kevin Streelman,+.186,43,+8.00
186,0,46435,Austin Cook,+.188,32,+6.00
187,0,26758,David Hearn,+.235,17,+4.00
188,0,30110,Kyle Stanley,+.318,22,+7.00
