RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,30978,Kiradech Aphibarnrat,100.00,23,23
1,0,47504,Sam Burns,100.00,33,33
1,0,24925,Jonathan Byrd,100.00,17,17
1,0,34021,Bud Cauley,100.00,33,33
1,0,28089,Jason Day,100.00,18,18
1,0,32102,Rickie Fowler,100.00,23,23
1,0,26329,Louis Oosthuizen,100.00,20,20
1,0,23320,Ryan Palmer,100.00,27,27
1,0,24361,Pat Perez,100.00,20,20
1,0,34360,Patrick Reed,100.00,36,36
1,0,34431,Robert Streb,100.00,30,30
1,0,25632,Jimmy Walker,100.00,24,24
13,0,34099,Harris English,97.62,41,42
14,0,37455,Si Woo Kim,97.50,39,40
15,0,31420,Anirban Lahiri,97.30,36,37
16,0,51766,Wyndham Clark,96.77,30,31
17,0,39997,Corey Conners,96.67,29,30
17,0,21528,Henrik Stenson,96.67,29,30
19,0,23108,Matt Kuchar,96.55,28,29
20,0,40009,Dominic Bozzelli,96.43,27,28
20,0,29268,Bronson Burgoon,96.43,27,28
20,0,21209,Sergio Garcia,96.43,27,28
20,0,35732,Wes Roach,96.43,27,28
24,0,33122,Russell Knox,96.15,25,26
24,0,25198,Francesco Molinari,96.15,25,26
26,0,35376,Roberto Díaz,95.83,23,24
27,0,27141,J.B. Holmes,95.65,22,23
27,0,24781,Hunter Mahan,95.65,22,23
27,0,32640,Troy Merritt,95.65,22,23
30,0,19803,Ryan Armour,95.56,43,45
30,0,23621,Rory Sabbatini,95.56,43,45
32,0,12716,Charley Hoffman,95.45,21,22
32,0,22405,Justin Rose,95.45,21,22
32,0,34264,Hudson Swafford,95.45,21,22
35,0,35532,Tom Hoge,95.35,41,43
36,0,39975,Michael Kim,95.24,20,21
36,0,34466,Peter Malnati,95.24,40,42
38,0,33141,Keegan Bradley,95.12,39,41
39,0,27958,Ryan Blaum,95.00,38,40
39,0,24138,Ian Poulter,95.00,19,20
41,0,35450,Patrick Cantlay,94.87,37,39
42,0,24502,Adam Scott,94.44,17,18
43,0,52372,Cameron Champ,94.29,33,35
43,0,36799,Stephan Jaeger,94.29,33,35
45,0,33948,Byeong Hun An,94.12,32,34
45,0,45526,Abraham Ancer,94.12,32,34
45,0,25572,Graeme McDowell,94.12,32,34
45,0,46970,Jon Rahm,94.12,32,34
49,0,20472,Alex Cejka,93.94,31,33
49,0,47990,Kyle Jones,93.94,31,33
49,0,36689,Brooks Koepka,93.94,31,33
49,0,34261,Scott Langley,93.94,31,33
53,0,35421,Brandon Harkins,93.75,30,32
53,0,29478,Kevin Kisner,93.75,30,32
53,0,27330,Josh Teater,93.75,30,32
56,0,39971,Sungjae Im,93.62,44,47
57,0,32058,José de Jesús Rodríguez,93.55,29,31
57,0,37275,Sam Ryder,93.55,29,31
59,0,22371,Aaron Baddeley,93.33,14,15
59,0,29970,Dylan Frittelli,93.33,28,30
59,0,26851,Marc Leishman,93.33,28,30
59,0,27649,Brandt Snedeker,93.33,42,45
63,0,45157,Cam Davis,93.10,27,29
63,0,35461,Beau Hossler,93.10,27,29
65,0,33667,Carlos Ortiz,92.86,39,42
66,0,45609,Tyler Duncan,92.50,37,40
67,0,34098,Russell Henley,92.31,36,39
67,0,23353,J.J. Henry,92.31,24,26
67,0,37454,Whee Kim,92.31,12,13
67,0,32757,Patton Kizzire,92.31,24,26
67,0,25493,Nick Taylor,92.31,36,39
72,0,29420,Billy Horschel,92.11,35,38
72,0,24024,Zach Johnson,92.11,35,38
74,0,46402,Talor Gooch,92.00,23,25
75,0,33399,Adam Hadwin,91.89,34,37
76,0,47856,Seth Reeves,91.67,33,36
76,0,35891,Cameron Smith,91.67,33,36
76,0,34046,Jordan Spieth,91.67,33,36
79,0,29223,Sam Saunders,91.49,43,47
80,0,46601,Trey Mullinax,91.43,32,35
81,0,28679,Fabián Gómez,91.30,21,23
81,0,27963,Chris Stroud,91.30,21,23
83,0,35449,Adam Long,91.18,31,34
83,0,49960,Sepp Straka,91.18,31,34
85,0,26499,Rafa Cabrera Bello,90.91,30,33
85,0,30911,Tommy Fleetwood,90.91,30,33
85,0,37380,Curtis Luck,90.91,20,22
85,0,25818,Scott Piercy,90.91,20,22
85,0,33448,Justin Thomas,90.91,30,33
90,0,25364,Paul Casey,90.63,29,32
90,0,27095,Nick Watney,90.63,29,32
92,0,29479,Scott Brown,90.48,38,42
92,0,29535,Brice Garnett,90.48,38,42
92,0,27936,Martin Laird,90.48,19,21
92,0,32791,K.H. Lee,90.48,19,21
92,0,47128,Richy Werenski,90.48,38,42
97,0,25900,Lucas Glover,90.24,37,41
98,0,37189,Harold Varner III,90.00,36,40
99,0,27556,Ted Potter Jr.,89.66,26,29
100,0,29908,C.T. Pan,89.47,34,38
101,0,27129,Luke List,89.29,25,28
101,0,32139,Danny Willett,89.29,25,28
103,0,32839,Hideki Matsuyama,89.19,33,37
104,0,45486,Joaquin Niemann,89.13,41,46
105,0,49303,Anders Albertson,88.89,24,27
105,0,34076,Joel Dahmen,88.89,40,45
105,0,06522,Ernie Els,88.89,8,9
105,0,24924,Bill Haas,88.89,40,45
105,0,31557,Jim Herman,88.89,24,27
105,0,21731,Freddie Jacobson,88.89,16,18
105,0,46501,Ollie Schniederjans,88.89,24,27
105,0,29484,Peter Uihlein,88.89,24,27
113,0,31560,Brian Stuard,88.64,39,44
114,0,34563,Chesson Hadley,88.57,31,35
114,0,33410,Andrew Landry,88.57,31,35
114,0,29221,Webb Simpson,88.57,31,35
117,0,10809,Jim Furyk,88.46,23,26
117,0,31646,Emiliano Grillo,88.46,23,26
117,0,40115,Adam Svensson,88.46,23,26
120,0,23325,Vaughn Taylor,88.37,38,43
121,0,30925,Dustin Johnson,88.24,30,34
121,0,28775,Nate Lashley,88.24,30,34
121,0,49964,Aaron Wise,88.24,15,17
124,0,40026,Daniel Berger,87.88,29,33
124,0,25804,Bubba Watson,87.88,29,33
126,0,32200,Roberto Castro,87.50,28,32
126,0,29725,Tony Finau,87.50,28,32
126,0,27644,Brian Harman,87.50,42,48
126,0,37340,Chase Wright,87.50,21,24
130,0,19846,Brian Gay,87.18,34,39
130,0,33486,Roger Sloan,87.18,34,39
132,0,25686,Jason Dufner,86.96,20,23
133,0,27895,Jonas Blixt,86.84,33,38
133,0,32333,Kevin Tway,86.84,33,38
135,0,28252,Seamus Power,86.67,26,30
136,0,35879,Kelly Kraft,86.49,32,37
137,0,46523,Joey Garber,86.36,19,22
137,0,34363,Tyrrell Hatton,86.36,19,22
137,0,36852,Jim Knous,86.36,19,22
137,0,39546,Keith Mitchell,86.36,19,22
137,0,47347,Adam Schenk,86.36,38,44
142,0,30944,Jason Kokrak,86.27,44,51
143,0,01810,Phil Mickelson,86.21,25,29
143,0,27349,Alex Noren,86.21,25,29
143,0,30946,Alex Prugh,86.21,25,29
143,0,30786,Brady Schnell,86.21,25,29
147,0,47959,Bryson DeChambeau,86.11,31,36
147,0,35506,Mackenzie Hughes,86.11,31,36
149,0,28237,Rory McIlroy,85.71,30,35
149,0,31323,Gary Woodland,85.71,30,35
151,0,29974,Branden Grace,85.19,23,27
152,0,39977,Max Homa,85.11,40,47
152,0,26476,Chez Reavie,85.11,40,47
154,0,49298,Kramer Hickok,84.78,39,46
155,0,40098,Matt Fitzpatrick,84.62,22,26
155,0,36699,Patrick Rodgers,84.62,22,26
157,0,21961,Charles Howell III,84.38,27,32
157,0,47993,Denny McCarthy,84.38,27,32
159,0,20572,Rod Pampling,84.21,16,19
159,0,39324,J.J. Spaun,84.21,32,38
161,0,27974,Sung Kang,84.00,42,50
