RANK,MOVEMENT,PLAYER_ID,PLAYER,PUTTS MADE
1,0,34046,Jordan Spieth,2.3
2,0,32102,Rickie Fowler,2.2
2,0,29420,Billy Horschel,2.2
4,0,30944,Jason Kokrak,2.1
4,0,46970,Jon Rahm,2.1
4,0,22405,Justin Rose,2.1
4,0,29221,Webb Simpson,2.1
8,0,35461,Beau Hossler,2.0
8,0,28237,Rory McIlroy,2.0
8,0,36699,Patrick Rodgers,2.0
11,0,25818,Scott Piercy,1.9
11,0,34256,Andrew Putnam,1.9
11,0,31323,Gary Woodland,1.9
14,0,45526,Abraham Ancer,1.8
14,0,34076,Joel Dahmen,1.8
14,0,40098,Matt Fitzpatrick,1.8
14,0,25900,Lucas Glover,1.8
14,0,32839,Hideki Matsuyama,1.8
14,0,47993,Denny McCarthy,1.8
14,0,24502,Adam Scott,1.8
14,0,33419,Cameron Tringale,1.8
22,0,39997,Corey Conners,1.7
22,0,28089,Jason Day,1.7
22,0,47959,Bryson DeChambeau,1.7
22,0,30911,Tommy Fleetwood,1.7
22,0,46402,Talor Gooch,1.7
22,0,36689,Brooks Koepka,1.7
22,0,48822,Sebastián Muñoz,1.7
22,0,24361,Pat Perez,1.7
22,0,49771,J.T. Poston,1.7
22,0,26476,Chez Reavie,1.7
22,0,48081,Xander Schauffele,1.7
22,0,33418,Shawn Stefani,1.7
22,0,26951,Johnson Wagner,1.7
35,0,32200,Roberto Castro,1.6
35,0,30925,Dustin Johnson,1.6
35,0,29478,Kevin Kisner,1.6
35,0,25572,Graeme McDowell,1.6
35,0,25396,Kevin Na,1.6
35,0,27556,Ted Potter Jr.,1.6
35,0,34360,Patrick Reed,1.6
35,0,23621,Rory Sabbatini,1.6
35,0,33486,Roger Sloan,1.6
44,0,33948,Byeong Hun An,1.5
44,0,29725,Tony Finau,1.5
44,0,33399,Adam Hadwin,1.5
44,0,34363,Tyrrell Hatton,1.5
44,0,21961,Charles Howell III,1.5
44,0,32757,Patton Kizzire,1.5
44,0,49766,Hank Lebioda,1.5
44,0,29926,Danny Lee,1.5
44,0,27349,Alex Noren,1.5
44,0,24138,Ian Poulter,1.5
44,0,37275,Sam Ryder,1.5
44,0,27649,Brandt Snedeker,1.5
44,0,49960,Sepp Straka,1.5
44,0,31560,Brian Stuard,1.5
44,0,25493,Nick Taylor,1.5
44,0,37189,Harold Varner III,1.5
44,0,47128,Richy Werenski,1.5
61,0,19803,Ryan Armour,1.4
61,0,35450,Patrick Cantlay,1.4
61,0,52372,Cameron Champ,1.4
61,0,34306,John Chin,1.4
61,0,34099,Harris English,1.4
61,0,29535,Brice Garnett,1.4
61,0,35506,Mackenzie Hughes,1.4
61,0,23108,Matt Kuchar,1.4
61,0,27936,Martin Laird,1.4
61,0,28775,Nate Lashley,1.4
61,0,26851,Marc Leishman,1.4
61,0,37380,Curtis Luck,1.4
61,0,01810,Phil Mickelson,1.4
61,0,47347,Adam Schenk,1.4
61,0,35891,Cameron Smith,1.4
61,0,29518,Brendan Steele,1.4
61,0,21528,Henrik Stenson,1.4
