RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,35506,Mackenzie Hughes,85' 8",Byron Nelson,1,2 - Par 3 -
2,0,36699,Patrick Rodgers,85' 5",The RSM Classic,4,12 - Par 3
3,0,47990,Kyle Jones,82' 2",Safeway Open,2,1 - Par 4 -
4,0,25900,Lucas Glover,81' 11",Phoenix Open,2,17 - Par 4
5,0,34563,Chesson Hadley,80' 9",Phoenix Open,2,17 - Par 4
6,0,20766,Padraig Harrington,80' 4",Byron Nelson,3,2 - Par 3 -
7,0,20645,John Senden,78' 5",Byron Nelson,2,7 - Par 5 -
8,0,49298,Kramer Hickok,77' 8",John Deere,2,18 - Par 4
9,0,32797,Sanghyun Park,77' 7",WGC-Mexico,1,16 - Par 4
10,0,29970,Dylan Frittelli,75' 3",Farmers,2,12 - Par 4
11,0,31646,Emiliano Grillo,74' 2",the Memorial,1,7 - Par 5 -
12,0,23325,Vaughn Taylor,73' 11",THE PLAYERS,3,3 - Par 3 -
13,0,21961,Charles Howell III,73' 9",WGC-Mexico,1,16 - Par 4
14,0,27936,Martin Laird,72' 9",NORTHERN TRUST,2,16 - Par 4
15,0,33122,Russell Knox,72' 5",Valspar,3,16 - Par 4
16,0,27064,Jhonattan Vegas,72' 1",Barbasol,2,15 - Par 5
17,0,29420,Billy Horschel,71' 10",Farmers,2,7 - Par 4 -
18,0,24502,Adam Scott,71' 10",TOUR Champ,2,17 - Par 4
19,0,32150,Michael Thompson,71' 8",3M Open,1,13 - Par 3
20,0,29535,Brice Garnett,71' 4",Sentry,2,13 - Par 4
21,0,47663,Kevin Dougherty,70' 9",Shriners,1,2 - Par 4 -
22,0,33948,Byeong Hun An,70' 9",Wyndham,2,14 - Par 4
23,0,35376,Roberto Díaz,70' 3",Barbasol,2,2 - Par 3 -
24,0,28252,Seamus Power,69' 3",Wells Fargo,2,1 - Par 4 -
25,0,12716,Charley Hoffman,68' 7",PGA Champ,2,17 - Par 3
26,0,30786,Brady Schnell,68' 4",Byron Nelson,3,7 - Par 5 -
27,0,29484,Peter Uihlein,68' 1",RBC Canadian,1,5 - Par 4 -
28,0,27958,Ryan Blaum,68' 0",Phoenix Open,2,13 - Par 5
29,0,45526,Abraham Ancer,67' 5",Charles Schwab,4,10 - Par 4
30,0,23621,Rory Sabbatini,67' 5",Wyndham,4,18 - Par 4
31,0,33461,Morgan Hoffmann,67' 0",Rocket Mortgage,2,18 - Par 4
32,0,25686,Jason Dufner,65' 11",Safeway Open,1,6 - Par 4 -
33,0,55708,Hayden Buckley,65' 9",Sanderson Farms,2,18 - Par 4
34,0,46501,Ollie Schniederjans,65' 8",RBC Canadian,2,12 - Par 4
35,0,39262,Alvaro Ortiz,65' 7",Byron Nelson,2,1 - Par 5 -
36,0,31420,Anirban Lahiri,64' 9",U.S. Open,2,17 - Par 3
37,0,35879,Kelly Kraft,64' 3",Barbasol,3,15 - Par 5
38,0,34431,Robert Streb,64' 2",3M Open,4,3 - Par 4 -
39,0,40115,Adam Svensson,64' 1",Safeway Open,4,6 - Par 4 -
40,0,31323,Gary Woodland,63' 11",Sentry,3,15 - Par 5
41,0,33418,Shawn Stefani,63' 9",Wells Fargo,4,17 - Par 3
42,0,29908,C.T. Pan,63' 5",Travelers,3,3 - Par 4 -
43,0,33419,Cameron Tringale,63' 1",Farmers,1,2 - Par 4 -
44,0,46970,Jon Rahm,62' 10",Sentry,3,13 - Par 4
45,0,22405,Justin Rose,62' 6",PGA Champ,3,12 - Par 4
46,0,27649,Brandt Snedeker,62' 4",U.S. Open,1,6 - Par 5 -
47,0,56278,Matthew Wolff,62' 2",Rocket Mortgage,2,18 - Par 4
48,0,29725,Tony Finau,61' 10",NORTHERN TRUST,4,15 - Par 4
49,0,51766,Wyndham Clark,61' 7",Travelers,2,2 - Par 4 -
50,0,12510,Chad Campbell,61' 1",John Deere,2,6 - Par 4 -
51,0,33141,Keegan Bradley,61' 0",3M Open,2,2 - Par 4 -
52,0,47504,Sam Burns,60' 10",RBC Heritage,3,4 - Par 3 -
53,0,35617,Martin Trainer,60' 5",Wyndham,1,6 - Par 4 -
54,0,29479,Scott Brown,60' 0",RBC Canadian,2,17 - Par 5
55,0,29268,Bronson Burgoon,59' 11",PGA Champ,2,14 - Par 3
56,0,25562,Andres Romero,59' 10",John Deere,1,17 - Par 5
57,0,47347,Adam Schenk,59' 7",The RSM Classic,4,3 - Par 3 -
58,0,52372,Cameron Champ,59' 6",Phoenix Open,4,8 - Par 4 -
59,0,47995,Davis Riley,59' 3",Byron Nelson,1,9 - Par 4 -
60,0,25493,Nick Taylor,59' 1",3M Open,3,2 - Par 4 -
61,0,39971,Sungjae Im,58' 7",RBC Canadian,2,13 - Par 3
