RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,35617,Martin Trainer,50.00,54,108
2,0,31560,Brian Stuard,49.12,168,342
3,0,30978,Kiradech Aphibarnrat,49.07,106,216
4,0,31420,Anirban Lahiri,48.99,97,198
5,0,29221,Webb Simpson,48.25,165,342
6,0,27895,Jonas Blixt,48.02,121,252
7,0,37455,Si Woo Kim,47.78,129,270
8,0,24024,Zach Johnson,47.01,110,234
9,0,26851,Marc Leishman,46.88,135,288
10,0,32640,Troy Merritt,46.46,92,198
11,0,35449,Adam Long,46.11,83,180
12,0,32757,Patton Kizzire,45.83,99,216
13,0,47993,Denny McCarthy,45.63,115,252
14,0,23320,Ryan Palmer,45.30,106,234
15,0,24781,Hunter Mahan,45.24,57,126
16,0,26499,Rafa Cabrera Bello,44.79,129,288
16,0,51766,Wyndham Clark,44.79,129,288
18,0,20572,Rod Pampling,44.44,40,90
19,0,27649,Brandt Snedeker,44.20,183,414
20,0,47347,Adam Schenk,44.17,159,360
21,0,35450,Patrick Cantlay,44.12,135,306
21,0,48081,Xander Schauffele,44.12,135,306
23,0,34021,Bud Cauley,44.07,119,270
24,0,01810,Phil Mickelson,43.94,87,198
25,0,47959,Bryson DeChambeau,43.75,126,288
25,0,27963,Chris Stroud,43.75,63,144
27,0,33667,Carlos Ortiz,43.65,110,252
28,0,34306,John Chin,43.52,47,108
29,0,12716,Charley Hoffman,43.43,86,198
29,0,35879,Kelly Kraft,43.43,86,198
29,0,27330,Josh Teater,43.43,86,198
32,0,28237,Rory McIlroy,43.40,125,288
33,0,22405,Justin Rose,43.33,117,270
34,0,47504,Sam Burns,43.25,109,252
35,0,24925,Jonathan Byrd,43.21,70,162
35,0,46402,Talor Gooch,43.21,70,162
37,0,34363,Tyrrell Hatton,43.16,101,234
38,0,21528,Henrik Stenson,43.06,93,216
39,0,34466,Peter Malnati,42.96,116,270
40,0,35732,Wes Roach,42.93,85,198
40,0,46501,Ollie Schniederjans,42.93,85,198
42,0,35461,Beau Hossler,42.86,108,252
42,0,34360,Patrick Reed,42.86,162,378
44,0,19803,Ryan Armour,42.81,131,306
45,0,45157,Cam Davis,42.74,100,234
46,0,35891,Cameron Smith,42.71,123,288
47,0,32102,Rickie Fowler,42.59,138,324
47,0,39977,Max Homa,42.59,115,270
49,0,40026,Daniel Berger,42.46,107,252
49,0,25632,Jimmy Walker,42.46,107,252
51,0,29420,Billy Horschel,42.42,168,396
52,0,39971,Sungjae Im,42.36,183,432
53,0,25198,Francesco Molinari,42.31,99,234
53,0,24502,Adam Scott,42.31,99,234
55,0,23325,Vaughn Taylor,42.28,137,324
56,0,26596,Ryan Moore,42.22,114,270
56,0,30110,Kyle Stanley,42.22,114,270
58,0,19846,Brian Gay,42.16,129,306
59,0,25804,Bubba Watson,42.13,91,216
60,0,27958,Ryan Blaum,42.06,106,252
60,0,23621,Rory Sabbatini,42.06,159,378
60,0,49964,Aaron Wise,42.06,106,252
63,0,25900,Lucas Glover,41.94,151,360
64,0,37275,Sam Ryder,41.85,113,270
