RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,28237,Rory McIlroy,2.920,219,75
2,0,46402,Talor Gooch,2.922,149,51
3,0,47993,Denny McCarthy,2.940,197,67
4,0,35732,Wes Roach,2.947,168,57
4,0,29221,Webb Simpson,2.947,224,76
6,0,34363,Tyrrell Hatton,2.961,151,51
7,0,30944,Jason Kokrak,2.962,234,79
8,0,22371,Aaron Baddeley,3.000,129,43
8,0,40026,Daniel Berger,3.000,192,64
8,0,27958,Ryan Blaum,3.000,225,75
8,0,29268,Bronson Burgoon,3.000,147,49
8,0,46601,Trey Mullinax,3.000,186,62
8,0,24361,Pat Perez,3.000,141,47
8,0,34256,Andrew Putnam,3.000,153,51
8,0,35891,Cameron Smith,3.000,156,52
16,0,23621,Rory Sabbatini,3.014,211,70
16,0,31560,Brian Stuard,3.014,211,70
16,0,23325,Vaughn Taylor,3.014,217,72
19,0,49766,Hank Lebioda,3.015,196,65
20,0,49303,Anders Albertson,3.016,184,61
20,0,45609,Tyler Duncan,3.016,190,63
20,0,33418,Shawn Stefani,3.016,187,62
23,0,29908,C.T. Pan,3.018,166,55
24,0,46435,Austin Cook,3.019,163,54
24,0,28252,Seamus Power,3.019,163,54
24,0,48081,Xander Schauffele,3.019,160,53
27,0,25900,Lucas Glover,3.022,269,89
28,0,33667,Carlos Ortiz,3.023,260,86
29,0,20472,Alex Cejka,3.024,124,41
30,0,36689,Brooks Koepka,3.028,215,71
31,0,24024,Zach Johnson,3.030,200,66
32,0,37275,Sam Ryder,3.032,191,63
33,0,33419,Cameron Tringale,3.033,185,61
34,0,29478,Kevin Kisner,3.037,249,82
35,0,27936,Martin Laird,3.039,234,77
36,0,35376,Roberto Díaz,3.040,152,50
36,0,31646,Emiliano Grillo,3.040,152,50
38,0,49960,Sepp Straka,3.043,213,70
38,0,27095,Nick Watney,3.043,213,70
40,0,39977,Max Homa,3.045,201,66
41,0,39971,Sungjae Im,3.046,332,109
41,0,30946,Alex Prugh,3.046,198,65
43,0,24502,Adam Scott,3.047,131,43
44,0,32839,Hideki Matsuyama,3.049,250,82
45,0,22405,Justin Rose,3.050,183,60
45,0,34046,Jordan Spieth,3.050,183,60
47,0,37189,Harold Varner III,3.051,238,78
48,0,46970,Jon Rahm,3.052,177,58
49,0,29518,Brendan Steele,3.056,165,54
50,0,12716,Charley Hoffman,3.057,162,53
51,0,33948,Byeong Hun An,3.062,199,65
52,0,31420,Anirban Lahiri,3.063,196,64
52,0,32640,Troy Merritt,3.063,147,48
52,0,20572,Rod Pampling,3.063,147,48
52,0,47347,Adam Schenk,3.063,291,95
56,0,46501,Ollie Schniederjans,3.065,190,62
57,0,40009,Dominic Bozzelli,3.066,187,61
58,0,30911,Tommy Fleetwood,3.067,184,60
58,0,26596,Ryan Moore,3.067,184,60
60,0,35532,Tom Hoge,3.068,224,73
61,0,27214,Kevin Streelman,3.069,221,72
62,0,27895,Jonas Blixt,3.074,209,68
63,0,26851,Marc Leishman,3.077,200,65
64,0,30978,Kiradech Aphibarnrat,3.082,151,49
65,0,47990,Kyle Jones,3.085,182,59
66,0,34306,John Chin,3.087,142,46
67,0,33141,Keegan Bradley,3.088,247,80
68,0,10809,Jim Furyk,3.089,173,56
68,0,21961,Charles Howell III,3.089,278,90
70,0,49771,J.T. Poston,3.090,275,89
70,0,30692,Scott Stallings,3.090,241,78
70,0,34431,Robert Streb,3.090,207,67
73,0,30925,Dustin Johnson,3.091,204,66
74,0,29725,Tony Finau,3.094,198,64
74,0,32150,Michael Thompson,3.094,198,64
76,0,33410,Andrew Landry,3.095,195,63
77,0,29970,Dylan Frittelli,3.096,226,73
77,0,34563,Chesson Hadley,3.096,226,73
77,0,25198,Francesco Molinari,3.096,161,52
80,0,32102,Rickie Fowler,3.097,223,72
80,0,33399,Adam Hadwin,3.097,223,72
80,0,27974,Sung Kang,3.097,223,72
80,0,32333,Kevin Tway,3.097,192,62
84,0,26758,David Hearn,3.098,127,41
85,0,29535,Brice Garnett,3.100,217,70
86,0,30191,Julián Etulain,3.103,180,58
86,0,32791,K.H. Lee,3.103,180,58
86,0,25632,Jimmy Walker,3.103,211,68
89,0,39324,J.J. Spaun,3.104,239,77
90,0,26951,Johnson Wagner,3.105,177,57
91,0,33486,Roger Sloan,3.106,264,85
92,0,47856,Seth Reeves,3.107,174,56
93,0,29479,Scott Brown,3.108,230,74
94,0,27644,Brian Harman,3.110,227,73
95,0,28679,Fabián Gómez,3.111,168,54
96,0,32200,Roberto Castro,3.113,221,71
97,0,32757,Patton Kizzire,3.115,162,52
97,0,45486,Joaquin Niemann,3.115,271,87
97,0,27963,Chris Stroud,3.115,190,61
100,0,23353,J.J. Henry,3.116,134,43
100,0,35506,Mackenzie Hughes,3.116,215,69
102,0,27330,Josh Teater,3.117,187,60
103,0,06522,Ernie Els,3.118,106,34
104,0,24925,Jonathan Byrd,3.119,131,42
104,0,25364,Paul Casey,3.119,184,59
106,0,47128,Richy Werenski,3.120,234,75
107,0,45157,Cam Davis,3.123,178,57
107,0,19846,Brian Gay,3.123,228,73
109,0,35421,Brandon Harkins,3.125,200,64
109,0,35461,Beau Hossler,3.125,225,72
109,0,26300,Matt Jones,3.125,200,64
109,0,37454,Whee Kim,3.125,150,48
113,0,49964,Aaron Wise,3.127,222,71
114,0,31557,Jim Herman,3.128,122,39
114,0,29926,Danny Lee,3.128,244,78
116,0,23108,Matt Kuchar,3.129,219,70
117,0,24138,Ian Poulter,3.130,144,46
118,0,36799,Stephan Jaeger,3.131,191,61
118,0,25804,Bubba Watson,3.131,191,61
120,0,51766,Wyndham Clark,3.132,238,76
120,0,31323,Gary Woodland,3.132,213,68
