RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,31557,Jim Herman,67.86,475,7
2,0,28237,Rory McIlroy,68.61,3019,44
3,0,47993,Denny McCarthy,68.78,1238,18
4,0,36689,Brooks Koepka,68.83,2822,41
5,0,37275,Sam Ryder,68.89,1240,18
6,0,46402,Talor Gooch,68.93,1034,15
7,0,27330,Josh Teater,69.10,1451,21
8,0,35732,Wes Roach,69.17,1245,18
9,0,34264,Hudson Swafford,69.20,692,10
10,0,35450,Patrick Cantlay,69.28,2702,39
11,0,45157,Cam Davis,69.29,970,14
12,0,34098,Russell Henley,69.31,1109,16
13,0,26476,Chez Reavie,69.34,2427,35
14,0,29221,Webb Simpson,69.42,2499,36
15,0,30944,Jason Kokrak,69.48,2015,29
15,0,33448,Justin Thomas,69.48,2779,40
17,0,32333,Kevin Tway,69.52,1599,23
18,0,47959,Bryson DeChambeau,69.56,2226,32
19,0,39997,Corey Conners,69.58,2157,31
20,0,23108,Matt Kuchar,69.63,2855,41
21,0,33399,Adam Hadwin,69.64,1532,22
22,0,51766,Wyndham Clark,69.68,1742,25
23,0,46970,Jon Rahm,69.70,3067,44
24,0,22405,Justin Rose,69.73,2580,37
25,0,30925,Dustin Johnson,69.74,2720,39
25,0,24361,Pat Perez,69.74,1604,23
27,0,24924,Bill Haas,69.75,1674,24
27,0,48081,Xander Schauffele,69.75,2511,36
29,0,31560,Brian Stuard,69.76,2023,29
30,0,32102,Rickie Fowler,69.77,2721,39
31,0,45526,Abraham Ancer,69.81,1815,26
31,0,33418,Shawn Stefani,69.81,1885,27
33,0,32839,Hideki Matsuyama,69.83,2793,40
34,0,23621,Rory Sabbatini,69.86,2445,35
35,0,36852,Jim Knous,69.88,1188,17
35,0,49771,J.T. Poston,69.88,2236,32
35,0,27095,Nick Watney,69.88,1817,26
38,0,47347,Adam Schenk,69.89,2446,35
39,0,45609,Tyler Duncan,69.90,1398,20
39,0,37455,Si Woo Kim,69.90,1468,21
41,0,52372,Cameron Champ,69.92,1818,26
42,0,25818,Scott Piercy,69.93,1888,27
42,0,29484,Peter Uihlein,69.93,1049,15
44,0,25364,Paul Casey,69.95,2658,38
44,0,32200,Roberto Castro,69.95,1329,19
44,0,39324,J.J. Spaun,69.95,1469,21
44,0,30110,Kyle Stanley,69.95,1329,19
