RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,22371,Aaron Baddeley,13,0,2,14,2019210
2,0,35450,Patrick Cantlay,12,1,4,17,2019430
3,0,40009,Dominic Bozzelli,10,3,2,5,2019180
3,0,34021,Bud Cauley,10,0,2,7,2019330
3,0,34099,Harris English,10,2,2,16,2019200
3,0,46402,Talor Gooch,10,1,4,2,2019390
3,0,33461,Morgan Hoffmann,10,1,3,8,2019230
3,0,27974,Sung Kang,10,1,4,12,2019030
3,0,27408,Martin Kaymer,10,3,2,6,2019150
3,0,01810,Phil Mickelson,10,1,1,6,2019220
3,0,34256,Andrew Putnam,10,2,1,6,2019020
3,0,33486,Roger Sloan,10,1,2,18,2019330
3,0,30692,Scott Stallings,10,0,2,4,2019330
3,0,21528,Henrik Stenson,10,2,3,5,2019360
3,0,27214,Kevin Streelman,10,0,1,15,2019370
3,0,32333,Kevin Tway,10,0,1,1,2019330
3,0,10423,Mike Weir,10,0,2,10,2019270
18,0,33948,Byeong Hun An,9,9,3,14,2019460
18,0,19803,Ryan Armour,9,0,3,12,2019230
18,0,27895,Jonas Blixt,9,0,2,8,2019330
18,0,51766,Wyndham Clark,9,0,2,7,2019330
18,0,34076,Joel Dahmen,9,4,3,12,2019140
18,0,24358,Robert Garrigus,9,0,2,7,2019010
18,0,27644,Brian Harman,9,0,2,16,2019300
18,0,30926,Chris Kirk,9,1,2,16,2019080
18,0,25572,Graeme McDowell,9,3,3,6,2019200
18,0,25198,Francesco Molinari,9,0,4,13,2019330
18,0,24140,Sean O'Hair,9,1,1,11,2019120
18,0,30946,Alex Prugh,9,3,3,2,2019360
18,0,34360,Patrick Reed,9,5,2,8,2019120
18,0,32058,José de Jesús Rodríguez,9,1,2,2,2019260
18,0,48081,Xander Schauffele,9,0,4,11,2019140
18,0,30786,Brady Schnell,9,1,3,14,2019310
18,0,27649,Brandt Snedeker,9,1,1,9,2019220
18,0,33418,Shawn Stefani,9,2,2,2,2019010
