RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,28252,Seamus Power,74.29,26,35,-28,-1.00
2,1,27330,Josh Teater,72.50,29,40,-33,+2.00
3,2,52375,Doug Ghim,68.42,26,38,-28,+2.00
4,2,34563,Chesson Hadley,68.09,64,94,-69,-5.00
5,3,33448,Justin Thomas,67.57,100,148,-106,-2.00
6,4,35891,Cameron Smith,67.33,68,101,-72,+10.00
7,0,29484,Peter Uihlein,67.21,41,61,-43,-9.00
8,3,34360,Patrick Reed,66.00,99,150,-105,-8.00
9,3,26300,Matt Jones,65.69,90,137,-94,-6.00
10,3,39953,Chase Seiffert,65.63,42,64,-47,-6.00
11,3,28420,Ryan Brehm,64.94,50,77,-54,+10.00
12,3,32618,Rhein Gibson,64.71,33,51,-35,-1.00
13,3,27644,Brian Harman,64.62,84,130,-90,-4.00
14,9,39971,Sungjae Im,64.20,113,176,-117,-3.00
15,2,26476,Chez Reavie,63.92,62,97,-65,-24.00
16,2,12716,Charley Hoffman,63.72,72,113,-75,-12.00
17,3,35506,Mackenzie Hughes,63.64,70,110,-75,-2.00
18,1,49298,Kramer Hickok,63.33,38,60,-40,-2.00
19,2,32448,James Hahn,63.16,36,57,-39,-13.00
20,2,51766,Wyndham Clark,62.81,76,121,-81,+1.00
21,16,40026,Daniel Berger,62.60,82,131,-85,-12.00
22,11,46970,Jon Rahm,62.26,99,159,-106,-3.00
23,1,32757,Patton Kizzire,62.22,56,90,-60,-8.00
24,1,47993,Denny McCarthy,62.14,87,140,-91,+4.00
25,1,23108,Matt Kuchar,62.11,59,95,-63,-5.00
26,1,27936,Martin Laird,62.07,36,58,-39,-1.00
27,1,32254,Xinjun Zhang,62.02,80,129,-83,-8.00
28,1,27349,Alex Noren,61.96,57,92,-64,-5.00
29,2,46717,Viktor Hovland,61.94,83,134,-91,+7.00
30,2,36801,Mark Hubbard,61.70,87,141,-96,-14.00
31,3,28089,Jason Day,61.63,53,86,-55,-1.00
32,3,48887,Matt Wallace,61.46,59,96,-62,-7.00
33,3,22405,Justin Rose,61.33,46,75,-49,-4.00
34,4,46402,Talor Gooch,61.25,98,160,-104,+2.00
35,24,23320,Ryan Palmer,61.24,79,129,-84,-17.00
36,14,30925,Dustin Johnson,61.16,74,121,-88,+7.00
36,3,47347,Adam Schenk,61.16,74,121,-79,-6.00
38,2,33204,Shane Lowry,61.11,44,72,-47,-5.00
39,2,49960,Sepp Straka,60.87,84,138,-89,-1.00
40,2,22371,Aaron Baddeley,60.81,45,74,-48,-3.00
40,14,29725,Tony Finau,60.81,90,148,-94,-7.00
42,6,29221,Webb Simpson,60.71,68,112,-72,-4.00
43,0,29268,Bronson Burgoon,60.64,57,94,-61,-6.00
44,0,31646,Emiliano Grillo,60.58,63,104,-68,-2.00
45,1,45157,Cam Davis,60.50,72,119,-80,+5.00
46,1,50525,Collin Morikawa,60.36,102,169,-114,-21.00
47,11,47959,Bryson DeChambeau,60.31,117,194,-124,+5.00
48,1,26329,Louis Oosthuizen,60.29,41,68,-43,-9.00
49,2,27214,Kevin Streelman,60.00,66,110,-68,-22.00
49,2,25349,Tim Wilkinson,60.00,27,45,-30,-11.00
51,4,25818,Scott Piercy,59.81,64,107,-68,-5.00
52,4,32150,Michael Thompson,59.79,58,97,-61,-8.00
53,19,48081,Xander Schauffele,59.64,99,166,-104,-9.00
54,21,46046,Scottie Scheffler,59.62,93,156,-100,-9.00
55,2,33490,Bo Hoag,59.55,53,89,-53,+1.00
56,-26,32839,Hideki Matsuyama,59.33,89,150,-97,-8.00
57,3,31323,Gary Woodland,59.29,83,140,-88,+2.00
58,3,27942,Rob Oppenheim,59.15,42,71,-47,-3.00
59,3,32662,Michael Gligic,59.09,39,66,-42,-10.00
60,3,34046,Jordan Spieth,59.05,62,105,-69,-5.00
61,3,29479,Scott Brown,58.95,56,95,-59,+1.00
62,3,24024,Zach Johnson,58.89,53,90,-54,-11.00
63,4,46442,Maverick McNealy,58.82,70,119,-74,E
64,4,49771,J.T. Poston,58.78,77,131,-82,+1.00
65,5,32640,Troy Merritt,58.72,64,109,-68,-3.00
66,5,27064,Jhonattan Vegas,58.70,54,92,-56,+3.00
67,6,51894,Vince Whaley,58.49,31,53,-35,+5.00
68,-2,35310,Lanto Griffin,58.47,107,183,-114,E
69,5,24138,Ian Poulter,58.46,38,65,-44,-22.00
70,26,45526,Abraham Ancer,58.33,70,120,-74,-3.00
71,5,37189,Harold Varner III,58.14,75,129,-79,E
72,5,23621,Rory Sabbatini,58.06,54,93,-59,-11.00
73,5,28775,Nate Lashley,58.02,47,81,-52,-10.00
74,5,31420,Anirban Lahiri,58.00,29,50,-30,-3.00
75,5,47504,Sam Burns,57.93,84,145,-92,-3.00
76,5,47128,Richy Werenski,57.89,55,95,-58,-4.00
77,5,35449,Adam Long,57.81,74,128,-81,-17.00
77,5,53165,Doc Redman,57.81,74,128,-81,-13.00
79,5,35658,Kris Ventura,57.75,41,71,-42,+3.00
80,5,33399,Adam Hadwin,57.69,60,104,-65,-13.00
81,5,40098,Matt Fitzpatrick,57.65,49,85,-52,-11.00
82,5,35450,Patrick Cantlay,57.63,68,118,-75,-3.00
83,7,21961,Charles Howell III,57.52,65,113,-72,-3.00
83,5,30927,Brendon Todd,57.52,65,113,-68,-18.00
85,6,34213,Grayson Murray,57.50,46,80,-49,+8.00
86,6,56762,Will Gordon,57.45,27,47,-28,+1.00
87,6,33141,Keegan Bradley,57.39,66,115,-70,-4.00
88,6,19846,Brian Gay,57.33,43,75,-46,-11.00
89,6,31560,Brian Stuard,57.14,52,91,-53,-18.00
90,7,33404,Chris Baker,56.92,37,65,-39,+1.00
91,8,33419,Cameron Tringale,56.91,70,123,-74,-10.00
92,8,32102,Rickie Fowler,56.84,54,95,-61,+1.00
92,25,48822,Sebastián Muñoz,56.84,108,190,-116,-8.00
94,7,34255,Joseph Bramlett,56.76,42,74,-47,-3.00
94,-6,25396,Kevin Na,56.76,63,111,-66,-6.00
94,7,25804,Bubba Watson,56.76,84,148,-89,+4.00
97,7,29926,Danny Lee,56.59,73,129,-74,+11.00
98,9,34099,Harris English,56.55,82,145,-85,-12.00
99,39,34363,Tyrrell Hatton,56.52,39,69,-41,-20.00
100,15,28237,Rory McIlroy,56.46,83,147,-93,+7.00
101,4,25900,Lucas Glover,56.45,70,124,-72,+11.00
102,4,33449,Zack Sucher,56.36,31,55,-32,+5.00
103,5,46550,Brandon Hagy,56.32,49,87,-55,+5.00
104,5,34021,Bud Cauley,56.31,58,103,-61,-16.00
105,24,29420,Billy Horschel,56.30,67,119,-73,-7.00
106,4,29535,Brice Garnett,56.25,45,80,-49,-2.00
107,4,39977,Max Homa,56.15,73,130,-77,-1.00
108,-5,52372,Cameron Champ,56.11,101,180,-108,+17.00
108,4,56278,Matthew Wolff,56.11,101,180,-106,+9.00
110,3,40009,Dominic Bozzelli,56.10,23,41,-24,-3.00
111,3,27129,Luke List,56.05,88,157,-99,+4.00
112,4,27554,Scott Harrington,56.00,70,125,-75,+2.00
112,18,26851,Marc Leishman,56.00,56,100,-58,+1.00
114,4,30692,Scott Stallings,55.83,67,120,-78,+3.00
115,4,30110,Kyle Stanley,55.81,48,86,-49,-5.00
116,4,36871,Matthew NeSmith,55.77,58,104,-62,+2.00
117,4,29970,Dylan Frittelli,55.70,88,158,-93,-10.00
118,4,39546,Keith Mitchell,55.65,69,124,-74,+8.00
119,4,27974,Sung Kang,55.35,88,159,-91,+3.00
120,4,01810,Phil Mickelson,55.32,52,94,-57,-2.00
121,-24,45486,Joaquin Niemann,55.22,74,134,-77,-7.00
122,3,23788,D.J. Trahan,55.07,38,69,-38,-4.00
123,3,36699,Patrick Rodgers,55.06,98,178,-102,-2.00
124,3,35532,Tom Hoge,55.00,66,120,-68,-6.00
124,3,36689,Brooks Koepka,55.00,44,80,-47,+2.00
126,4,25493,Nick Taylor,54.74,52,95,-58,-7.00
127,5,34466,Peter Malnati,54.67,41,75,-47,-11.00
128,5,19803,Ryan Armour,54.43,43,79,-47,-14.00
128,5,33667,Carlos Ortiz,54.43,86,158,-93,+5.00
130,5,45609,Tyler Duncan,54.40,68,125,-71,-6.00
131,5,33597,Harry Higgs,54.17,78,144,-81,+6.00
131,5,27095,Nick Watney,54.17,39,72,-41,-14.00
133,6,21209,Sergio Garcia,54.02,47,87,-48,-5.00
134,6,21407,Arjun Atwal,53.85,14,26,-17,-4.00
134,6,25364,Paul Casey,53.85,63,117,-64,-7.00
134,6,24924,Bill Haas,53.85,35,65,-35,-15.00
134,6,46441,Robby Shelton,53.85,70,130,-74,-2.00
138,6,35617,Martin Trainer,53.68,51,95,-55,+13.00
139,6,30163,Henrik Norlander,53.64,59,110,-62,-7.00
140,6,34431,Robert Streb,53.45,31,58,-32,-7.00
141,6,37275,Sam Ryder,53.44,70,131,-73,+1.00
142,6,39324,J.J. Spaun,53.40,55,103,-58,-17.00
143,6,40058,Zac Blair,53.33,32,60,-32,-26.00
143,6,35461,Beau Hossler,53.33,56,105,-60,+5.00
145,6,28307,Matt Every,53.26,49,92,-51,+5.00
146,6,32791,K.H. Lee,53.23,66,124,-67,-9.00
147,6,33410,Andrew Landry,53.21,58,109,-59,E
148,6,33948,Byeong Hun An,53.08,69,130,-73,+6.00
149,6,39997,Corey Conners,53.06,78,147,-81,-11.00
150,6,26758,David Hearn,52.94,27,51,-27,-13.00
151,6,49964,Aaron Wise,52.87,46,87,-47,-4.00
152,6,24502,Adam Scott,52.50,42,80,-46,-7.00
153,6,35230,Nelson Ledesma,52.00,26,50,-28,+5.00
154,6,22056,Cameron Percy,51.72,30,58,-34,-5.00
155,6,34098,Russell Henley,51.55,50,97,-54,-18.00
156,7,31557,Jim Herman,51.22,42,82,-44,-11.00
157,7,25686,Jason Dufner,51.16,44,86,-48,-13.00
158,7,33122,Russell Knox,51.11,46,90,-47,-9.00
159,2,29478,Kevin Kisner,50.98,52,102,-53,-16.00
160,6,10809,Jim Furyk,50.94,27,53,-30,-19.00
161,6,23623,Bo Van Pelt,50.88,29,57,-30,+9.00
162,6,24361,Pat Perez,50.68,37,73,-42,-8.00
163,6,26499,Rafa Cabrera Bello,50.67,38,75,-40,-5.00
164,6,20229,Stewart Cink,50.63,40,79,-42,-10.00
165,6,40042,Tyler McCumber,50.56,45,89,-47,+6.00
166,6,30911,Tommy Fleetwood,50.00,37,74,-38,+2.00
166,6,28679,Fabián Gómez,50.00,33,66,-37,+6.00
166,6,25572,Graeme McDowell,50.00,31,62,-32,-8.00
166,6,27556,Ted Potter Jr.,50.00,25,50,-25,-1.00
166,6,32333,Kevin Tway,50.00,37,74,-37,+4.00
166,6,32139,Danny Willett,50.00,39,78,-39,E
172,6,37455,Si Woo Kim,49.68,77,155,-78,+2.00
173,6,34076,Joel Dahmen,49.59,61,123,-68,+5.00
174,6,30944,Jason Kokrak,49.57,58,117,-61,E
175,6,29518,Brendan Steele,49.56,56,113,-59,-4.00
176,6,49766,Hank Lebioda,49.40,41,83,-44,-3.00
177,6,29974,Branden Grace,49.30,35,71,-35,-1.00
178,6,33486,Roger Sloan,49.28,34,69,-39,-2.00
178,6,27963,Chris Stroud,49.28,34,69,-35,-2.00
180,6,33120,Mark Anderson,48.21,27,56,-30,E
181,6,27649,Brandt Snedeker,48.04,49,102,-50,-9.00
182,6,48045,Michael Gellerman,47.92,23,48,-26,-6.00
183,6,25632,Jimmy Walker,47.76,32,67,-35,-5.00
184,6,23325,Vaughn Taylor,47.62,30,63,-32,-14.00
185,6,33413,Ben Martin,47.22,17,36,-18,-4.00
186,6,32366,Kevin Chappell,47.14,33,70,-37,E
187,6,46435,Austin Cook,47.13,41,87,-42,-10.00
188,6,48119,Ben Taylor,45.00,18,40,-18,-2.00
189,6,34314,Sebastian Cappelen,44.93,31,69,-33,+3.00
190,6,29908,C.T. Pan,44.58,37,83,-39,-12.00
191,6,35732,Wes Roach,42.86,18,42,-18,-1.00
192,6,26596,Ryan Moore,42.67,32,75,-33,-6.00
193,7,34256,Andrew Putnam,42.31,22,52,-23,-1.00
