RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL ACTUAL HANG TIME,TOTAL ATTEMPTS
1,0,32448,James Hahn,7.1,1214.6,171
2,0,45157,Cam Davis,7.0,1052.9,151
3,0,33141,Keegan Bradley,6.9,1243.7,181
3,0,47959,Bryson DeChambeau,6.9,2463.2,359
3,0,29926,Danny Lee,6.9,1475.7,214
3,0,35449,Adam Long,6.9,1778.6,259
3,0,27330,Josh Teater,6.9,1459.4,212
8,0,30911,Tommy Fleetwood,6.8,803.4,118
8,0,32102,Rickie Fowler,6.8,2226.9,328
8,0,27554,Scott Harrington,6.8,1163.5,170
8,0,32757,Patton Kizzire,6.8,1017.0,150
8,0,36689,Brooks Koepka,6.8,900.1,132
8,0,35230,Nelson Ledesma,6.8,570.5,84
8,0,24361,Pat Perez,6.8,2079.7,305
8,0,35732,Wes Roach,6.8,913.6,135
8,0,33486,Roger Sloan,6.8,2112.5,310
8,0,33419,Cameron Tringale,6.8,1529.0,225
8,0,56278,Matthew Wolff,6.8,1527.8,226
19,0,34255,Joseph Bramlett,6.7,676.6,101
19,0,28420,Ryan Brehm,6.7,1173.4,176
19,0,32366,Kevin Chappell,6.7,908.1,135
19,0,51766,Wyndham Clark,6.7,1083.7,162
19,0,32662,Michael Gligic,6.7,933.5,139
19,0,24924,Bill Haas,6.7,786.0,117
19,0,33399,Adam Hadwin,6.7,3268.5,489
19,0,39977,Max Homa,6.7,1409.1,211
19,0,35461,Beau Hossler,6.7,2460.0,369
19,18,46717,Viktor Hovland,6.7,3883.6,584
19,0,35506,Mackenzie Hughes,6.7,1697.4,253
19,0,30944,Jason Kokrak,6.7,2707.1,402
19,0,32640,Troy Merritt,6.7,2985.7,445
19,0,39546,Keith Mitchell,6.7,1072.0,161
19,0,27349,Alex Noren,6.7,2441.4,367
19,0,49771,J.T. Poston,6.7,3155.5,473
19,0,39324,J.J. Spaun,6.7,1077.3,162
19,0,27214,Kevin Streelman,6.7,3116.5,468
19,0,33449,Zack Sucher,6.7,1182.2,177
38,-1,33948,Byeong Hun An,6.6,3401.1,514
38,-1,33404,Chris Baker,6.6,846.8,128
38,-1,40009,Dominic Bozzelli,6.6,970.5,147
38,-1,47504,Sam Burns,6.6,2742.5,418
38,-1,34021,Bud Cauley,6.6,2890.2,440
38,-1,39997,Corey Conners,6.6,1360.9,205
38,-1,28307,Matt Every,6.6,911.3,138
38,-1,29970,Dylan Frittelli,6.6,1574.9,237
38,-1,32618,Rhein Gibson,6.6,714.2,109
38,-1,56762,Will Gordon,6.6,472.8,72
38,-1,27974,Sung Kang,6.6,1299.6,197
38,-1,27936,Martin Laird,6.6,671.1,102
38,-1,27129,Luke List,6.6,1286.9,196
38,-1,40042,Tyler McCumber,6.6,1162.4,175
38,-1,01810,Phil Mickelson,6.6,858.0,130
38,-1,46970,Jon Rahm,6.6,1423.0,215
38,-1,37275,Sam Ryder,6.6,1336.6,203
38,-1,29221,Webb Simpson,6.6,2590.0,391
38,-1,29518,Brendan Steele,6.6,2237.8,338
38,-1,48119,Ben Taylor,6.6,604.1,92
38,-1,25493,Nick Taylor,6.6,2333.0,356
38,-1,23623,Bo Van Pelt,6.6,1748.0,265
38,-1,32139,Danny Willett,6.6,783.0,118
38,-1,49964,Aaron Wise,6.6,743.5,113
62,3,33120,Mark Anderson,6.5,700.4,108
62,3,29268,Bronson Burgoon,6.5,1752.3,270
62,3,52372,Cameron Champ,6.5,1356.6,208
62,3,20229,Stewart Cink,6.5,1191.0,182
62,3,46435,Austin Cook,6.5,2476.5,379
62,-25,34099,Harris English,6.5,1690.8,259
62,3,29535,Brice Garnett,6.5,1028.7,159
62,3,31646,Emiliano Grillo,6.5,1077.4,167
62,3,34563,Chesson Hadley,6.5,913.8,140
62,3,33597,Harry Higgs,6.5,1755.6,269
62,3,29420,Billy Horschel,6.5,1549.5,239
62,3,39971,Sungjae Im,6.5,4277.2,655
62,3,49766,Hank Lebioda,6.5,928.2,142
62,3,34466,Peter Malnati,6.5,2525.1,388
62,3,33413,Ben Martin,6.5,768.6,118
62,3,28237,Rory McIlroy,6.5,1360.8,208
62,3,50525,Collin Morikawa,6.5,1613.7,249
62,3,36871,Matt NeSmith,6.5,1106.3,170
62,3,23320,Ryan Palmer,6.5,1422.9,220
62,3,53165,Doc Redman,6.5,1663.6,254
62,3,36699,Patrick Rodgers,6.5,1733.9,265
62,3,22405,Justin Rose,6.5,1903.7,291
62,3,46046,Scottie Scheffler,6.5,1737.4,268
62,3,23325,Vaughn Taylor,6.5,1940.0,297
62,3,32150,Michael Thompson,6.5,1504.8,230
62,3,27064,Jhonattan Vegas,6.5,1404.2,215
62,3,35658,Kris Ventura,6.5,890.8,138
62,3,48887,Matt Wallace,6.5,2275.3,351
62,3,27095,Nick Watney,6.5,850.6,131
62,3,51894,Vince Whaley,6.5,976.7,150
92,5,21407,Arjun Atwal,6.4,540.7,85
92,5,22371,Aaron Baddeley,6.4,1043.1,164
92,5,29479,Scott Brown,6.4,1147.4,180
92,5,35450,Patrick Cantlay,6.4,2247.2,352
92,5,34314,Sebastian Cappelen,6.4,846.5,132
92,5,28089,Jason Day,6.4,918.7,143
92,5,45609,Tyler Duncan,6.4,3260.8,513
92,5,29725,Tony Finau,6.4,1400.8,218
92,5,21209,Sergio Garcia,6.4,707.0,111
92,5,52375,Doug Ghim,6.4,596.4,93
92,5,34098,Russell Henley,6.4,1420.0,222
92,5,12716,Charley Hoffman,6.4,2583.7,403
92,5,35532,Tom Hoge,6.4,1487.3,232
92,-27,30925,Dustin Johnson,6.4,982.6,153
92,5,24024,Zach Johnson,6.4,2345.7,365
92,5,26300,Matt Jones,6.4,3336.4,520
92,5,33410,Andrew Landry,6.4,2917.5,459
92,5,32839,Hideki Matsuyama,6.4,1565.5,245
92,5,47993,Denny McCarthy,6.4,2789.9,433
92,5,27556,Ted Potter Jr.,6.4,877.2,138
92,5,47347,Adam Schenk,6.4,1213.3,190
92,5,24502,Adam Scott,6.4,764.8,119
92,5,39953,Chase Seiffert,6.4,1498.0,234
92,5,27649,Brandt Snedeker,6.4,2626.0,413
92,5,34431,Robert Streb,6.4,1235.7,192
92,5,37189,Harold Varner III,6.4,2842.6,447
92,5,25632,Jimmy Walker,6.4,1778.4,279
92,5,25804,Bubba Watson,6.4,3197.9,496
92,5,47128,Richy Werenski,6.4,1175.1,184
92,5,31323,Gary Woodland,6.4,986.4,153
92,5,32254,Xinjun Zhang,6.4,1412.2,222
123,4,40058,Zac Blair,6.3,2581.7,410
123,4,25364,Paul Casey,6.3,1010.6,160
123,4,34076,Joel Dahmen,6.3,3413.7,546
123,4,19846,Brian Gay,6.3,1335.3,212
123,4,48045,Michael Gellerman,6.3,594.3,94
123,4,46550,Brandon Hagy,6.3,811.5,129
123,4,27644,Brian Harman,6.3,3809.3,600
123,30,34363,Tyrrell Hatton,6.3,949.6,151
123,4,26758,David Hearn,6.3,863.4,136
123,4,49298,Kramer Hickok,6.3,1338.4,211
123,4,29478,Kevin Kisner,6.3,2744.9,434
123,4,33122,Russell Knox,6.3,1159.4,183
123,4,32791,K.H. Lee,6.3,1354.4,214
123,4,48822,Sebastián Muñoz,6.3,2371.4,377
123,4,34213,Grayson Murray,6.3,1306.2,206
123,4,25396,Kevin Na,6.3,2323.2,367
123,4,26329,Louis Oosthuizen,6.3,2311.6,366
123,4,33667,Carlos Ortiz,6.3,2808.1,445
