RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,28089,Jason Day,.33,1,306
2,0,28252,Seamus Power,.56,1,180
3,0,01810,Phil Mickelson,.69,2,288
4,0,20229,Stewart Cink,.79,2,252
5,0,36801,Mark Hubbard,.93,4,432
6,0,46046,Scottie Scheffler,.97,4,414
7,-1,27644,Brian Harman,1.01,4,396
8,2,46970,Jon Rahm,1.11,3,270
9,2,23320,Ryan Palmer,1.17,4,342
10,2,10809,Jim Furyk,1.28,3,234
10,2,29484,Peter Uihlein,1.28,3,234
12,2,35461,Beau Hossler,1.32,5,378
13,2,30927,Brendon Todd,1.33,6,450
14,-5,34099,Harris English,1.39,5,360
14,1,46402,Talor Gooch,1.39,6,432
14,1,23108,Matt Kuchar,1.39,4,288
14,1,31560,Brian Stuard,1.39,6,432
14,1,32150,Michael Thompson,1.39,5,360
19,2,25818,Scott Piercy,1.46,5,342
19,2,23325,Vaughn Taylor,1.46,5,342
21,2,40098,Matt Fitzpatrick,1.48,4,270
22,2,36699,Patrick Rodgers,1.50,7,468
23,2,36871,Matthew NeSmith,1.52,6,396
24,3,47504,Sam Burns,1.54,5,324
24,3,24024,Zach Johnson,1.54,5,324
26,4,29221,Webb Simpson,1.59,4,252
27,-12,47959,Bryson DeChambeau,1.63,5,306
27,2,39953,Chase Seiffert,1.63,5,306
29,5,34360,Patrick Reed,1.67,6,360
30,0,22405,Justin Rose,1.71,4,234
31,1,22371,Aaron Baddeley,1.74,5,288
31,1,27349,Alex Noren,1.74,5,288
33,2,33597,Harry Higgs,1.78,8,450
34,2,39977,Max Homa,1.85,7,378
34,4,29478,Kevin Kisner,1.85,7,378
36,1,49771,J.T. Poston,1.93,8,414
37,2,31323,Gary Woodland,1.96,6,306
38,11,34363,Tyrrell Hatton,2.02,4,198
39,1,34021,Bud Cauley,2.05,7,342
39,1,28775,Nate Lashley,2.05,7,342
41,1,47128,Richy Werenski,2.08,6,288
42,1,51766,Wyndham Clark,2.12,8,378
43,1,24138,Ian Poulter,2.14,5,234
44,1,34314,Sebastian Cappelen,2.16,7,324
44,1,25493,Nick Taylor,2.16,7,324
44,1,32333,Kevin Tway,2.16,7,324
47,1,46441,Robby Shelton,2.17,9,414
48,13,28237,Rory McIlroy,2.22,6,270
48,1,24502,Adam Scott,2.22,4,180
48,1,25804,Bubba Watson,2.22,8,360
51,2,19846,Brian Gay,2.27,9,396
51,10,35506,Mackenzie Hughes,2.27,9,396
51,2,37189,Harold Varner III,2.27,9,396
54,1,34046,Jordan Spieth,2.29,7,306
55,1,29970,Dylan Frittelli,2.31,10,432
55,1,32448,James Hahn,2.31,5,216
57,1,12716,Charley Hoffman,2.34,8,342
57,1,32757,Patton Kizzire,2.34,8,342
57,13,35891,Cameron Smith,2.34,8,342
60,-11,35310,Lanto Griffin,2.35,11,468
61,0,32102,Rickie Fowler,2.38,6,252
61,0,26596,Ryan Moore,2.38,6,252
63,2,35230,Nelson Ledesma,2.43,7,288
63,2,25572,Graeme McDowell,2.43,7,288
63,2,34256,Andrew Putnam,2.43,7,288
63,2,25632,Jimmy Walker,2.43,7,288
63,2,27095,Nick Watney,2.43,7,288
68,3,19803,Ryan Armour,2.50,9,360
68,-10,29725,Tony Finau,2.50,9,360
70,2,34076,Joel Dahmen,2.53,10,396
70,2,26476,Chez Reavie,2.53,10,396
72,2,53165,Doc Redman,2.55,11,432
73,2,26329,Louis Oosthuizen,2.56,6,234
73,2,35732,Wes Roach,2.56,6,234
75,2,25364,Paul Casey,2.59,7,270
75,2,32618,Rhein Gibson,2.59,7,270
75,2,25349,Tim Wilkinson,2.59,7,270
78,2,29535,Brice Garnett,2.63,9,342
78,2,30692,Scott Stallings,2.63,9,342
80,2,33490,Bo Hoag,2.65,10,378
80,2,33122,Russell Knox,2.65,10,378
82,2,26300,Matt Jones,2.66,11,414
83,2,49960,Sepp Straka,2.67,12,450
84,2,40009,Dominic Bozzelli,2.78,6,216
84,2,26499,Rafa Cabrera Bello,2.78,8,288
84,2,28679,Fabián Gómez,2.78,9,324
84,2,35532,Tom Hoge,2.78,12,432
84,13,46717,Viktor Hovland,2.78,10,360
84,2,47993,Denny McCarthy,2.78,11,396
84,11,48822,Sebastián Muñoz,2.78,13,468
84,2,37275,Sam Ryder,2.78,12,432
84,2,33449,Zack Sucher,2.78,6,216
84,2,48119,Ben Taylor,2.78,8,288
94,2,32640,Troy Merritt,2.91,11,378
94,6,25396,Kevin Na,2.91,11,378
96,2,32139,Danny Willett,2.99,7,234
97,2,33948,Byeong Hun An,3.03,12,396
97,14,29420,Billy Horschel,3.03,12,396
99,14,45526,Abraham Ancer,3.06,11,360
99,1,33141,Keegan Bradley,3.06,11,360
99,1,34466,Peter Malnati,3.06,11,360
99,14,32839,Hideki Matsuyama,3.06,11,360
103,0,29268,Bronson Burgoon,3.09,10,324
103,0,26758,David Hearn,3.09,10,324
103,16,33448,Justin Thomas,3.09,10,324
