RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,27963,Chris Stroud,2.85,262,92
2,0,24502,Adam Scott,2.89,220,76
3,0,49771,J.T. Poston,2.90,441,152
4,-1,25396,Kevin Na,2.92,403,138
5,-2,46970,Jon Rahm,2.93,328,112
6,0,33141,Keegan Bradley,2.94,400,136
7,0,28089,Jason Day,2.95,313,106
7,3,28237,Rory McIlroy,2.95,354,120
7,0,24361,Pat Perez,2.95,325,110
7,0,29221,Webb Simpson,2.95,307,104
11,8,40026,Daniel Berger,2.96,379,128
11,-1,29479,Scott Brown,2.96,379,128
11,-1,29268,Bronson Burgoon,2.96,314,106
11,-1,34076,Joel Dahmen,2.96,468,158
11,19,34363,Tyrrell Hatton,2.96,249,84
11,-1,33413,Ben Martin,2.96,213,72
11,-1,25572,Graeme McDowell,2.96,272,92
11,-1,24138,Ian Poulter,2.96,284,96
11,-1,47128,Richy Werenski,2.96,331,112
20,-1,29535,Brice Garnett,2.97,345,116
20,-1,50525,Collin Morikawa,2.97,463,156
20,-10,48822,Sebastián Muñoz,2.97,487,164
23,-1,56762,Will Gordon,2.98,191,64
23,-1,34098,Russell Henley,2.98,375,126
23,-1,33667,Carlos Ortiz,2.98,429,144
23,-1,46046,Scottie Scheffler,2.98,489,164
23,-1,39953,Chase Seiffert,2.98,322,108
23,-1,30692,Scott Stallings,2.98,399,134
29,1,19803,Ryan Armour,2.99,347,116
29,1,30911,Tommy Fleetwood,2.99,239,80
29,1,27349,Alex Noren,2.99,335,112
29,-7,30927,Brendon Todd,2.99,502,168
29,1,27095,Nick Watney,2.99,263,88
34,3,33948,Byeong Hun An,3.00,450,150
34,9,34099,Harris English,3.00,456,152
34,-12,35506,Mackenzie Hughes,3.00,420,140
34,-4,35891,Cameron Smith,3.00,384,128
34,3,30110,Kyle Stanley,3.00,318,106
34,9,33448,Justin Thomas,3.00,384,128
34,3,49964,Aaron Wise,3.00,270,90
41,-4,45526,Abraham Ancer,3.01,446,148
41,2,32366,Kevin Chappell,3.01,247,82
41,2,46435,Austin Cook,3.01,361,120
41,2,32102,Rickie Fowler,3.01,253,84
41,2,46402,Talor Gooch,3.01,499,166
41,2,33490,Bo Hoag,3.01,404,134
41,-4,30925,Dustin Johnson,3.01,283,94
41,2,36689,Brooks Koepka,3.01,241,80
49,3,34021,Bud Cauley,3.02,369,122
49,3,20229,Stewart Cink,3.02,308,102
49,3,25900,Lucas Glover,3.02,405,134
49,3,29974,Branden Grace,3.02,248,82
49,3,33399,Adam Hadwin,3.02,393,130
49,-6,46717,Viktor Hovland,3.02,447,148
49,3,40042,Tyler McCumber,3.02,320,106
49,3,34256,Andrew Putnam,3.02,278,92
49,3,31560,Brian Stuard,3.02,490,162
58,3,28420,Ryan Brehm,3.03,303,100
58,3,45157,Cam Davis,3.03,351,116
58,3,40098,Matt Fitzpatrick,3.03,327,108
58,3,34563,Chesson Hadley,3.03,351,116
58,-6,39971,Sungjae Im,3.03,570,188
58,3,27974,Sung Kang,3.03,430,142
58,3,33122,Russell Knox,3.03,382,126
58,3,49766,Hank Lebioda,3.03,333,110
58,3,27942,Rob Oppenheim,3.03,370,122
58,3,29908,C.T. Pan,3.03,339,112
58,3,37275,Sam Ryder,3.03,424,140
