RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,24357,K.J. Choi,92.86,91,98,-0.49
2,0,27649,Brandt Snedeker,91.12,195,214,-0.61
3,0,23325,Vaughn Taylor,90.86,159,175,-0.56
4,0,39324,J.J. Spaun,90.71,166,183,-0.46
5,0,48887,Matt Wallace,90.55,115,127,-0.51
6,0,49766,Hank Lebioda,90.48,171,189,-0.63
7,0,46046,Scottie Scheffler,90.25,324,359,-0.59
8,0,33413,Ben Martin,90.23,120,133,-0.53
9,0,27770,Camilo Villegas,90.20,184,204,-0.63
10,0,32640,Troy Merritt,90.13,210,233,-0.58
11,0,21961,Charles Howell III,90.00,189,210,-0.52
12,0,27330,Josh Teater,89.93,125,139,-0.55
13,0,32448,James Hahn,89.77,193,215,-0.52
14,0,29221,Webb Simpson,89.66,208,232,-0.59
15,0,50525,Collin Morikawa,89.61,207,231,-0.62
16,0,37189,Harold Varner III,89.49,230,257,-0.57
17,0,34431,Robert Streb,89.43,220,246,-0.54
18,0,26300,Matt Jones,89.29,275,308,-0.58
18,0,33419,Cameron Tringale,89.29,250,280,-0.62
20,0,24502,Adam Scott,89.23,174,195,-0.60
21,0,45526,Abraham Ancer,89.16,288,323,-0.57
22,0,24024,Zach Johnson,89.14,197,221,-0.53
23,0,33486,Roger Sloan,89.08,204,229,-0.51
24,0,49964,Aaron Wise,89.05,244,274,-0.58
25,0,34174,John Huh,88.96,145,163,-0.54
25,0,20396,Lee Westwood,88.96,137,154,-0.61
27,0,29268,Bronson Burgoon,88.89,184,207,-0.51
28,0,47483,Will Zalatoris,88.80,230,259,-0.56
29,0,19803,Ryan Armour,88.78,174,196,-0.54
30,0,20229,Stewart Cink,88.70,259,292,-0.58
31,0,40026,Daniel Berger,88.69,243,274,-0.65
32,0,32839,Hideki Matsuyama,88.57,279,315,-0.62
33,0,36801,Mark Hubbard,88.39,236,267,-0.60
34,0,52375,Doug Ghim,88.36,205,232,-0.57
35,0,33490,Bo Hoag,88.33,227,257,-0.58
35,0,30163,Henrik Norlander,88.33,227,257,-0.56
37,0,33141,Keegan Bradley,88.32,242,274,-0.55
37,0,29535,Brice Garnett,88.32,189,214,-0.56
39,0,34256,Andrew Putnam,88.29,196,222,-0.54
40,0,23621,Rory Sabbatini,88.28,211,239,-0.54
41,0,32757,Patton Kizzire,88.24,285,323,-0.62
42,0,32662,Michael Gligic,88.21,187,212,-0.58
43,0,35891,Cameron Smith,88.01,235,267,-0.70
44,0,28252,Seamus Power,87.90,138,157,-0.65
45,0,27644,Brian Harman,87.87,268,305,-0.65
46,0,46970,Jon Rahm,87.82,238,271,-0.68
47,0,27129,Luke List,87.77,280,319,-0.57
48,0,28679,Fabián Gómez,87.76,86,98,-0.50
49,0,39997,Corey Conners,87.75,265,302,-0.52
50,0,48045,Michael Gellerman,87.74,93,106,-0.55
50,0,25900,Lucas Glover,87.74,229,261,-0.52
50,0,48119,Ben Taylor,87.74,93,106,-0.61
53,0,26758,David Hearn,87.70,107,122,-0.58
53,0,30926,Chris Kirk,87.70,221,252,-0.48
55,0,35450,Patrick Cantlay,87.68,249,284,-0.61
55,0,22056,Cameron Percy,87.68,185,211,-0.52
57,0,24924,Bill Haas,87.61,99,113,-0.55
58,0,27095,Nick Watney,87.59,120,137,-0.43
59,0,30911,Tommy Fleetwood,87.57,148,169,-0.56
59,0,23788,D.J. Trahan,87.57,148,169,-0.49
61,0,48081,Xander Schauffele,87.35,214,245,-0.68
62,0,46435,Austin Cook,87.30,165,189,-0.50
63,0,36871,Matthew NeSmith,87.29,254,291,-0.57
64,0,49960,Sepp Straka,87.20,252,289,-0.62
65,0,36689,Brooks Koepka,87.14,183,210,-0.66
66,0,34363,Tyrrell Hatton,87.08,155,178,-0.59
67,0,47128,Richy Werenski,87.05,242,278,-0.56
68,0,32333,Kevin Tway,87.00,174,200,-0.55
69,0,23623,Bo Van Pelt,86.91,166,191,-0.53
70,0,45486,Joaquin Niemann,86.88,331,381,-0.59
71,0,33204,Shane Lowry,86.76,177,204,-0.56
72,0,34255,Joseph Bramlett,86.67,221,255,-0.52
72,0,27936,Martin Laird,86.67,221,255,-0.55
74,0,29518,Brendan Steele,86.64,201,232,-0.50
75,0,32816,Satoshi Kodaira,86.54,180,208,-0.57
76,0,34098,Russell Henley,86.48,211,244,-0.57
77,0,28089,Jason Day,86.40,197,228,-0.52
78,0,46717,Viktor Hovland,86.38,260,301,-0.58
79,0,26329,Louis Oosthuizen,86.29,170,197,-0.64
79,0,27942,Rob Oppenheim,86.29,151,175,-0.68
81,0,30110,Kyle Stanley,86.27,201,233,-0.44
82,0,23320,Ryan Palmer,86.23,238,276,-0.65
83,0,24140,Sean O'Hair,86.16,137,159,-0.56
84,0,24361,Pat Perez,86.15,224,260,-0.59
85,0,25364,Paul Casey,86.12,180,209,-0.63
86,0,40006,Erik van Rooyen,85.96,202,235,-0.66
87,0,30692,Scott Stallings,85.89,213,248,-0.52
88,0,26499,Rafa Cabrera Bello,85.79,163,190,-0.56
89,0,35310,Lanto Griffin,85.77,241,281,-0.58
89,0,30925,Dustin Johnson,85.77,217,253,-0.59
91,0,34099,Harris English,85.71,234,273,-0.67
91,0,35461,Beau Hossler,85.71,276,322,-0.55
91,0,39971,Sungjae Im,85.71,384,448,-0.63
94,0,37455,Si Woo Kim,85.63,292,341,-0.61
95,0,33448,Justin Thomas,85.61,232,271,-0.66
96,0,27064,Jhonattan Vegas,85.50,224,262,-0.56
97,0,25686,Jason Dufner,85.45,188,220,-0.56
98,0,32618,Rhein Gibson,85.44,88,103,-0.56
99,0,29478,Kevin Kisner,85.41,199,233,-0.57
100,0,31646,Emiliano Grillo,85.39,187,219,-0.52
101,0,26851,Marc Leishman,85.33,192,225,-0.59
101,0,26331,Charl Schwartzel,85.33,256,300,-0.52
103,0,30944,Jason Kokrak,85.30,267,313,-0.59
104,0,33122,Russell Knox,85.24,231,271,-0.49
105,0,32102,Rickie Fowler,85.07,188,221,-0.53
