RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,49298,Kramer Hickok,6.99,54,773,+0.07
2,0,45526,Abraham Ancer,7.00,79,1129,+0.01
3,0,27936,Martin Laird,7.37,71,964,+0.06
4,0,39324,J.J. Spaun,7.99,58,726,+0.10
5,0,36871,Matthew NeSmith,8.70,96,1104,+0.01
6,0,36801,Mark Hubbard,8.92,110,1233,+0.24
6,0,28252,Seamus Power,8.92,52,583,E
8,0,26476,Chez Reavie,8.97,89,992,+0.13
9,0,29478,Kevin Kisner,9.05,87,961,+0.02
10,0,30927,Brendon Todd,9.15,91,994,+0.15
11,0,31560,Brian Stuard,9.16,112,1223,+0.09
12,0,30110,Kyle Stanley,9.21,95,1031,+0.14
13,0,39971,Sungjae Im,9.24,145,1569,+0.07
14,0,27349,Alex Noren,9.30,95,1021,-0.02
15,0,24138,Ian Poulter,9.31,71,763,+0.15
16,0,19803,Ryan Armour,9.33,87,932,+0.21
17,0,33410,Andrew Landry,9.45,80,847,+0.01
18,0,24924,Bill Haas,9.47,41,433,+0.02
19,0,33413,Ben Martin,9.53,45,472,-0.09
20,0,32816,Satoshi Kodaira,9.58,82,856,+0.13
21,0,25818,Scott Piercy,9.68,91,940,+0.20
22,0,33404,Chris Baker,10.00,53,530,+0.11
23,0,40026,Daniel Berger,10.14,103,1016,-0.02
24,0,22371,Aaron Baddeley,10.28,51,496,-0.06
25,0,53165,Doc Redman,10.32,98,950,+0.09
26,0,26851,Marc Leishman,10.33,91,881,+0.13
27,0,27644,Brian Harman,10.42,123,1180,+0.16
28,0,48045,Michael Gellerman,10.60,46,434,+0.09
29,0,23621,Rory Sabbatini,10.61,99,933,+0.05
30,0,30163,Henrik Norlander,10.67,111,1040,+0.13
31,0,50525,Collin Morikawa,10.71,99,924,+0.20
32,0,37455,Si Woo Kim,10.74,124,1155,+0.01
33,0,33122,Russell Knox,10.75,119,1107,+0.21
34,0,40006,Erik van Rooyen,10.77,101,938,+0.15
35,0,34076,Joel Dahmen,10.80,99,917,+0.07
35,0,26758,David Hearn,10.80,69,639,+0.10
37,0,37275,Sam Ryder,10.89,103,946,+0.05
38,0,45609,Tyler Duncan,10.93,115,1052,+0.17
39,0,33490,Bo Hoag,10.94,114,1042,-0.03
39,0,27942,Rob Oppenheim,10.94,85,777,+0.07
41,0,34099,Harris English,11.01,120,1090,+0.11
