RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,190.94,35514.01,186
2,0,47959,Bryson DeChambeau,190.72,31468.49,165
3,0,56762,Will Gordon,185.08,49045.29,265
4,0,46550,Brandon Hagy,184.97,42544.23,230
5,0,27064,Jhonattan Vegas,183.73,50342.76,274
6,0,28420,Ryan Brehm,183.30,26945.78,147
7,0,28237,Rory McIlroy,182.40,39216.41,215
8,0,56278,Matthew Wolff,182.13,26954.98,148
9,0,40042,Tyler McCumber,181.46,38288.32,211
10,0,31323,Gary Woodland,181.25,29000.71,160
11,0,27129,Luke List,180.69,56555.82,313
12,0,24502,Adam Scott,180.59,29978.27,166
13,0,32333,Kevin Tway,180.21,36042.46,200
14,0,27554,Scott Harrington,179.96,43369.50,241
15,0,35658,Kris Ventura,179.80,37578.35,209
16,0,47504,Sam Burns,179.48,54022.96,301
17,0,51766,Wyndham Clark,179.45,17047.64,95
18,0,30925,Dustin Johnson,179.36,36590.00,204
19,0,45486,Joaquin Niemann,178.97,57091.61,319
20,0,34255,Joseph Bramlett,178.82,42022.91,235
21,0,47347,Adam Schenk,178.57,59819.34,335
22,0,47483,Will Zalatoris,178.52,42665.85,239
23,0,46970,Jon Rahm,178.46,37120.37,208
24,0,36689,Brooks Koepka,178.18,30825.63,173
25,0,29970,Dylan Frittelli,178.14,90495.11,508
26,0,27095,Nick Watney,178.06,31339.34,176
27,0,25804,Bubba Watson,178.02,31332.33,176
28,0,29725,Tony Finau,177.91,49991.87,281
29,0,35310,Lanto Griffin,177.82,44988.29,253
30,0,39546,Keith Mitchell,177.79,44981.68,253
31,0,45157,Cam Davis,177.55,64271.91,362
32,0,36699,Patrick Rodgers,177.47,56258.66,317
33,0,48081,Xander Schauffele,177.29,33686.02,190
34,0,34213,Grayson Murray,176.97,24953.01,141
35,0,30944,Jason Kokrak,176.75,50197.93,284
36,0,35617,Martin Trainer,176.51,33536.52,190
37,0,26331,Charl Schwartzel,176.21,51453.07,292
38,0,33448,Justin Thomas,176.18,41578.87,236
39,0,39977,Max Homa,176.00,44704.98,254
40,0,21209,Sergio Garcia,175.90,48548.58,276
41,0,12716,Charley Hoffman,175.81,49579.69,282
42,0,34264,Hudson Swafford,175.72,43928.99,250
