RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,34360,Patrick Reed,45.09,633,1404
2,0,24138,Ian Poulter,44.91,582,1296
3,0,35891,Cameron Smith,44.85,662,1476
4,0,35532,Tom Hoge,43.52,752,1728
5,0,34046,Jordan Spieth,43.24,685,1584
6,0,33448,Justin Thomas,43.12,652,1512
7,0,25396,Kevin Na,43.10,675,1566
8,0,34099,Harris English,43.00,712,1656
9,0,28237,Rory McIlroy,42.72,569,1332
10,0,33597,Harry Higgs,42.71,615,1440
11,0,32757,Patton Kizzire,42.48,780,1836
12,0,27349,Alex Noren,42.41,626,1476
13,0,31420,Anirban Lahiri,42.40,519,1224
14,0,34466,Peter Malnati,42.36,610,1440
15,0,23320,Ryan Palmer,42.19,562,1332
16,0,39977,Max Homa,42.18,653,1548
17,0,27644,Brian Harman,42.17,759,1800
18,0,33419,Cameron Tringale,42.09,697,1656
19,0,35617,Martin Trainer,42.00,446,1062
20,0,29221,Webb Simpson,41.97,559,1332
21,0,32618,Rhein Gibson,41.96,423,1008
22,0,45526,Abraham Ancer,41.95,740,1764
23,0,30925,Dustin Johnson,41.90,543,1296
24,0,22371,Aaron Baddeley,41.77,406,972
25,0,36689,Brooks Koepka,41.75,496,1188
26,0,45157,Cam Davis,41.67,705,1692
26,0,23325,Vaughn Taylor,41.67,585,1404
28,0,34363,Tyrrell Hatton,41.57,419,1008
29,0,30927,Brendon Todd,41.54,643,1548
30,0,49771,J.T. Poston,41.53,628,1512
30,0,46441,Robby Shelton,41.53,598,1440
32,0,27942,Rob Oppenheim,41.44,552,1332
33,0,19846,Brian Gay,41.43,522,1260
34,0,25818,Scott Piercy,41.35,588,1422
35,0,27556,Ted Potter Jr.,41.34,506,1224
36,0,27141,J.B. Holmes,41.32,357,864
37,0,35310,Lanto Griffin,41.30,669,1620
38,0,34314,Sebastian Cappelen,41.26,401,972
39,0,12716,Charley Hoffman,41.25,735,1782
40,0,24781,Hunter Mahan,41.23,423,1026
41,0,33399,Adam Hadwin,41.22,653,1584
42,0,29479,Scott Brown,41.18,593,1440
42,0,48822,Sebastián Muñoz,41.18,756,1836
44,0,27649,Brandt Snedeker,41.14,622,1512
45,0,22405,Justin Rose,41.05,399,972
46,0,32139,Danny Willett,41.02,347,846
47,0,47959,Bryson DeChambeau,40.97,590,1440
47,0,34563,Chesson Hadley,40.97,531,1296
49,0,46442,Maverick McNealy,40.95,575,1404
50,0,37455,Si Woo Kim,40.90,692,1692
51,0,51766,Wyndham Clark,40.88,574,1404
52,0,25493,Nick Taylor,40.86,662,1620
53,0,35450,Patrick Cantlay,40.81,573,1404
54,0,48081,Xander Schauffele,40.79,558,1368
55,0,28252,Seamus Power,40.71,425,1044
56,0,27770,Camilo Villegas,40.69,564,1386
57,0,24357,K.J. Choi,40.60,380,936
58,0,46046,Scottie Scheffler,40.59,716,1764
59,0,34076,Joel Dahmen,40.58,599,1476
60,0,47504,Sam Burns,40.54,613,1512
60,0,26329,Louis Oosthuizen,40.54,540,1332
62,0,28679,Fabián Gómez,40.53,394,972
63,0,26300,Matt Jones,40.52,744,1836
63,0,23621,Rory Sabbatini,40.52,547,1350
65,0,46402,Talor Gooch,40.49,656,1620
65,0,40006,Erik van Rooyen,40.49,532,1314
67,0,47993,Denny McCarthy,40.48,685,1692
68,0,34431,Robert Streb,40.45,597,1476
69,0,39971,Sungjae Im,40.44,888,2196
70,0,25632,Jimmy Walker,40.39,538,1332
71,0,32791,K.H. Lee,40.36,770,1908
72,0,39546,Keith Mitchell,40.34,610,1512
72,0,24361,Pat Perez,40.34,697,1728
74,0,32839,Hideki Matsuyama,40.32,675,1674
75,0,49766,Hank Lebioda,40.28,522,1296
76,0,49960,Sepp Straka,40.22,695,1728
77,0,52375,Doug Ghim,40.12,621,1548
78,0,29478,Kevin Kisner,40.10,563,1404
79,0,29725,Tony Finau,40.06,649,1620
80,0,46717,Viktor Hovland,40.03,598,1494
81,0,26758,David Hearn,40.02,461,1152
82,0,32070,Rafael Campos,40.00,432,1080
83,0,29974,Branden Grace,39.99,583,1458
84,0,29535,Brice Garnett,39.98,662,1656
84,0,33410,Andrew Landry,39.98,475,1188
86,0,35461,Beau Hossler,39.90,632,1584
87,0,32640,Troy Merritt,39.85,703,1764
88,0,25900,Lucas Glover,39.81,688,1728
89,0,01810,Phil Mickelson,39.79,530,1332
90,0,36801,Mark Hubbard,39.70,686,1728
91,0,31560,Brian Stuard,39.69,743,1872
92,0,40026,Daniel Berger,39.68,600,1512
