RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,49964,Aaron Wise,3,64
2,0,34255,Joseph Bramlett,2,35
2,0,25900,Lucas Glover,2,52
2,0,34098,Russell Henley,2,36
2,0,22056,Cameron Percy,2,35
2,0,37275,Sam Ryder,2,33
2,0,33486,Roger Sloan,2,37
8,0,52372,Cameron Champ,1,41
8,0,45157,Cam Davis,1,51
8,0,29970,Dylan Frittelli,1,33
8,0,28679,Fabián Gómez,1,16
8,0,34563,Chesson Hadley,1,28
8,0,33399,Adam Hadwin,1,38
8,0,27554,Scott Harrington,1,36
8,0,35461,Beau Hossler,1,30
8,0,36801,Mark Hubbard,1,26
8,0,26300,Matt Jones,1,36
8,0,27974,Sung Kang,1,45
8,0,30926,Chris Kirk,1,25
8,0,29478,Kevin Kisner,1,30
8,0,23108,Matt Kuchar,1,22
8,0,31420,Anirban Lahiri,1,19
8,0,27936,Martin Laird,1,53
8,0,33410,Andrew Landry,1,33
8,0,49766,Hank Lebioda,1,32
8,0,29926,Danny Lee,1,42
8,0,27129,Luke List,1,45
8,0,34466,Peter Malnati,1,29
8,0,48822,Sebastián Muñoz,1,52
8,0,34213,Grayson Murray,1,31
8,0,36871,Matthew NeSmith,1,55
8,0,30163,Henrik Norlander,1,49
8,0,27942,Rob Oppenheim,1,31
8,0,23320,Ryan Palmer,1,38
8,0,29908,C.T. Pan,1,35
8,0,25818,Scott Piercy,1,46
8,0,49771,J.T. Poston,1,37
8,0,34256,Andrew Putnam,1,33
8,0,34360,Patrick Reed,1,19
8,0,22405,Justin Rose,1,20
8,0,23621,Rory Sabbatini,1,37
8,0,26331,Charl Schwartzel,1,45
8,0,46441,Robby Shelton,1,42
8,0,27649,Brandt Snedeker,1,34
8,0,29518,Brendan Steele,1,40
8,0,34431,Robert Streb,1,31
8,0,48119,Ben Taylor,1,18
8,0,27330,Josh Teater,1,19
8,0,33448,Justin Thomas,1,31
8,0,32150,Michael Thompson,1,37
8,0,35658,Kris Ventura,1,25
8,0,27770,Camilo Villegas,1,36
8,0,25632,Jimmy Walker,1,24
8,0,51894,Vince Whaley,1,17
