RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,40250,Taylor Pendrith,158.8,6006644.000,1051
2,0,32366,Kevin Chappell,160.2,4497726.000,780
3,0,22056,Cameron Percy,160.9,3296557.000,569
4,0,24980,Scott Gutschewski,161.0,3929677.000,678
5,0,29289,S.Y. Noh,161.1,4745269.000,818
6,0,47483,Will Zalatoris,161.3,5944666.000,1024
7,0,31557,Jim Herman,161.5,4489535.000,772
7,0,24024,Zach Johnson,161.5,5704300.000,981
9,0,57366,Cameron Young,161.6,7255577.000,1247
10,0,27095,Nick Watney,161.9,6433687.000,1104
11,0,20229,Stewart Cink,162.0,6827274.000,1171
12,0,47988,Nick Hardy,162.4,4677828.000,800
13,0,32333,Kevin Tway,162.5,6990724.000,1195
14,0,39953,Chase Seiffert,162.6,3864521.000,660
15,0,25686,Jason Dufner,162.8,4084405.000,697
16,0,12716,Charley Hoffman,162.9,6082025.000,1037
17,0,39436,Joshua Creel,163.0,3879351.000,661
17,0,48117,Kurt Kitayama,163.0,4805939.000,819
17,0,32640,Troy Merritt,163.0,7737882.000,1319
17,0,34610,Matthias Schwab,163.0,5767668.000,983
21,0,47856,Seth Reeves,163.2,5130610.000,873
22,0,19803,Ryan Armour,163.4,3688616.000,627
22,0,46435,Austin Cook,163.4,5546081.000,943
22,0,46550,Brandon Hagy,163.4,6298987.000,1071
25,0,51766,Wyndham Clark,163.5,7826879.000,1330
25,0,10381,Curtis Thompson,163.5,4620794.000,785
27,0,27644,Brian Harman,163.6,7952976.000,1350
27,0,35617,Martin Trainer,163.6,6482525.000,1101
29,0,33204,Shane Lowry,163.7,5049240.000,857
30,0,29518,Brendan Steele,163.8,6551151.000,1111
31,0,33399,Adam Hadwin,163.9,8005604.000,1357
31,0,34363,Tyrrell Hatton,163.9,5046206.000,855
31,0,28114,Dawie van der Walt,163.9,5069508.000,859
31,0,54783,Dylan Wu,163.9,5364092.000,909
35,0,24924,Bill Haas,164.0,7149444.000,1211
36,0,34563,Chesson Hadley,164.1,6740998.000,1141
36,0,47993,Denny McCarthy,164.1,9187772.000,1555
36,0,46601,Trey Mullinax,164.1,6974821.000,1181
39,0,32139,Danny Willett,164.2,4391762.000,743
40,0,23983,Luke Donald,164.3,5507254.000,931
41,0,47983,Chad Ramey,164.4,5824167.000,984
42,0,36852,Jim Knous,164.5,3791146.000,640
42,0,34466,Peter Malnati,164.5,9207447.000,1555
42,0,22405,Justin Rose,164.5,4003273.000,676
45,0,37189,Harold Varner III,164.6,6013583.000,1015
46,0,31420,Anirban Lahiri,164.7,6296168.000,1062
46,0,51894,Vince Whaley,164.7,7081286.000,1194
46,0,56278,Matthew Wolff,164.7,3984335.000,672
49,0,39058,Lucas Herbert,164.8,4164461.000,702
49,0,33597,Harry Higgs,164.8,7171166.000,1209
49,0,30692,Scott Stallings,164.8,8913481.000,1502
52,0,33486,Roger Sloan,164.9,6553885.000,1104
53,0,29221,Webb Simpson,165.0,5505183.000,927
53,0,46340,Alex Smalley,165.0,7969868.000,1342
55,0,25900,Lucas Glover,165.1,8684543.000,1461
55,0,33122,Russell Knox,165.1,7879270.000,1326
55,0,47529,Mito Pereira,165.1,7995253.000,1345
55,0,23621,Rory Sabbatini,165.1,5302276.000,892
55,0,39324,J.J. Spaun,165.1,7750653.000,1304
55,0,48699,Callum Tarren,165.1,5717837.000,962
61,0,36699,Patrick Rodgers,165.2,7361091.000,1238
62,0,21961,Charles Howell III,165.3,4979363.000,837
63,0,29478,Kevin Kisner,165.5,5855478.000,983
64,0,45522,Christiaan Bezuidenhout,165.6,5848910.000,981
