RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
1,0,40098,Matt Fitzpatrick,+.283,159,+45.00
2,0,23108,Matt Kuchar,+.347,147,+51.00
3,0,24361,Pat Perez,+.355,138,+49.00
4,0,29725,Tony Finau,+.360,161,+58.00
4,0,27214,Kevin Streelman,+.360,172,+62.00
6,0,47529,Mito Pereira,+.362,163,+59.00
7,0,39971,Sungjae Im,+.367,158,+58.00
8,0,34046,Jordan Spieth,+.372,156,+58.00
8,0,29518,Brendan Steele,+.372,129,+48.00
10,0,29420,Billy Horschel,+.376,125,+47.00
10,0,46414,Aaron Rai,+.376,178,+67.00
12,0,33448,Justin Thomas,+.382,136,+52.00
12,0,30927,Brendon Todd,+.382,170,+65.00
14,0,29535,Brice Garnett,+.384,146,+56.00
15,0,30692,Scott Stallings,+.390,205,+80.00
15,0,51634,Sahith Theegala,+.390,267,+104.00
15,0,47483,Will Zalatoris,+.390,123,+48.00
18,0,35532,Tom Hoge,+.391,156,+61.00
19,0,57366,Cameron Young,+.394,165,+65.00
20,0,50525,Collin Morikawa,+.395,81,+32.00
20,0,51890,Greyson Sigg,+.395,190,+75.00
22,0,26300,Matt Jones,+.396,106,+42.00
23,0,35450,Patrick Cantlay,+.397,126,+50.00
23,0,23325,Vaughn Taylor,+.397,121,+48.00
25,0,31646,Emiliano Grillo,+.401,147,+59.00
26,0,45522,Christiaan Bezuidenhout,+.402,174,+70.00
26,0,34098,Russell Henley,+.402,117,+47.00
26,0,37455,Si Woo Kim,+.402,179,+72.00
29,0,24925,Jonathan Byrd,+.403,119,+48.00
29,0,31560,Brian Stuard,+.403,196,+79.00
31,0,45609,Tyler Duncan,+.405,173,+70.00
31,0,35461,Beau Hossler,+.405,163,+66.00
31,0,49960,Sepp Straka,+.405,168,+68.00
34,0,47993,Denny McCarthy,+.406,219,+89.00
34,0,29289,S.Y. Noh,+.406,133,+54.00
36,0,10381,Curtis Thompson,+.409,176,+72.00
37,0,30911,Tommy Fleetwood,+.410,100,+41.00
38,0,49771,J.T. Poston,+.411,146,+60.00
39,0,24980,Scott Gutschewski,+.414,111,+46.00
40,0,32662,Michael Gligic,+.415,142,+59.00
40,0,46717,Viktor Hovland,+.415,135,+56.00
42,0,56278,Matthew Wolff,+.416,89,+37.00
43,0,27349,Alex Noren,+.418,134,+56.00
44,0,49964,Aaron Wise,+.420,157,+66.00
45,0,29478,Kevin Kisner,+.421,95,+40.00
45,0,34610,Matthias Schwab,+.421,159,+67.00
