RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,45526,Abraham Ancer,87.78,718,818
2,0,19803,Ryan Armour,87.41,604,691
3,0,39997,Corey Conners,86.70,1056,1218
4,0,32816,Satoshi Kodaira,86.65,610,704
5,0,46414,Aaron Rai,86.48,1068,1235
6,0,55708,Hayden Buckley,86.32,1092,1265
7,0,34098,Russell Henley,86.31,946,1096
8,0,27936,Martin Laird,86.06,790,918
9,0,31560,Brian Stuard,86.03,1059,1231
10,0,26476,Chez Reavie,85.81,1010,1177
11,0,27214,Kevin Streelman,85.73,1045,1219
12,0,23325,Vaughn Taylor,85.56,628,734
13,0,21961,Charles Howell III,85.51,643,752
14,0,33122,Russell Knox,85.40,1053,1233
15,0,39953,Chase Seiffert,85.15,602,707
16,0,34076,Joel Dahmen,85.12,1007,1183
17,0,28775,Nate Lashley,85.09,896,1053
18,0,51890,Greyson Sigg,85.08,1061,1247
19,0,39971,Sungjae Im,85.06,1053,1238
20,0,31557,Jim Herman,84.99,600,706
21,0,27644,Brian Harman,84.89,1079,1271
22,0,30927,Brendon Todd,84.83,973,1147
23,0,45609,Tyler Duncan,84.76,962,1135
24,0,25900,Lucas Glover,84.73,1104,1303
25,0,47529,Mito Pereira,84.67,1049,1239
26,0,22056,Cameron Percy,84.56,515,609
27,0,36801,Mark Hubbard,84.52,797,943
27,0,52374,Brandon Wu,84.52,868,1027
29,0,50525,Collin Morikawa,84.49,708,838
30,0,29535,Brice Garnett,84.48,898,1063
31,0,33204,Shane Lowry,84.44,684,810
32,0,36326,David Lipsky,84.22,1025,1217
33,0,40098,Matt Fitzpatrick,84.21,821,975
33,0,29478,Kevin Kisner,84.21,784,931
33,0,47856,Seth Reeves,84.21,784,931
36,0,46435,Austin Cook,84.12,805,957
37,0,31646,Emiliano Grillo,84.05,980,1166
37,0,34174,John Huh,84.05,859,1022
39,0,30926,Chris Kirk,84.00,982,1169
40,0,32448,James Hahn,83.84,825,984
41,0,29725,Tony Finau,83.75,1010,1206
41,0,49947,Taylor Moore,83.75,979,1169
41,0,32150,Michael Thompson,83.75,979,1169
44,0,46402,Talor Gooch,83.73,839,1002
45,0,47993,Denny McCarthy,83.61,1163,1391
46,0,28252,Seamus Power,83.59,917,1097
47,0,36871,Matthew NeSmith,83.58,1064,1273
48,0,29420,Billy Horschel,83.54,827,990
49,0,46046,Scottie Scheffler,83.48,980,1174
50,0,52375,Doug Ghim,83.45,968,1160
51,0,48081,Xander Schauffele,83.43,841,1008
52,0,54628,Lee Hodges,83.37,1073,1287
53,0,49298,Kramer Hickok,83.36,1047,1256
54,0,40115,Adam Svensson,83.35,1156,1387
55,0,32839,Hideki Matsuyama,83.33,845,1014
55,0,30163,Henrik Norlander,83.33,830,996
55,0,46970,Jon Rahm,83.33,820,984
58,0,47983,Chad Ramey,83.25,845,1015
59,0,46340,Alex Smalley,83.24,1068,1283
60,0,33399,Adam Hadwin,83.21,1041,1251
61,0,35879,Kelly Kraft,83.18,791,951
62,0,35450,Patrick Cantlay,83.11,797,959
63,0,47995,Davis Riley,82.96,1081,1303
64,0,39546,Keith Mitchell,82.93,991,1195
64,0,48822,Sebastián Muñoz,82.93,957,1154
66,0,29518,Brendan Steele,82.91,844,1018
67,0,29908,C.T. Pan,82.89,940,1134
68,0,20229,Stewart Cink,82.88,891,1075
69,0,37455,Si Woo Kim,82.87,1142,1378
69,0,30944,Jason Kokrak,82.87,711,858
71,0,45486,Joaquin Niemann,82.83,926,1118
72,0,34256,Andrew Putnam,82.81,1079,1303
73,0,27129,Luke List,82.76,922,1114
74,0,40250,Taylor Pendrith,82.74,820,991
75,0,27770,Camilo Villegas,82.73,795,961
76,0,47988,Nick Hardy,82.70,679,821
77,0,53165,Doc Redman,82.65,905,1095
78,0,29974,Branden Grace,82.64,595,720
79,0,30978,Kiradech Aphibarnrat,82.63,604,731
79,0,50095,Austin Smotherman,82.63,880,1065
81,0,35449,Adam Long,82.62,1003,1214
81,0,34264,Hudson Swafford,82.62,737,892
83,0,39324,J.J. Spaun,82.59,1086,1315
84,0,24980,Scott Gutschewski,82.54,643,779
85,0,40162,Justin Lower,82.48,824,999
86,0,46717,Viktor Hovland,82.45,813,986
87,0,35532,Tom Hoge,82.42,1102,1337
88,0,34610,Matthias Schwab,82.39,800,971
89,0,52372,Cameron Champ,82.37,640,777
90,0,37212,Paul Barjon,82.36,808,981
91,0,31323,Gary Woodland,82.22,786,956
92,0,51950,Max McGreevy,82.21,818,995
93,0,24925,Jonathan Byrd,82.17,650,791
94,0,23320,Ryan Palmer,82.16,760,925
95,0,23108,Matt Kuchar,82.13,809,985
96,0,28237,Rory McIlroy,82.11,693,844
97,0,32662,Michael Gligic,82.10,812,989
98,0,45522,Christiaan Bezuidenhout,82.09,917,1117
99,0,29221,Webb Simpson,82.08,678,826
100,0,36884,Ben Kohles,82.06,718,875
100,0,54783,Dylan Wu,82.06,764,931
102,0,33448,Justin Thomas,81.89,873,1066
103,0,39977,Max Homa,81.79,939,1148
104,0,34046,Jordan Spieth,81.78,853,1043
105,0,33419,Cameron Tringale,81.73,1042,1275
106,0,35310,Lanto Griffin,81.71,880,1077
106,0,47483,Will Zalatoris,81.71,871,1066
108,0,49964,Aaron Wise,81.70,982,1202
109,0,27064,Jhonattan Vegas,81.66,864,1058
110,0,33141,Keegan Bradley,81.63,911,1116
111,0,24502,Adam Scott,81.62,826,1012
112,0,25686,Jason Dufner,81.56,566,694
112,0,27974,Sung Kang,81.56,902,1106
114,0,51997,Andrew Novak,81.54,857,1051
115,0,32640,Troy Merritt,81.52,1028,1261
116,0,57366,Cameron Young,81.37,939,1154
117,0,34255,Joseph Bramlett,81.30,913,1123
118,0,49771,J.T. Poston,81.27,998,1228
119,0,39436,Joshua Creel,81.11,528,651
120,0,31420,Anirban Lahiri,81.10,811,1000
121,0,27649,Brandt Snedeker,81.07,664,819
122,0,22405,Justin Rose,80.99,605,747
123,0,24138,Ian Poulter,80.97,502,620
124,0,32791,K.H. Lee,80.93,1112,1374
125,0,49766,Hank Lebioda,80.92,895,1106
126,0,28089,Jason Day,80.91,640,791
127,0,27349,Alex Noren,80.88,715,884
128,0,37275,Sam Ryder,80.85,988,1222
128,0,49960,Sepp Straka,80.85,1106,1368
130,0,34431,Robert Streb,80.82,923,1142
131,0,32757,Patton Kizzire,80.81,1015,1256
132,0,46442,Maverick McNealy,80.80,985,1219
133,0,28114,Dawie van der Walt,80.79,694,859
134,0,30911,Tommy Fleetwood,80.77,630,780
134,0,24361,Pat Perez,80.77,689,853
136,0,33490,Bo Hoag,80.76,550,681
137,0,23621,Rory Sabbatini,80.73,620,768
138,0,26300,Matt Jones,80.68,685,849
139,0,48887,Matt Wallace,80.60,619,768
140,0,51634,Sahith Theegala,80.55,1267,1573
141,0,32366,Kevin Chappell,80.49,619,769
142,0,47347,Adam Schenk,80.45,1004,1248
143,0,35891,Cameron Smith,80.41,698,868
144,0,45540,Jared Wolfe,80.39,660,821
145,0,48699,Callum Tarren,80.31,767,955
146,0,23983,Luke Donald,80.26,744,927
147,0,32139,Danny Willett,80.25,695,866
148,0,27095,Nick Watney,80.23,848,1057
149,0,35110,Brett Drewitt,80.20,644,803
149,0,26851,Marc Leishman,80.20,810,1010
151,0,40006,Erik van Rooyen,80.18,534,666
152,0,24924,Bill Haas,80.13,996,1243
153,0,24024,Zach Johnson,79.98,715,894
154,0,29289,S.Y. Noh,79.91,696,871
155,0,33486,Roger Sloan,79.90,807,1010
156,0,37189,Harold Varner III,79.79,770,965
157,0,46601,Trey Mullinax,79.70,911,1143
158,0,36699,Patrick Rodgers,79.64,939,1179
159,0,34563,Chesson Hadley,79.57,884,1111
160,0,29926,Danny Lee,79.53,571,718
161,0,34363,Tyrrell Hatton,79.48,709,892
162,0,34360,Patrick Reed,79.47,782,984
163,0,25198,Francesco Molinari,79.33,591,745
164,0,36799,Stephan Jaeger,79.23,931,1175
165,0,33667,Carlos Ortiz,79.22,667,842
