RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,35450,Patrick Cantlay,1' 11",519,977.750
2,0,45526,Abraham Ancer,2' 0",487,993.833
2,0,19803,Ryan Armour,2' 0",384,764.083
2,0,29725,Tony Finau,2' 0",757,1538.750
2,0,24980,Scott Gutschewski,2' 0",423,855.083
2,0,36801,Mark Hubbard,2' 0",578,1141.500
2,0,46601,Trey Mullinax,2' 0",680,1359.500
2,0,51890,Greyson Sigg,2' 0",794,1604.667
2,0,34431,Robert Streb,2' 0",779,1588.500
2,0,47483,Will Zalatoris,2' 0",609,1207.333
11,0,23983,Luke Donald,2' 1",547,1125.000
11,0,45609,Tyler Duncan,2' 1",699,1435.917
11,0,29970,Dylan Frittelli,2' 1",751,1579.250
11,0,46402,Talor Gooch,2' 1",572,1188.667
11,0,29974,Branden Grace,2' 1",485,1007.583
11,0,32448,James Hahn,2' 1",655,1388.833
11,0,27644,Brian Harman,2' 1",812,1725.333
11,0,12716,Charley Hoffman,2' 1",625,1285.500
11,0,24024,Zach Johnson,2' 1",602,1244.250
11,0,26300,Matt Jones,2' 1",543,1110.000
11,0,30926,Chris Kirk,2' 1",674,1407.500
11,0,33122,Russell Knox,2' 1",870,1830.417
11,0,32816,Satoshi Kodaira,2' 1",436,922.083
11,0,23108,Matt Kuchar,2' 1",591,1233.667
11,0,27129,Luke List,2' 1",717,1515.583
11,0,33204,Shane Lowry,2' 1",498,1025.333
11,0,34466,Peter Malnati,2' 1",878,1860.250
11,0,32839,Hideki Matsuyama,2' 1",584,1217.083
11,0,32640,Troy Merritt,2' 1",758,1605.417
11,0,25198,Francesco Molinari,2' 1",413,876.500
11,0,27349,Alex Noren,2' 1",509,1067.083
11,0,22056,Cameron Percy,2' 1",336,707.083
11,0,34046,Jordan Spieth,2' 1",636,1302.583
11,0,27214,Kevin Streelman,2' 1",848,1757.417
11,0,33448,Justin Thomas,2' 1",608,1265.333
11,0,10381,Curtis Thompson,2' 1",471,985.583
11,0,32333,Kevin Tway,2' 1",722,1507.167
11,0,27064,Jhonattan Vegas,2' 1",664,1377.000
11,0,51894,Vince Whaley,2' 1",695,1471.667
40,0,30978,Kiradech Aphibarnrat,2' 2",381,841.000
40,0,45522,Christiaan Bezuidenhout,2' 2",572,1217.333
40,0,33141,Keegan Bradley,2' 2",693,1502.667
40,0,47504,Sam Burns,2' 2",708,1541.583
