RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,22056,Cameron Percy,10.29,136,14
2,0,32640,Troy Merritt,9.82,285,28
3,0,27895,Jonas Blixt,9.76,164,16
4,0,22405,Justin Rose,9.63,135,13
5,0,32139,Danny Willett,9.25,173,16
6,0,24024,Zach Johnson,8.94,235,21
7,0,46442,Maverick McNealy,8.77,308,27
8,0,34363,Tyrrell Hatton,8.74,183,16
9,0,40115,Adam Svensson,8.41,333,28
10,0,35617,Martin Trainer,8.21,268,22
11,0,47993,Denny McCarthy,8.20,378,31
12,0,29725,Tony Finau,7.87,305,24
13,0,34466,Peter Malnati,7.59,316,24
14,0,47983,Chad Ramey,7.51,213,16
15,0,35450,Patrick Cantlay,7.47,174,13
16,0,29221,Webb Simpson,7.41,189,14
17,0,23983,Luke Donald,7.39,203,15
18,0,35879,Kelly Kraft,7.38,244,18
19,0,24361,Pat Perez,7.34,218,16
20,0,51997,Andrew Novak,7.27,220,16
21,0,54421,Garrick Higgo,7.14,168,12
21,0,36699,Patrick Rodgers,7.14,322,23
23,0,23325,Vaughn Taylor,7.04,142,10
24,0,39546,Keith Mitchell,7.01,328,23
25,0,40162,Justin Lower,6.94,216,15
26,0,32150,Michael Thompson,6.93,303,21
27,0,30911,Tommy Fleetwood,6.88,160,11
28,0,48084,Wesley Bryan,6.85,146,10
28,0,36801,Mark Hubbard,6.85,248,17
28,0,30927,Brendon Todd,6.85,336,23
31,0,28775,Nate Lashley,6.84,263,18
31,0,36326,David Lipsky,6.84,307,21
33,0,49766,Hank Lebioda,6.81,323,22
34,0,28252,Seamus Power,6.78,236,16
35,0,49947,Taylor Moore,6.77,325,22
36,0,47483,Will Zalatoris,6.76,222,15
37,0,29478,Kevin Kisner,6.75,237,16
38,0,30692,Scott Stallings,6.73,342,23
39,0,36884,Ben Kohles,6.67,180,12
39,0,34264,Hudson Swafford,6.67,195,13
41,0,49771,J.T. Poston,6.65,361,24
42,0,27095,Nick Watney,6.60,288,19
43,0,35461,Beau Hossler,6.57,289,19
44,0,39977,Max Homa,6.52,276,18
45,0,35891,Cameron Smith,6.51,169,11
46,0,54783,Dylan Wu,6.47,232,15
47,0,27349,Alex Noren,6.33,221,14
48,0,28114,Dawie van der Walt,6.32,190,12
49,0,28089,Jason Day,6.22,209,13
50,0,20229,Stewart Cink,6.20,274,17
51,0,25818,Scott Piercy,6.15,260,16
