RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,54421,Garrick Higgo,64.00,64,1
2,0,47993,Denny McCarthy,65.00,65,1
3,0,35532,Tom Hoge,66.00,66,1
3,0,40162,Justin Lower,66.00,66,1
3,0,51894,Vince Whaley,66.00,66,1
3,0,52374,Brandon Wu,66.00,66,1
7,0,30978,Kiradech Aphibarnrat,66.50,133,2
7,0,29926,Danny Lee,66.50,133,2
9,0,45522,Christiaan Bezuidenhout,67.00,67,1
9,0,32448,James Hahn,67.00,134,2
9,0,33204,Shane Lowry,67.00,67,1
9,0,40250,Taylor Pendrith,67.00,134,2
9,0,47529,Mito Pereira,67.00,67,1
9,0,30692,Scott Stallings,67.00,67,1
15,0,54628,Lee Hodges,67.50,135,2
16,0,30944,Jason Kokrak,67.67,203,3
17,0,40098,Matt Fitzpatrick,68.00,68,1
17,0,29970,Dylan Frittelli,68.00,136,2
17,0,34363,Tyrrell Hatton,68.00,136,2
17,0,46601,Trey Mullinax,68.00,68,1
17,0,23320,Ryan Palmer,68.00,136,2
17,0,34360,Patrick Reed,68.00,68,1
17,0,47856,Seth Reeves,68.00,204,3
17,0,35891,Cameron Smith,68.00,68,1
17,0,32139,Danny Willett,68.00,68,1
26,0,29725,Tony Finau,68.50,137,2
26,0,33122,Russell Knox,68.50,137,2
26,0,37275,Sam Ryder,68.50,137,2
26,0,48081,Xander Schauffele,68.50,137,2
26,0,46046,Scottie Scheffler,68.50,137,2
26,0,34264,Hudson Swafford,68.50,137,2
32,0,34431,Robert Streb,68.67,206,3
33,0,45526,Abraham Ancer,69.00,138,2
33,0,51766,Wyndham Clark,69.00,69,1
33,0,39997,Corey Conners,69.00,207,3
33,0,24924,Bill Haas,69.00,207,3
33,0,33399,Adam Hadwin,69.00,207,3
33,0,27644,Brian Harman,69.00,138,2
33,0,33490,Bo Hoag,69.00,138,2
33,0,35506,Mackenzie Hughes,69.00,69,1
33,0,24024,Zach Johnson,69.00,69,1
