RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,51634,Sahith Theegala,-165,4.55,1830
2,0,37455,Si Woo Kim,-140,4.55,1570
3,0,39971,Sungjae Im,-133,4.51,1370
4,0,46442,Maverick McNealy,-132,4.53,1410
4,0,46046,Scottie Scheffler,-132,4.48,1270
6,0,39977,Max Homa,-127,4.50,1270
7,0,35532,Tom Hoge,-125,4.59,1520
8,0,33448,Justin Thomas,-124,4.47,1170
9,0,39546,Keith Mitchell,-123,4.52,1280
9,0,40115,Adam Svensson,-123,4.62,1600
11,0,47504,Sam Burns,-122,4.50,1220
11,0,35450,Patrick Cantlay,-122,4.41,1040
11,0,29725,Tony Finau,-122,4.53,1300
14,0,32757,Patton Kizzire,-119,4.59,1460
14,0,39324,J.J. Spaun,-119,4.62,1550
16,0,32791,K.H. Lee,-118,4.59,1440
16,0,51894,Vince Whaley,-118,4.58,1400
16,0,49964,Aaron Wise,-118,4.55,1310
19,0,33399,Adam Hadwin,-117,4.60,1470
19,0,36699,Patrick Rodgers,-117,4.58,1390
19,0,37275,Sam Ryder,-117,4.58,1390
22,0,46402,Talor Gooch,-116,4.48,1120
22,0,30692,Scott Stallings,-116,4.62,1530
22,0,27064,Jhonattan Vegas,-116,4.54,1260
25,0,46601,Trey Mullinax,-115,4.57,1340
26,0,46414,Aaron Rai,-114,4.58,1370
26,0,34046,Jordan Spieth,-114,4.50,1140
28,0,34466,Peter Malnati,-113,4.66,1670
29,0,34431,Robert Streb,-112,4.57,1290
30,0,31646,Emiliano Grillo,-111,4.59,1360
30,0,45486,Joaquin Niemann,-111,4.54,1200
30,0,51890,Greyson Sigg,-111,4.63,1490
30,0,33419,Cameron Tringale,-111,4.63,1500
34,0,36871,Matthew NeSmith,-110,4.61,1400
34,0,28252,Seamus Power,-110,4.54,1200
36,0,49771,J.T. Poston,-109,4.57,1280
36,0,52374,Brandon Wu,-109,4.55,1220
38,0,36326,David Lipsky,-108,4.63,1450
38,0,47995,Davis Riley,-108,4.63,1440
40,0,45157,Cam Davis,-107,4.58,1270
41,0,33122,Russell Knox,-106,4.61,1370
41,0,46340,Alex Smalley,-106,4.64,1480
41,0,47483,Will Zalatoris,-106,4.57,1220
44,0,46550,Brandon Hagy,-105,4.61,1335
44,0,32640,Troy Merritt,-105,4.63,1430
44,0,35891,Cameron Smith,-105,4.43,920
47,0,47529,Mito Pereira,-104,4.62,1380
48,0,25900,Lucas Glover,-103,4.64,1440
48,0,24924,Bill Haas,-103,4.65,1460
48,0,54628,Lee Hodges,-103,4.64,1450
48,0,46970,Jon Rahm,-103,4.54,1120
48,0,27214,Kevin Streelman,-103,4.64,1440
53,0,57366,Cameron Young,-102,4.59,1230
54,0,40098,Matt Fitzpatrick,-101,4.51,1030
54,0,32662,Michael Gligic,-101,4.57,1180
54,0,49947,Taylor Moore,-101,4.63,1360
54,0,48081,Xander Schauffele,-101,4.54,1100
58,0,55708,Hayden Buckley,-100,4.66,1470
58,0,39997,Corey Conners,-100,4.62,1300
58,0,34076,Joel Dahmen,-100,4.61,1280
58,0,52375,Doug Ghim,-100,4.63,1350
58,0,34256,Andrew Putnam,-100,4.65,1430
63,0,45609,Tyler Duncan,-99,4.63,1345
63,0,36801,Mark Hubbard,-99,4.53,1060
63,0,36799,Stephan Jaeger,-99,4.63,1330
63,0,47993,Denny McCarthy,-99,4.67,1510
