RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,39058,Lucas Herbert,.853,34.103,40
2,0,47993,Denny McCarthy,.818,71.169,87
3,0,30927,Brendon Todd,.781,54.650,70
4,0,34363,Tyrrell Hatton,.742,35.622,48
5,0,35461,Beau Hossler,.717,46.599,65
6,0,45522,Christiaan Bezuidenhout,.653,35.898,55
7,0,35879,Kelly Kraft,.572,32.624,57
8,0,35891,Cameron Smith,.563,27.604,49
9,0,29478,Kevin Kisner,.561,30.828,55
10,0,47504,Sam Burns,.553,38.130,69
11,0,23108,Matt Kuchar,.544,32.663,60
12,0,35617,Martin Trainer,.520,32.264,62
13,0,34563,Chesson Hadley,.511,32.704,64
14,0,35506,Mackenzie Hughes,.509,33.621,66
15,0,26851,Marc Leishman,.507,31.921,63
16,0,28237,Rory McIlroy,.495,25.762,52
17,0,24138,Ian Poulter,.468,16.841,36
18,0,27349,Alex Noren,.457,21.920,48
19,0,46442,Maverick McNealy,.454,33.131,73
20,0,22405,Justin Rose,.450,17.104,38
21,0,29420,Billy Horschel,.448,24.636,55
22,0,40098,Matt Fitzpatrick,.425,20.385,48
23,0,56278,Matthew Wolff,.423,16.082,38
24,0,35449,Adam Long,.402,30.587,76
25,0,46717,Viktor Hovland,.389,21.773,56
26,0,30911,Tommy Fleetwood,.375,15.011,40
27,0,39977,Max Homa,.369,25.814,70
28,0,35450,Patrick Cantlay,.367,19.074,52
28,0,46970,Jon Rahm,.367,20.167,55
30,0,36699,Patrick Rodgers,.360,24.867,69
31,0,51766,Wyndham Clark,.358,26.869,75
32,0,48081,Xander Schauffele,.343,19.561,57
33,0,51894,Vince Whaley,.341,22.864,67
34,0,23621,Rory Sabbatini,.336,16.792,50
35,0,46435,Austin Cook,.327,17.319,53
35,0,29289,S.Y. Noh,.327,15.043,46
37,0,39971,Sungjae Im,.326,24.480,75
38,0,34256,Andrew Putnam,.310,25.111,81
39,0,49960,Sepp Straka,.285,21.092,74
40,0,28252,Seamus Power,.283,16.687,59
41,0,49771,J.T. Poston,.279,22.334,80
41,0,24502,Adam Scott,.279,17.573,63
43,0,32640,Troy Merritt,.276,20.458,74
44,0,30692,Scott Stallings,.267,22.412,84
45,0,36689,Brooks Koepka,.262,10.202,39
46,0,30944,Jason Kokrak,.252,12.827,51
46,0,40162,Justin Lower,.252,13.602,54
48,0,47128,Richy Werenski,.248,12.661,51
49,0,34360,Patrick Reed,.241,12.276,51
50,0,36801,Mark Hubbard,.239,13.154,55
51,0,27895,Jonas Blixt,.236,9.928,42
52,0,36852,Jim Knous,.231,8.315,36
53,0,33597,Harry Higgs,.215,14.622,68
53,0,36884,Ben Kohles,.215,9.693,45
55,0,39546,Keith Mitchell,.209,15.079,72
56,0,28775,Nate Lashley,.206,12.571,61
57,0,34466,Peter Malnati,.204,17.759,87
58,0,46046,Scottie Scheffler,.202,13.304,66
59,0,49766,Hank Lebioda,.195,13.267,68
60,0,24024,Zach Johnson,.183,10.051,55
61,0,47988,Nick Hardy,.175,7.855,45
62,0,45526,Abraham Ancer,.165,7.600,46
63,0,33204,Shane Lowry,.162,7.778,48
64,0,27139,David Skinns,.156,8.093,52
65,0,24924,Bill Haas,.151,10.238,68
66,0,32150,Michael Thompson,.146,10.833,74
67,0,24361,Pat Perez,.145,7.386,51
68,0,57366,Cameron Young,.141,9.859,70
69,0,27974,Sung Kang,.133,8.252,62
70,0,32791,K.H. Lee,.130,11.162,86
71,0,32333,Kevin Tway,.129,8.634,67
72,0,23983,Luke Donald,.128,6.634,52
73,0,33399,Adam Hadwin,.127,9.658,76
74,0,25198,Francesco Molinari,.126,5.052,40
75,0,53165,Doc Redman,.125,7.873,63
76,0,35310,Lanto Griffin,.121,8.219,68
77,0,27644,Brian Harman,.118,9.000,76
77,0,34610,Matthias Schwab,.118,6.489,55
79,0,37275,Sam Ryder,.109,8.469,78
80,0,47995,Davis Riley,.107,8.776,82
81,0,39324,J.J. Spaun,.100,7.304,73
81,0,49964,Aaron Wise,.100,7.722,77
83,0,24925,Jonathan Byrd,.097,4.183,43
84,0,45157,Cam Davis,.096,7.295,76
85,0,29725,Tony Finau,.091,6.486,71
85,0,33448,Justin Thomas,.091,5.553,61
87,0,28089,Jason Day,.089,4.528,51
88,0,33141,Keegan Bradley,.067,4.403,66
89,0,29970,Dylan Frittelli,.061,4.456,73
90,0,47347,Adam Schenk,.053,4.045,77
91,0,40115,Adam Svensson,.044,3.709,84
92,0,31323,Gary Woodland,.039,2.176,56
93,0,29221,Webb Simpson,.038,1.997,52
94,0,36799,Stephan Jaeger,.027,1.992,73
95,0,25818,Scott Piercy,.026,1.731,67
96,0,29908,C.T. Pan,.022,1.567,71
97,0,48084,Wesley Bryan,.016,.629,39
98,0,47529,Mito Pereira,.012,.891,75
99,0,33419,Cameron Tringale,.007,.510,73
100,0,46402,Talor Gooch,.005,.275,55
101,0,29535,Brice Garnett,.003,.184,61
102,0,34264,Hudson Swafford,.002,.076,48
103,0,48887,Matt Wallace,-.003,-.160,49
103,0,47483,Will Zalatoris,-.003,-.188,57
105,0,35532,Tom Hoge,-.009,-.645,74
106,0,34174,John Huh,-.011,-.679,61
107,0,48699,Callum Tarren,-.013,-.713,54
108,0,48117,Kurt Kitayama,-.017,-.798,46
109,0,34431,Robert Streb,-.019,-1.403,73
109,0,10381,Curtis Thompson,-.019,-.849,44
111,0,32816,Satoshi Kodaira,-.021,-.851,41
112,0,31646,Emiliano Grillo,-.022,-1.515,70
113,0,49947,Taylor Moore,-.027,-2.116,78
114,0,32839,Hideki Matsuyama,-.028,-1.615,57
115,0,30978,Kiradech Aphibarnrat,-.032,-1.137,36
116,0,30926,Chris Kirk,-.033,-2.061,63
117,0,36326,David Lipsky,-.036,-2.628,72
118,0,51634,Sahith Theegala,-.043,-4.089,95
119,0,51890,Greyson Sigg,-.051,-3.636,72
120,0,54783,Dylan Wu,-.060,-3.064,51
121,0,45486,Joaquin Niemann,-.061,-3.551,58
121,0,33667,Carlos Ortiz,-.061,-3.186,52
123,0,52374,Brandon Wu,-.065,-3.242,50
124,0,48822,Sebastián Muñoz,-.066,-4.561,69
124,0,32139,Danny Willett,-.066,-2.778,42
126,0,37212,Paul Barjon,-.073,-4.608,63
127,0,39436,Joshua Creel,-.074,-2.730,37
128,0,19803,Ryan Armour,-.082,-2.880,35
129,0,32662,Michael Gligic,-.084,-4.765,57
130,0,32366,Kevin Chappell,-.085,-3.720,44
131,0,50525,Collin Morikawa,-.088,-4.237,48
132,0,20229,Stewart Cink,-.090,-5.941,66
133,0,27214,Kevin Streelman,-.091,-7.272,80
134,0,45609,Tyler Duncan,-.092,-6.008,65
134,0,40250,Taylor Pendrith,-.092,-5.455,59
136,0,39997,Corey Conners,-.099,-7.037,71
137,0,25493,Nick Taylor,-.102,-7.040,69
138,0,33486,Roger Sloan,-.103,-6.389,62
139,0,46414,Aaron Rai,-.106,-7.343,69
140,0,33490,Bo Hoag,-.122,-4.530,37
141,0,34076,Joel Dahmen,-.126,-9.353,74
142,0,51950,Max McGreevy,-.129,-7.237,56
143,0,32757,Patton Kizzire,-.136,-11.155,82
143,0,22056,Cameron Percy,-.136,-4.362,32
145,0,36871,Matthew NeSmith,-.152,-11.893,78
146,0,45540,Jared Wolfe,-.157,-7.397,47
147,0,46601,Trey Mullinax,-.158,-10.410,66
148,0,34098,Russell Henley,-.162,-10.190,63
149,0,52372,Cameron Champ,-.177,-8.313,47
150,0,31420,Anirban Lahiri,-.181,-10.886,60
151,0,27095,Nick Watney,-.186,-11.556,62
152,0,37189,Harold Varner III,-.194,-11.056,57
153,0,21961,Charles Howell III,-.195,-9.181,47
154,0,47983,Chad Ramey,-.205,-11.267,55
155,0,34046,Jordan Spieth,-.207,-12.624,61
156,0,27649,Brandt Snedeker,-.223,-10.906,49
157,0,28114,Dawie van der Walt,-.227,-10.885,48
158,0,27064,Jhonattan Vegas,-.232,-13.688,59
159,0,46340,Alex Smalley,-.233,-17.462,75
160,0,54628,Lee Hodges,-.245,-20.309,83
161,0,32102,Rickie Fowler,-.253,-14.181,56
162,0,50095,Austin Smotherman,-.262,-16.477,63
163,0,29926,Danny Lee,-.263,-10.511,40
164,0,49298,Kramer Hickok,-.274,-20.287,74
165,0,47856,Seth Reeves,-.276,-13.524,49
166,0,32448,James Hahn,-.278,-16.691,60
167,0,46550,Brandon Hagy,-.296,-17.785,60
168,0,54421,Garrick Higgo,-.303,-11.509,38
169,0,55708,Hayden Buckley,-.308,-23.691,77
170,0,23320,Ryan Palmer,-.314,-15.721,50
171,0,35110,Brett Drewitt,-.325,-13.671,42
172,0,23325,Vaughn Taylor,-.330,-13.202,40
173,0,40006,Erik van Rooyen,-.333,-13.309,40
174,0,24980,Scott Gutschewski,-.335,-12.733,38
175,0,31560,Brian Stuard,-.349,-24.103,69
176,0,26476,Chez Reavie,-.368,-27.619,75
177,0,37455,Si Woo Kim,-.404,-32.731,81
178,0,52375,Doug Ghim,-.405,-27.521,68
179,0,33122,Russell Knox,-.417,-30.829,74
180,0,51997,Andrew Novak,-.430,-23.240,54
181,0,12716,Charley Hoffman,-.434,-25.193,58
182,0,26300,Matt Jones,-.447,-22.788,51
183,0,31557,Jim Herman,-.460,-19.781,43
184,0,27936,Martin Laird,-.470,-28.640,61
185,0,30163,Henrik Norlander,-.476,-28.555,60
186,0,39953,Chase Seiffert,-.479,-17.707,37
187,0,29518,Brendan Steele,-.541,-33.546,62
188,0,29974,Branden Grace,-.544,-23.398,43
189,0,25900,Lucas Glover,-.568,-46.572,82
190,0,27770,Camilo Villegas,-.611,-31.173,51
191,0,25686,Jason Dufner,-.701,-27.325,39
192,0,27129,Luke List,-.895,-57.292,64
193,0,34255,Joseph Bramlett,-.951,-63.687,67
