RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,51491,Brandon Matthews,57.41%,44039.0,76704
2,0,28237,Rory McIlroy,57.20%,53278.0,93146
3,0,52372,Cameron Champ,56.39%,59652.4,105794
4,0,28420,Ryan Brehm,56.22%,67264.9,119643
4,0,45242,Kevin Yu,56.22%,46989.0,83586
6,0,58696,Peter Kuest,56.07%,39252.7,70010
7,0,57366,Cameron Young,55.99%,63420.6,113273
8,0,52411,Kyle Westmoreland,55.88%,61237.9,109590
9,0,52955,Ludvig Åberg,55.84%,44232.0,79205
10,0,48867,Matti Schmid,55.83%,54840.2,98221
11,0,39067,MJ Daffue,55.79%,75698.8,135675
12,0,51070,Vincent Norrman,55.74%,63590.1,114074
13,0,51414,Brent Grant,55.63%,57254.4,102917
14,0,33948,Byeong Hun An,55.60%,87067.3,156597
15,0,49453,Trevor Cone,55.59%,66041.2,118795
16,0,56762,Will Gordon,55.45%,88971.6,160466
17,0,34255,Joseph Bramlett,55.36%,70183.3,126782
18,0,46970,Jon Rahm,55.27%,58102.6,105119
19,0,40250,Taylor Pendrith,55.18%,81012.1,146819
20,0,27554,Scott Harrington,55.12%,59686.0,108284
21,0,51766,Wyndham Clark,55.08%,84028.5,152549
22,0,24502,Adam Scott,55.05%,48084.2,87345
22,0,55454,Carl Yuan,55.05%,68418.7,124276
24,0,58168,Davis Thompson,55.01%,87429.0,158933
25,0,46601,Trey Mullinax,54.95%,68592.8,124828
26,0,27129,Luke List,54.90%,86376.1,157344
26,0,39546,Keith Mitchell,54.90%,70159.6,127799
28,0,31323,Gary Woodland,54.88%,73906.6,134681
29,0,45157,Cam Davis,54.83%,72830.1,132833
30,0,35450,Patrick Cantlay,54.82%,57085.9,104132
31,0,54421,Garrick Higgo,54.81%,93872.9,171266
32,0,52453,Nicolai Hojgaard,54.76%,34188.4,62438
33,0,36724,Augusto Núñez,54.71%,58828.6,107523
34,0,48699,Callum Tarren,54.67%,80845.7,147889
35,0,47988,Nick Hardy,54.60%,84089.5,154007
36,0,32333,Kevin Tway,54.58%,76768.3,140650
37,0,46046,Scottie Scheffler,54.57%,66931.5,122648
38,0,47504,Sam Burns,54.53%,68556.1,125724
39,0,46717,Viktor Hovland,54.52%,63125.1,115793
40,0,33448,Justin Thomas,54.47%,66826.1,122674
41,0,20229,Stewart Cink,54.34%,63674.6,117187
42,0,47347,Adam Schenk,54.30%,88766.9,163474
43,0,55893,Sam Stevens,54.27%,80348.8,148054
44,0,12716,Charley Hoffman,54.25%,57961.0,106843
45,0,39977,Max Homa,54.21%,72794.8,134287
46,0,48084,Wesley Bryan,54.19%,30958.0,57130
46,0,48117,Kurt Kitayama,54.19%,47352.3,87375
48,0,39335,Kevin Roy,54.16%,52756.7,97406
49,0,30692,Scott Stallings,54.14%,66797.3,123381
49,0,40006,Erik van Rooyen,54.14%,56458.3,104283
51,0,32662,Michael Gligic,54.13%,53176.7,98238
52,0,33653,Thomas Detry,54.10%,64432.0,119106
53,0,36699,Patrick Rodgers,54.07%,79584.8,147176
54,0,39058,Lucas Herbert,54.05%,45374.7,83951
55,0,37338,Zecheng Dou,54.01%,75270.9,139368
56,0,34046,Jordan Spieth,53.99%,57535.2,106573
57,0,36799,Stephan Jaeger,53.97%,100260.5,185767
58,0,32102,Rickie Fowler,53.93%,76883.8,142565
59,0,49947,Taylor Moore,53.89%,75883.5,140815
60,0,33408,Tyson Alexander,53.88%,67074.7,124496
61,0,35617,Martin Trainer,53.86%,39388.3,73126
61,0,25632,Jimmy Walker,53.86%,74304.9,137967
63,0,33141,Keegan Bradley,53.85%,62500.5,116072
64,0,50188,S.H. Kim,53.83%,98209.6,182443
65,0,28089,Jason Day,53.81%,57696.8,107227
66,0,55708,Hayden Buckley,53.76%,58401.4,108635
67,0,47995,Davis Riley,53.73%,72503.7,134945
68,0,29970,Dylan Frittelli,53.72%,59011.2,109855
69,0,31577,Tano Goya,53.70%,65617.6,122193
70,0,35461,Beau Hossler,53.68%,86106.1,160411
70,0,48081,Xander Schauffele,53.68%,56013.2,104355
70,0,50095,Austin Smotherman,53.68%,77826.2,144971
73,0,56630,Akshay Bhatia,53.66%,55469.0,103374
73,0,58967,Trevor Werbylo,53.66%,59267.4,110457
75,0,32757,Patton Kizzire,53.65%,80357.8,149768
76,0,34363,Tyrrell Hatton,53.63%,59609.8,111145
77,0,29725,Tony Finau,53.58%,67178.9,125378
78,0,23320,Ryan Palmer,53.57%,61115.9,114082
78,0,48887,Matt Wallace,53.57%,63624.5,118759
80,0,48119,Ben Taylor,53.48%,81519.3,152439
81,0,34563,Chesson Hadley,53.47%,73522.6,137495
82,0,46340,Alex Smalley,53.37%,87952.7,164790
83,0,33597,Harry Higgs,53.36%,58718.2,110051
84,0,47128,Richy Werenski,53.35%,70405.7,131971
85,0,40098,Matt Fitzpatrick,53.34%,56795.9,106487
86,0,32366,Kevin Chappell,53.33%,37061.6,69495
87,0,39954,Cody Gribble,53.30%,50102.6,93997
88,0,25686,Jason Dufner,53.28%,67952.1,127540
88,0,51634,Sahith Theegala,53.28%,81696.6,153348
90,0,57362,Austin Eckroat,53.26%,67759.2,127232
90,0,29221,Webb Simpson,53.26%,47298.3,88814
92,0,39971,Sungjae Im,53.25%,75291.3,141391
93,0,39975,Michael Kim,53.23%,63484.8,119273
94,0,57975,Harry Hall,53.22%,69297.8,130219
95,0,29289,S.Y. Noh,53.20%,45868.5,86227
96,0,33204,Shane Lowry,53.19%,49202.7,92507
97,0,39324,J.J. Spaun,53.18%,75875.6,142677
98,0,28252,Seamus Power,53.17%,60117.8,113069
99,0,55182,Tom Kim,53.16%,67860.0,127662
100,0,54591,Ben Griffin,53.15%,83637.8,157349
100,0,32791,K.H. Lee,53.15%,75252.8,141593
102,0,34099,Harris English,53.13%,69009.4,129882
103,0,27095,Nick Watney,53.10%,55882.8,105236
104,0,35506,Mackenzie Hughes,53.09%,67022.8,126254
105,0,39997,Corey Conners,53.07%,65027.5,122534
105,0,51997,Andrew Novak,53.07%,63362.9,119392
107,0,34431,Robert Streb,53.04%,57832.7,109036
108,0,35310,Lanto Griffin,53.01%,47525.0,89658
109,0,30911,Tommy Fleetwood,52.99%,53664.0,101278
109,0,55789,Taylor Montgomery,52.99%,80523.0,151947
111,0,31646,Emiliano Grillo,52.97%,82239.4,155253
112,0,32448,James Hahn,52.93%,68760.0,129896
113,0,29420,Billy Horschel,52.89%,45034.2,85145
114,0,46442,Maverick McNealy,52.88%,45373.7,85809
115,0,34466,Peter Malnati,52.87%,76574.5,144828
116,0,52375,Doug Ghim,52.79%,71574.2,135576
117,0,45609,Tyler Duncan,52.77%,73863.6,139962
118,0,37455,Si Woo Kim,52.76%,73982.5,140237
119,0,27349,Alex Noren,52.71%,71022.4,134754
119,0,47983,Chad Ramey,52.71%,85402.0,162036
121,0,49298,Kramer Hickok,52.62%,72947.8,138633
121,0,32839,Hideki Matsuyama,52.62%,65079.0,123683
123,0,36871,Matt NeSmith,52.59%,76674.9,145810
123,0,49771,J.T. Poston,52.59%,72336.8,137538
123,0,40115,Adam Svensson,52.59%,91500.6,173988
126,0,28775,Nate Lashley,52.58%,80115.1,152369
127,0,54628,Lee Hodges,52.56%,83759.2,159374
128,0,50525,Collin Morikawa,52.55%,55175.3,104992
129,0,25900,Lucas Glover,52.53%,74653.8,142106
129,0,40162,Justin Lower,52.53%,79493.0,151316
131,0,49960,Sepp Straka,52.46%,68395.5,130375
132,0,27974,Sung Kang,52.43%,30947.3,59027
133,0,47591,Eric Cole,52.41%,97430.7,185894
134,0,59018,Ryan Gerard,52.37%,48423.5,92460
134,0,30926,Chris Kirk,52.37%,67415.6,128718
134,0,52374,Brandon Wu,52.37%,77557.2,148097
137,0,32640,Troy Merritt,52.36%,66323.8,126680
138,0,30163,Henrik Norlander,52.35%,67140.9,128255
139,0,29908,C.T. Pan,52.33%,36918.5,70544
140,0,49766,Hank Lebioda,52.32%,44060.1,84207
141,0,34076,Joel Dahmen,52.31%,68159.6,130292
142,0,24140,Sean O'Hair,52.26%,31210.6,59721
143,0,54783,Dylan Wu,52.24%,75877.0,145258
144,0,53165,Doc Redman,52.23%,62793.6,120217
145,0,27214,Kevin Streelman,52.21%,82303.9,157648
146,0,51890,Greyson Sigg,52.17%,82877.6,158859
147,0,35532,Tom Hoge,52.11%,76211.0,146238
147,0,52513,Carson Young,52.11%,67901.5,130299
149,0,33413,Ben Martin,52.10%,74464.4,142916
149,0,46441,Robby Shelton,52.10%,80222.7,153979
149,0,32139,Danny Willett,52.10%,49710.0,95413
152,0,50493,Justin Suh,52.09%,87360.5,167703
153,0,51349,Nico Echavarria,52.08%,51596.0,99078
154,0,31557,Jim Herman,52.06%,54768.2,105192
155,0,23108,Matt Kuchar,52.05%,68576.1,131744
155,0,34610,Matthias Schwab,52.05%,75191.0,144469
157,0,27644,Brian Harman,52.04%,66165.3,127145
158,0,22056,Cameron Percy,51.98%,43992.3,84641
158,0,25818,Scott Piercy,51.98%,64826.6,124725
158,0,46414,Aaron Rai,51.98%,78651.8,151304
161,0,51950,Max McGreevy,51.97%,59643.8,114770
162,0,37275,Sam Ryder,51.96%,83700.4,161081
163,0,22405,Justin Rose,51.88%,47199.5,90970
164,0,33399,Adam Hadwin,51.84%,74206.6,143140
165,0,36326,David Lipsky,51.81%,75990.8,146666
166,0,27936,Martin Laird,51.79%,66781.0,128954
167,0,36801,Mark Hubbard,51.78%,82456.2,159256
168,0,25493,Nick Taylor,51.75%,66811.1,129115
169,0,47079,Harrison Endycott,51.67%,64262.6,124377
170,0,34098,Russell Henley,51.51%,59373.0,115260
170,0,47993,Denny McCarthy,51.51%,74707.4,145028
172,0,35879,Kelly Kraft,51.50%,65520.0,127213
173,0,29535,Brice Garnett,51.45%,61064.8,118697
174,0,45522,Christiaan Bezuidenhout,51.44%,72362.9,140674
