RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,34099,Harris English,63.00,63,1
1,0,48699,Callum Tarren,63.00,63,1
3,0,29725,Tony Finau,64.00,64,1
3,0,33399,Adam Hadwin,64.00,64,1
5,0,35532,Tom Hoge,64.50,129,2
6,0,20229,Stewart Cink,66.00,66,1
6,0,51349,Nico Echavarria,66.00,198,3
6,0,27936,Martin Laird,66.00,66,1
6,0,27129,Luke List,66.00,198,3
6,0,25818,Scott Piercy,66.00,66,1
6,0,28252,Seamus Power,66.00,66,1
12,0,45522,Christiaan Bezuidenhout,66.50,133,2
12,0,52513,Carson Young,66.50,133,2
14,0,25493,Nick Taylor,66.75,267,4
15,0,34098,Russell Henley,67.00,201,3
15,0,33597,Harry Higgs,67.00,134,2
15,0,12716,Charley Hoffman,67.00,134,2
15,0,36799,Stephan Jaeger,67.00,134,2
15,0,51950,Max McGreevy,67.00,67,1
15,0,26596,Ryan Moore,67.00,67,1
15,0,49771,J.T. Poston,67.00,67,1
15,0,47995,Davis Riley,67.00,67,1
15,0,51634,Sahith Theegala,67.00,134,2
24,0,52372,Cameron Champ,67.50,135,2
24,0,32839,Hideki Matsuyama,67.50,135,2
26,0,46340,Alex Smalley,67.67,203,3
27,0,28420,Ryan Brehm,68.00,68,1
27,0,46435,Austin Cook,68.00,68,1
27,0,33653,Thomas Detry,68.00,136,2
27,0,39975,Michael Kim,68.00,68,1
27,0,32791,K.H. Lee,68.00,68,1
27,0,34409,David Lingmerth,68.00,68,1
27,0,33204,Shane Lowry,68.00,68,1
27,0,26476,Chez Reavie,68.00,136,2
27,0,39335,Kevin Roy,68.00,68,1
27,0,30927,Brendon Todd,68.00,68,1
37,0,39058,Lucas Herbert,68.33,205,3
37,0,55893,Sam Stevens,68.33,205,3
39,0,51766,Wyndham Clark,68.50,137,2
39,0,32448,James Hahn,68.50,137,2
39,0,35879,Kelly Kraft,68.50,137,2
39,0,29221,Webb Simpson,68.50,137,2
39,0,39324,J.J. Spaun,68.50,137,2
39,0,52411,Kyle Westmoreland,68.50,137,2
45,0,22371,Aaron Baddeley,68.67,206,3
46,0,47591,Eric Cole,69.00,69,1
46,0,32102,Rickie Fowler,69.00,69,1
46,0,35310,Lanto Griffin,69.00,207,3
46,0,47988,Nick Hardy,69.00,276,4
46,0,29420,Billy Horschel,69.00,69,1
46,0,36801,Mark Hubbard,69.00,69,1
46,0,35449,Adam Long,69.00,207,3
46,0,40250,Taylor Pendrith,69.00,138,2
46,0,34256,Andrew Putnam,69.00,69,1
46,0,47983,Chad Ramey,69.00,207,3
46,0,51890,Greyson Sigg,69.00,138,2
46,0,34431,Robert Streb,69.00,138,2
46,0,31323,Gary Woodland,69.00,207,3
59,0,19803,Ryan Armour,69.25,277,4
59,0,39546,Keith Mitchell,69.25,277,4
59,0,40115,Adam Svensson,69.25,277,4
59,0,52374,Brandon Wu,69.25,277,4
63,0,46414,Aaron Rai,69.33,208,3
63,0,32333,Kevin Tway,69.33,208,3
65,0,24024,Zach Johnson,69.50,139,2
65,0,34610,Matthias Schwab,69.50,278,4
65,0,45242,Kevin Yu,69.50,139,2
68,0,51997,Andrew Novak,69.60,348,5
69,0,51414,Brent Grant,69.67,209,3
69,0,32816,Satoshi Kodaira,69.67,209,3
71,0,29535,Brice Garnett,69.75,279,4
71,0,47347,Adam Schenk,69.75,279,4
73,0,34255,Joseph Bramlett,70.00,140,2
73,0,24925,Jonathan Byrd,70.00,210,3
73,0,45157,Cam Davis,70.00,70,1
73,0,25686,Jason Dufner,70.00,70,1
73,0,47079,Harrison Endycott,70.00,70,1
73,0,59018,Ryan Gerard,70.00,70,1
73,0,32662,Michael Gligic,70.00,70,1
73,0,39954,Cody Gribble,70.00,70,1
73,0,49298,Kramer Hickok,70.00,140,2
73,0,48117,Kurt Kitayama,70.00,70,1
73,0,28775,Nate Lashley,70.00,70,1
73,0,36326,David Lipsky,70.00,70,1
73,0,31202,William McGirt,70.00,70,1
73,0,27349,Alex Noren,70.00,70,1
73,0,36699,Patrick Rodgers,70.00,70,1
73,0,48081,Xander Schauffele,70.00,70,1
73,0,48887,Matt Wallace,70.00,140,2
73,0,47128,Richy Werenski,70.00,140,2
73,0,54783,Dylan Wu,70.00,70,1
92,0,33410,Andrew Landry,70.33,211,3
92,0,34466,Peter Malnati,70.33,211,3
94,0,49453,Trevor Cone,70.50,141,2
94,0,39067,MJ Daffue,70.50,141,2
94,0,31577,Tano Goya,70.50,282,4
94,0,31646,Emiliano Grillo,70.50,141,2
94,0,33122,Russell Knox,70.50,282,4
94,0,47993,Denny McCarthy,70.50,141,2
94,0,27095,Nick Watney,70.50,141,2
101,0,49960,Sepp Straka,70.67,212,3
102,0,29970,Dylan Frittelli,71.00,142,2
102,0,35901,Paul Haley II,71.00,284,4
102,0,35461,Beau Hossler,71.00,71,1
102,0,35506,Mackenzie Hughes,71.00,71,1
102,0,55182,Tom Kim,71.00,71,1
102,0,40162,Justin Lower,71.00,71,1
102,0,32640,Troy Merritt,71.00,142,2
102,0,46601,Trey Mullinax,71.00,142,2
102,0,37275,Sam Ryder,71.00,71,1
102,0,46441,Robby Shelton,71.00,213,3
102,0,27214,Kevin Streelman,71.00,142,2
102,0,33448,Justin Thomas,71.00,71,1
102,0,58168,Davis Thompson,71.00,71,1
102,0,35617,Martin Trainer,71.00,142,2
102,0,57366,Cameron Young,71.00,284,4
117,0,27974,Sung Kang,71.33,214,3
117,0,36724,Augusto Núñez,71.33,214,3
119,0,34563,Chesson Hadley,71.50,143,2
119,0,57975,Harry Hall,71.50,286,4
119,0,33413,Ben Martin,71.50,143,2
119,0,29289,S.Y. Noh,71.50,143,2
119,0,48867,Matti Schmid,71.50,143,2
124,0,37338,Zecheng Dou,71.60,358,5
125,0,25900,Lucas Glover,72.00,216,3
125,0,22056,Cameron Percy,72.00,144,2
125,0,50095,Austin Smotherman,72.00,72,1
128,0,31557,Jim Herman,72.25,289,4
129,0,57362,Austin Eckroat,72.33,217,3
129,0,30163,Henrik Norlander,72.33,217,3
131,0,39997,Corey Conners,73.00,146,2
131,0,56762,Will Gordon,73.00,73,1
131,0,27554,Scott Harrington,73.00,219,3
131,0,23108,Matt Kuchar,73.00,73,1
131,0,51491,Brandon Matthews,73.00,146,2
131,0,53165,Doc Redman,73.00,73,1
131,0,40006,Erik van Rooyen,73.00,73,1
131,0,55454,Carl Yuan,73.00,219,3
139,0,48119,Ben Taylor,73.33,220,3
140,0,54421,Garrick Higgo,74.00,74,1
140,0,32757,Patton Kizzire,74.00,74,1
140,0,46442,Maverick McNealy,74.00,74,1
140,0,58967,Trevor Werbylo,74.00,74,1
144,0,48084,Wesley Bryan,74.50,149,2
145,0,33948,Byeong Hun An,75.00,75,1
145,0,56630,Akshay Bhatia,75.00,75,1
145,0,49766,Hank Lebioda,75.00,75,1
148,0,24502,Adam Scott,76.00,152,2
149,0,45609,Tyler Duncan,77.00,77,1
150,0,54628,Lee Hodges,79.00,79,1
