RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,37455,Si Woo Kim,16.67%,72,12
2,0,55893,Sam Stevens,16.07%,56,9
3,0,27649,Brandt Snedeker,15.38%,39,6
4,0,51766,Wyndham Clark,14.89%,47,7
5,0,39975,Michael Kim,14.55%,55,8
6,0,39971,Sungjae Im,14.29%,49,7
7,0,33653,Thomas Detry,13.73%,51,7
8,0,52955,Ludvig Ãberg,13.70%,73,10
9,0,40006,Erik van Rooyen,13.56%,59,8
10,0,46046,Scottie Scheffler,13.04%,46,6
11,0,47993,Denny McCarthy,12.07%,58,7
12,0,47663,Kevin Dougherty,11.76%,34,4
13,0,52514,Trace Crowe,11.54%,52,6
14,0,30911,Tommy Fleetwood,11.43%,70,8
15,0,40098,Matt Fitzpatrick,11.32%,53,6
15,0,24502,Adam Scott,11.32%,53,6
17,0,23108,Matt Kuchar,11.29%,62,7
18,0,39977,Max Homa,11.11%,63,7
18,0,29420,Billy Horschel,11.11%,45,5
18,0,32791,K.H. Lee,11.11%,63,7
18,0,34466,Peter Malnati,11.11%,63,7
22,0,27936,Martin Laird,10.71%,56,6
22,0,23320,Ryan Palmer,10.71%,28,3
24,0,39324,J.J. Spaun,10.67%,75,8
25,0,47483,Will Zalatoris,10.64%,47,5
26,0,34099,Harris English,10.61%,66,7
26,0,29936,Ryan Fox,10.61%,66,7
26,0,40162,Justin Lower,10.61%,66,7
26,0,33204,Shane Lowry,10.61%,66,7
30,0,36799,Stephan Jaeger,10.53%,57,6
31,0,32367,Jorge Campillo,10.26%,39,4
32,0,27064,Jhonattan Vegas,10.17%,59,6
33,0,51696,Rico Hoey,10.00%,60,6
33,0,51894,Vince Whaley,10.00%,50,5
35,0,52375,Doug Ghim,9.86%,71,7
36,0,48887,Matt Wallace,9.80%,51,5
37,0,40026,Daniel Berger,9.62%,52,5
37,0,51349,Nico Echavarria,9.62%,52,5
39,0,37275,Sam Ryder,9.43%,53,5
40,0,35532,Tom Hoge,9.38%,64,6
41,0,55454,Carl Yuan,9.30%,43,4
42,0,57366,Cameron Young,9.26%,54,5
43,0,56630,Akshay Bhatia,9.23%,65,6
44,0,60004,Jacob Bridgeman,9.09%,55,5
44,0,48867,Matti Schmid,9.09%,55,5
44,0,46340,Alex Smalley,9.09%,44,4
44,0,38991,Alejandro Tosti,9.09%,66,6
48,0,49947,Taylor Moore,8.97%,78,7
49,0,47504,Sam Burns,8.93%,56,5
50,0,29725,Tony Finau,8.82%,68,6
50,0,54628,Lee Hodges,8.82%,68,6
50,0,50484,Hayden Springer,8.82%,34,3
53,0,59143,Mac Meissner,8.70%,69,6
54,0,52372,Cameron Champ,8.62%,58,5
54,0,34076,Joel Dahmen,8.62%,58,5
56,0,35310,Lanto Griffin,8.51%,47,4
56,0,57975,Harry Hall,8.51%,47,4
56,0,50525,Collin Morikawa,8.51%,47,4
59,0,32366,Kevin Chappell,8.33%,36,3
59,0,32640,Troy Merritt,8.33%,48,4
61,0,50497,Adrien Dumont de Chassart,8.00%,50,4
61,0,33486,Roger Sloan,8.00%,50,4
63,0,29221,Webb Simpson,7.89%,38,3
64,0,34587,Chan Kim,7.81%,64,5
65,0,45609,Tyler Duncan,7.69%,52,4
65,0,27330,Josh Teater,7.69%,26,2
67,0,36326,David Lipsky,7.58%,66,5
68,0,47995,Davis Riley,7.55%,53,4
69,0,25493,Nick Taylor,7.46%,67,5
70,0,34563,Chesson Hadley,7.35%,68,5
71,0,36801,Mark Hubbard,7.32%,82,6
72,0,47420,Jake Knapp,7.27%,55,4
73,0,54421,Garrick Higgo,7.14%,56,4
73,0,12716,Charley Hoffman,7.14%,42,3
73,0,27214,Kevin Streelman,7.14%,42,3
73,0,48699,Callum Tarren,7.14%,56,4
77,0,35461,Beau Hossler,7.04%,71,5
77,0,48117,Kurt Kitayama,7.04%,71,5
79,0,58168,Davis Thompson,7.02%,57,4
80,0,46113,Ryan McCormick,6.98%,43,3
81,0,33408,Tyson Alexander,6.90%,58,4
81,0,59836,Pierceson Coody,6.90%,58,4
81,0,51997,Andrew Novak,6.90%,58,4
84,0,28237,Rory McIlroy,6.67%,60,4
85,0,57362,Austin Eckroat,6.45%,62,4
85,0,27139,David Skinns,6.45%,62,4
87,0,47347,Adam Schenk,6.41%,78,5
88,0,59866,Nick Dunlap,6.38%,47,3
89,0,27644,Brian Harman,6.15%,65,4
89,0,34256,Andrew Putnam,6.15%,65,4
89,0,51890,Greyson Sigg,6.15%,65,4
92,0,45522,Christiaan Bezuidenhout,6.12%,49,3
92,0,33399,Adam Hadwin,6.12%,49,3
92,0,52374,Brandon Wu,6.12%,49,3
95,0,28252,Seamus Power,6.02%,83,5
96,0,22371,Aaron Baddeley,6.00%,50,3
96,0,40115,Adam Svensson,6.00%,100,6
98,0,36699,Patrick Rodgers,5.95%,84,5
99,0,37212,Paul Barjon,5.88%,34,2
99,0,29908,C.T. Pan,5.88%,51,3
101,0,25900,Lucas Glover,5.71%,70,4
101,0,47988,Nick Hardy,5.71%,70,4
101,0,50095,Austin Smotherman,5.71%,35,2
104,0,32839,Hideki Matsuyama,5.56%,54,3
104,0,34046,Jordan Spieth,5.56%,54,3
106,0,51634,Sahith Theegala,5.48%,73,4
107,0,40058,Zac Blair,5.45%,55,3
107,0,36884,Ben Kohles,5.45%,55,3
107,0,26476,Chez Reavie,5.45%,55,3
110,0,39997,Corey Conners,5.41%,74,4
110,0,30927,Brendon Todd,5.41%,74,4
112,0,33141,Keegan Bradley,5.36%,56,3
112,0,52215,Robert MacIntyre,5.36%,56,3
112,0,40250,Taylor Pendrith,5.36%,56,3
115,0,27770,Camilo Villegas,5.26%,38,2
116,0,52453,Nicolai HÃ¸jgaard,5.13%,39,2
116,0,24024,Zach Johnson,5.13%,39,2
118,0,54576,Patrick Fishburn,5.08%,59,3
119,0,34374,Erik Barnes,5.00%,40,2
119,0,45157,Cam Davis,5.00%,60,3
119,0,51977,Max Greyserman,5.00%,60,3
119,0,55182,Tom Kim,5.00%,60,3
123,0,54591,Ben Griffin,4.92%,61,3
124,0,34255,Joseph Bramlett,4.76%,84,4
124,0,54783,Dylan Wu,4.76%,63,3
126,0,39327,Ben Silverman,4.62%,65,3
127,0,34098,Russell Henley,4.55%,44,2
127,0,49960,Sepp Straka,4.55%,66,3
127,0,48319,Tom Whitney,4.55%,44,2
130,0,32102,Rickie Fowler,4.48%,67,3
131,0,29478,Kevin Kisner,4.44%,45,2
132,0,22405,Justin Rose,4.35%,46,2
133,0,31323,Gary Woodland,4.29%,70,3
134,0,48153,Matthieu Pavon,4.26%,47,2
134,0,46441,Robby Shelton,4.26%,47,2
136,0,47983,Chad Ramey,4.23%,71,3
137,0,47806,Raul Pereda,4.17%,24,1
137,0,49771,J.T. Poston,4.17%,72,3
139,0,60767,Blaine Hale Jr.,4.00%,25,1
139,0,39546,Keith Mitchell,4.00%,50,2
141,0,60067,Joe Highsmith,3.92%,51,2
141,0,28775,Nate Lashley,3.92%,51,2
141,0,26596,Ryan Moore,3.92%,51,2
144,0,46717,Viktor Hovland,3.85%,52,2
145,0,32757,Patton Kizzire,3.70%,54,2
146,0,30926,Chris Kirk,3.64%,55,2
146,0,27349,Alex Noren,3.64%,55,2
148,0,48084,Wesley Bryan,3.57%,28,1
148,0,51070,Vincent Norrman,3.57%,56,2
150,0,50188,S.H. Kim,3.49%,86,3
151,0,55708,Hayden Buckley,3.45%,58,2
151,0,55789,Taylor Montgomery,3.45%,29,1
151,0,50493,Justin Suh,3.45%,58,2
154,0,51287,Ryo Hisatsune,3.39%,59,2
155,0,48081,Xander Schauffele,3.13%,64,2
156,0,33968,ThorbjÃ¸rn Olesen,2.86%,35,1
157,0,29535,Brice Garnett,2.78%,36,1
158,0,28089,Jason Day,2.70%,37,1
159,0,30163,Henrik Norlander,2.27%,44,1
160,0,33448,Justin Thomas,2.22%,45,1
161,0,52666,Sami Valimaki,2.13%,47,1
162,0,59095,Chris Gotterup,2.04%,49,1
162,0,32333,Kevin Tway,2.04%,49,1
164,0,35450,Patrick Cantlay,2.00%,50,1
165,0,27129,Luke List,1.89%,53,1
165,0,47679,Victor Perez,1.89%,53,1
167,0,28420,Ryan Brehm,1.85%,54,1
167,0,57900,Chandler Phillips,1.85%,54,1
169,0,37378,Min Woo Lee,1.75%,57,1
170,0,45242,Kevin Yu,1.72%,58,1
171,0,52513,Carson Young,1.67%,60,1
172,0,36871,Matt NeSmith,1.61%,62,1
173,0,31646,Emiliano Grillo,1.56%,64,1
174,0,46414,Aaron Rai,1.45%,69,1
175,0,35506,Mackenzie Hughes,1.33%,75,1
176,0,33948,Byeong Hun An,.00%,53,0
176,0,32070,Rafael Campos,.00%,41,0
176,0,34021,Bud Cauley,.00%,40,0
176,0,47591,Eric Cole,.00%,67,0
176,0,59442,Parker Coody,.00%,49,0
176,0,56149,Wilson Furr,.00%,40,0
176,0,46442,Maverick McNealy,.00%,48,0
176,0,48119,Ben Taylor,.00%,49,0
176,0,35617,Martin Trainer,.00%,23,0
