RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,22405,Justin Rose,61.00,61,1
2,0,52955,Ludvig Åberg,63.00,63,1
2,0,47591,Eric Cole,63.00,63,1
4,0,35506,Mackenzie Hughes,64.00,64,1
4,0,38991,Alejandro Tosti,64.00,64,1
6,0,45157,Cam Davis,65.00,65,1
6,0,29535,Brice Garnett,65.00,65,1
6,0,46046,Scottie Scheffler,65.00,65,1
6,0,27064,Jhonattan Vegas,65.00,65,1
10,0,32366,Kevin Chappell,66.00,198,3
10,0,52375,Doug Ghim,66.00,66,1
10,0,51287,Ryo Hisatsune,66.00,66,1
10,0,32791,K.H. Lee,66.00,66,1
14,0,57362,Austin Eckroat,66.50,133,2
14,0,59095,Chris Gotterup,66.50,133,2
14,0,55182,Tom Kim,66.50,133,2
14,0,34256,Andrew Putnam,66.50,133,2
18,0,40115,Adam Svensson,66.67,200,3
19,0,33141,Keegan Bradley,67.00,67,1
19,0,55708,Hayden Buckley,67.00,67,1
19,0,34076,Joel Dahmen,67.00,201,3
19,0,27936,Martin Laird,67.00,134,2
19,0,51997,Andrew Novak,67.00,67,1
19,0,58168,Davis Thompson,67.00,67,1
19,0,45242,Kevin Yu,67.00,67,1
26,0,47988,Nick Hardy,67.50,135,2
26,0,36801,Mark Hubbard,67.50,135,2
26,0,27129,Luke List,67.50,135,2
26,0,47993,Denny McCarthy,67.50,135,2
26,0,28252,Seamus Power,67.50,270,4
26,0,47995,Davis Riley,67.50,135,2
26,0,50484,Hayden Springer,67.50,135,2
33,0,28089,Jason Day,68.00,68,1
33,0,47663,Kevin Dougherty,68.00,136,2
33,0,51349,Nico Echavarria,68.00,68,1
33,0,34098,Russell Henley,68.00,68,1
33,0,39971,Sungjae Im,68.00,68,1
33,0,50188,S.H. Kim,68.00,136,2
33,0,33968,Thorbjørn Olesen,68.00,68,1
33,0,37275,Sam Ryder,68.00,68,1
33,0,47347,Adam Schenk,68.00,68,1
33,0,51890,Greyson Sigg,68.00,136,2
33,0,39324,J.J. Spaun,68.00,68,1
44,0,28420,Ryan Brehm,68.50,137,2
44,0,35532,Tom Hoge,68.50,137,2
44,0,46441,Robby Shelton,68.50,137,2
44,0,52513,Carson Young,68.50,137,2
48,0,56149,Wilson Furr,69.00,69,1
48,0,51696,Rico Hoey,69.00,69,1
48,0,40162,Justin Lower,69.00,276,4
48,0,32839,Hideki Matsuyama,69.00,69,1
48,0,29221,Webb Simpson,69.00,69,1
48,0,30927,Brendon Todd,69.00,138,2
54,0,36884,Ben Kohles,69.25,277,4
55,0,35310,Lanto Griffin,69.40,347,5
56,0,60767,Blaine Hale Jr.,69.50,139,2
56,0,12716,Charley Hoffman,69.50,278,4
56,0,30163,Henrik Norlander,69.50,139,2
56,0,35617,Martin Trainer,69.50,139,2
60,0,33408,Tyson Alexander,69.60,348,5
61,0,54421,Garrick Higgo,69.67,209,3
61,0,35461,Beau Hossler,69.67,209,3
63,0,40058,Zac Blair,70.00,280,4
63,0,34255,Joseph Bramlett,70.00,140,2
63,0,32102,Rickie Fowler,70.00,70,1
63,0,57975,Harry Hall,70.00,70,1
63,0,32757,Patton Kizzire,70.00,70,1
63,0,36326,David Lipsky,70.00,70,1
63,0,46442,Maverick McNealy,70.00,70,1
63,0,27349,Alex Noren,70.00,70,1
63,0,51070,Vincent Norrman,70.00,140,2
63,0,23320,Ryan Palmer,70.00,140,2
63,0,46414,Aaron Rai,70.00,70,1
63,0,36699,Patrick Rodgers,70.00,140,2
63,0,48119,Ben Taylor,70.00,140,2
63,0,32333,Kevin Tway,70.00,70,1
77,0,27649,Brandt Snedeker,70.33,211,3
77,0,50493,Justin Suh,70.33,211,3
79,0,60004,Jacob Bridgeman,70.50,141,2
79,0,45609,Tyler Duncan,70.50,141,2
81,0,40026,Daniel Berger,70.67,212,3
82,0,52372,Cameron Champ,71.00,71,1
82,0,29936,Ryan Fox,71.00,142,2
82,0,24024,Zach Johnson,71.00,71,1
82,0,28775,Nate Lashley,71.00,142,2
82,0,26476,Chez Reavie,71.00,71,1
82,0,52666,Sami Valimaki,71.00,71,1
82,0,51894,Vince Whaley,71.00,71,1
82,0,54783,Dylan Wu,71.00,142,2
90,0,22371,Aaron Baddeley,71.33,214,3
91,0,59836,Pierceson Coody,71.50,143,2
91,0,54628,Lee Hodges,71.50,143,2
91,0,57900,Chandler Phillips,71.50,143,2
94,0,36871,Matt NeSmith,71.67,215,3
94,0,39327,Ben Silverman,71.67,215,3
96,0,27644,Brian Harman,72.00,72,1
96,0,47420,Jake Knapp,72.00,72,1
96,0,27770,Camilo Villegas,72.00,72,1
99,0,47983,Chad Ramey,72.50,145,2
100,0,55893,Sam Stevens,72.67,218,3
101,0,50497,Adrien Dumont de Chassart,73.00,146,2
101,0,46113,Ryan McCormick,73.00,73,1
101,0,55789,Taylor Montgomery,73.00,73,1
101,0,49947,Taylor Moore,73.00,73,1
101,0,47483,Will Zalatoris,73.00,73,1
106,0,27139,David Skinns,73.33,220,3
107,0,48319,Tom Whitney,73.50,147,2
108,0,52453,Nicolai Højgaard,74.00,74,1
108,0,50525,Collin Morikawa,74.00,74,1
