RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
1,0,33204,Shane Lowry,359,359
2,0,57975,Harry Hall,358,49
3,0,47679,Victor Perez,351,46
4,0,50525,Collin Morikawa,339,10
5,0,47993,Denny McCarthy,314,39
6,0,48081,Xander Schauffele,305,29
7,0,34098,Russell Henley,279,279
8,0,39324,J.J. Spaun,271,11
9,0,46414,Aaron Rai,269,32
10,0,54591,Ben Griffin,260,44
11,0,59442,Parker Coody,259,132
12,0,34213,Grayson Murray,253,253
13,0,59095,Chris Gotterup,249,24
14,0,20229,Stewart Cink,239,44
15,0,36884,Ben Kohles,233,7
16,0,35532,Tom Hoge,229,27
17,0,45522,Christiaan Bezuidenhout,228,3
18,0,46046,Scottie Scheffler,225,225
19,0,33653,Thomas Detry,223,8
20,0,47591,Eric Cole,222,30
21,0,31646,Emiliano Grillo,221,210
21,0,28252,Seamus Power,221,14
23,0,56630,Akshay Bhatia,218,218
24,0,46442,Maverick McNealy,217,3
25,0,51634,Sahith Theegala,216,10
26,0,36801,Mark Hubbard,215,35
26,0,48119,Ben Taylor,215,16
28,0,35506,Mackenzie Hughes,212,60
29,0,52513,Carson Young,211,112
30,0,27349,Alex Noren,210,41
31,0,52955,Ludvig Ãberg,209,33
32,0,57362,Austin Eckroat,207,14
32,0,35891,Cameron Smith,207,13
34,0,50188,S.H. Kim,206,5
35,0,33948,Byeong Hun An,205,4
36,0,54628,Lee Hodges,199,8
37,0,27214,Kevin Streelman,197,26
38,0,32102,Rickie Fowler,196,63
38,0,52215,Robert MacIntyre,196,188
38,0,47983,Chad Ramey,196,10
41,0,40250,Taylor Pendrith,195,13
42,0,28089,Jason Day,194,4
43,0,37455,Si Woo Kim,192,15
44,0,40162,Justin Lower,191,20
45,0,29908,C.T. Pan,188,15
45,0,49960,Sepp Straka,188,1
45,0,32333,Kevin Tway,188,0
48,0,51894,Vince Whaley,187,47
49,0,34021,Bud Cauley,186,68
49,0,25900,Lucas Glover,186,30
49,0,34046,Jordan Spieth,186,15
52,0,40098,Matt Fitzpatrick,185,8
52,0,33448,Justin Thomas,185,185
54,0,52375,Doug Ghim,183,69
54,0,31323,Gary Woodland,183,85
56,0,32366,Kevin Chappell,181,3
56,0,47420,Jake Knapp,181,22
56,0,47806,Raul Pereda,181,31
56,0,48867,Matti Schmid,181,18
60,0,59143,Mac Meissner,179,126
60,0,49947,Taylor Moore,179,26
62,0,29725,Tony Finau,178,2
63,0,34099,Harris English,175,34
63,0,27644,Brian Harman,175,62
63,0,47483,Will Zalatoris,175,57
66,0,45609,Tyler Duncan,173,33
66,0,32791,K.H. Lee,173,9
68,0,29936,Ryan Fox,171,26
68,0,39327,Ben Silverman,171,4
70,0,60067,Joe Highsmith,170,32
71,0,36871,Matt NeSmith,169,16
71,0,36699,Patrick Rodgers,169,38
73,0,59866,Nick Dunlap,168,6
73,0,55182,Tom Kim,168,1
73,0,33413,Ben Martin,168,13
73,0,52374,Brandon Wu,168,64
77,0,51287,Ryo Hisatsune,167,62
77,0,28237,Rory McIlroy,167,71
79,0,51977,Max Greyserman,166,25
79,0,39971,Sungjae Im,166,52
81,0,51766,Wyndham Clark,164,25
81,0,29420,Billy Horschel,164,105
81,0,39975,Michael Kim,164,97
81,0,51997,Andrew Novak,164,16
81,0,55893,Sam Stevens,164,23
86,0,22405,Justin Rose,163,14
87,0,34310,Alexander BjÃ¶rk,162,46
87,0,36799,Stephan Jaeger,162,7
87,0,23320,Ryan Palmer,162,7
90,0,33141,Keegan Bradley,161,70
90,0,29289,S.Y. Noh,161,0
90,0,46441,Robby Shelton,161,47
93,0,47504,Sam Burns,160,98
93,0,46435,Austin Cook,160,5
93,0,30911,Tommy Fleetwood,160,29
96,0,50497,Adrien Dumont de Chassart,158,3
96,0,40006,Erik van Rooyen,158,9
98,0,51696,Rico Hoey,157,23
99,0,39997,Corey Conners,155,9
