YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2013,1,0,25444,Justin Hicks,"11' 7""",115.833,10,-4
2013,2,0,24490,George McNeill,"12' 3""",73.333,6,-3
2013,3,0,20160,Charlie Wi,"13' 6""",134.75,10,+1
2013,4,0,26596,Ryan Moore,"14' 1""",225.083,16,E
2013,5,0,1116,Michael Bradley,"14' 6""",130.583,9,-2
2013,6,0,2206,David Toms,"14' 7""",87.583,6,-1
2013,7,0,21753,Brian Davis,"15' 0""",300.25,20,-2
2013,8,0,22405,Justin Rose,"15' 3""",106.5,7,-2
2013,8,0,10423,Mike Weir,"15' 3""",197.917,13,-1
2013,10,0,6522,Ernie Els,"15' 4""",45.917,3,+1
2013,11,0,22056,Cameron Percy,"16' 0""",96.083,6,+3
2013,11,0,25818,Scott Piercy,"16' 0""",175.917,11,+6
2013,13,0,30711,Colt Knost,"16' 3""",211.25,13,E
2013,13,0,22961,David Mathis,"16' 3""",179.0,11,E
2013,15,0,27436,Graham DeLaet,"16' 8""",183.083,11,-2
2013,15,0,6573,Brandt Jobe,"16' 8""",66.667,4,+3
2013,17,0,34174,John Huh,"16' 11""",270.5,16,-1
2013,18,0,24138,Ian Poulter,"17' 4""",207.833,12,+1
2013,19,0,33461,Morgan Hoffmann,"17' 5""",331.5,19,E
2013,20,0,27408,Martin Kaymer,"17' 6""",70.0,4,-2
2013,21,0,23497,Tag Ridings,"17' 7""",263.75,15,+2
2013,22,0,24781,Hunter Mahan,"17' 8""",212.0,12,-2
2013,23,0,27770,Camilo Villegas,"17' 9""",142.167,8,+1
2013,24,0,34046,Jordan Spieth,"17' 10""",356.667,20,-4
2013,25,0,35539,Luke Guthrie,"18' 2""",363.667,20,-5
2013,26,0,26331,Charl Schwartzel,"18' 4""",128.583,7,-4
2013,27,0,34261,Scott Langley,"18' 5""",129.167,7,-1
2013,28,0,29740,Brad Fritsch,"18' 8""",242.25,13,+2
2013,28,0,28135,Aaron Watkins,"18' 8""",93.417,5,+1
2013,30,0,22378,Trevor Immelman,"18' 9""",299.833,16,+4
2013,31,0,27644,Brian Harman,"18' 10""",357.667,19,-2
2013,32,0,31323,Gary Woodland,"19' 0""",322.5,17,+3
2013,33,0,20104,Ken Duke,"19' 2""",210.417,11,-1
2013,33,0,12782,Tim Herron,"19' 2""",115.0,6,E
2013,33,0,28780,Nicholas Thompson,"19' 2""",403.083,21,+2
2013,36,0,24502,Adam Scott,"19' 4""",77.417,4,E
2013,37,0,32200,Roberto Castro,"19' 6""",350.667,18,+1
2013,38,0,30925,Dustin Johnson,"19' 9""",276.5,14,E
2013,38,0,25240,D.A. Points,"19' 9""",157.917,8,-1
2013,40,0,20848,Ángel Cabrera,"19' 10""",317.0,16,E
2013,41,0,24399,Scott Gardiner,"19' 11""",457.833,23,+1
2013,41,0,26758,David Hearn,"19' 11""",379.0,19,-2
2013,43,0,28310,Lee Williams,"20' 0""",220.0,11,+1
2013,44,0,23800,Bryce Molder,"20' 1""",240.75,12,+2
2013,45,0,20443,Jin Park,"20' 2""",201.333,10,-1
2013,46,0,27503,Steve LeBrun,"20' 5""",245.083,12,-1
2013,47,0,10860,Justin Leonard,"20' 6""",266.917,13,-2
2013,48,0,8075,Jerry Kelly,"20' 7""",350.0,17,E
2013,49,0,23621,Rory Sabbatini,"20' 8""",413.417,20,-1
2013,50,0,28307,Matt Every,"20' 9""",519.25,25,-8
2013,50,0,34098,Russell Henley,"20' 9""",291.0,14,-1
2013,50,0,29289,S.Y. Noh,"20' 9""",332.333,16,E
2013,53,0,22621,Ben Curtis,"20' 11""",208.917,10,-1
2013,54,0,22046,Geoff Ogilvy,"21' 0""",335.417,16,-2
2013,54,0,22913,John Rollins,"21' 0""",314.833,15,+1
2013,56,0,28237,Rory McIlroy,"21' 1""",126.333,6,-1
2013,57,0,1724,Jeff Maggert,"21' 5""",406.917,19,E
2013,58,0,36884,Ben Kohles,"21' 6""",215.167,10,+2
2013,59,0,26851,Marc Leishman,"21' 7""",280.917,13,+1
2013,59,0,27963,Chris Stroud,"21' 7""",323.667,15,-4
2013,61,0,27649,Brandt Snedeker,"21' 8""",324.583,15,-3
2013,62,0,25834,Daniel Summerhays,"21' 9""",435.083,20,+1
2013,62,0,27330,Josh Teater,"21' 9""",348.417,16,-2
2013,64,0,25686,Jason Dufner,"21' 10""",283.5,13,-2
