YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
2013,1,0,20229,Stewart Cink,85.42,82,96,-0.23
2013,2,0,23353,J.J. Henry,85.11,120,141,-0.29
2013,3,0,25444,Justin Hicks,84.68,105,124,-0.25
2013,4,0,34261,Scott Langley,83.9,99,118,-0.31
2013,5,0,10860,Justin Leonard,83.72,108,129,-0.32
2013,6,0,26851,Marc Leishman,83.5,86,103,-0.26
2013,7,0,24357,K.J. Choi,83.21,109,131,-0.25
2013,8,0,10809,Jim Furyk,82.79,101,122,-0.31
2013,9,0,10213,Dicky Pride,82.47,80,97,-0.45
2013,10,0,6567,Vijay Singh,82.42,75,91,-0.21
2013,11,0,26758,David Hearn,82.39,131,159,-0.33
2013,12,0,32200,Roberto Castro,82.35,140,170,-0.3
2013,13,0,8793,Tiger Woods,82.26,51,62,-0.57
2013,14,0,30926,Chris Kirk,82.07,119,145,-0.35
2013,15,0,23983,Luke Donald,82.05,64,78,-0.3
2013,16,0,25686,Jason Dufner,81.6,133,163,-0.26
2013,17,0,23135,Tim Clark,81.48,66,81,-0.21
2013,18,0,12510,Chad Campbell,81.45,101,124,-0.23
2013,19,0,27770,Camilo Villegas,81.31,87,107,-0.33
2013,20,0,28135,Aaron Watkins,81.16,56,69,-0.54
2013,21,0,28455,Will Claxton,81.08,90,111,-0.16
2013,22,0,28679,Fabián Gómez,80.91,89,110,-0.31
2013,23,0,23800,Bryce Molder,80.88,110,136,-0.35
2013,24,0,20104,Ken Duke,80.43,111,138,-0.21
2013,25,0,32698,Bobby Gates,80.28,57,71,-0.23
2013,26,0,25632,Jimmy Walker,80.26,122,152,-0.29
2013,27,0,25336,Alistair Presnell,80.25,65,81,-0.18
2013,28,0,24846,Ricky Barnes,80.2,81,101,-0.28
2013,28,0,22961,David Mathis,80.2,81,101,-0.19
2013,30,0,31323,Gary Woodland,80.14,113,141,-0.28
2013,31,0,8075,Jerry Kelly,80.0,92,115,-0.25
2013,32,0,27936,Martin Laird,79.76,67,84,-0.24
2013,33,0,1116,Michael Bradley,79.49,62,78,-0.21
2013,34,0,1320,Bob Estes,79.44,85,107,-0.27
2013,35,0,22806,Doug LaBelle II,79.41,81,102,-0.2
2013,36,0,24494,Erik Compton,79.31,92,116,-0.24
2013,37,0,34098,Russell Henley,79.23,103,130,-0.21
2013,38,0,20443,Jin Park,79.22,61,77,-0.2
2013,39,0,22913,John Rollins,79.2,99,125,-0.19
2013,40,0,24781,Hunter Mahan,79.13,91,115,-0.18
2013,41,0,24358,Robert Garrigus,79.05,83,105,-0.34
2013,42,0,23638,Brendon de Jonge,78.89,157,199,-0.22
2013,43,0,22378,Trevor Immelman,78.49,73,93,-0.15
2013,44,0,1724,Jeff Maggert,78.43,80,102,-0.28
2013,45,0,23452,Nicolas Colsaerts,78.31,65,83,-0.22
2013,46,0,23409,James Driscoll,78.18,86,110,-0.31
2013,46,0,29289,S.Y. Noh,78.18,86,110,-0.22
2013,48,0,20098,Stuart Appleby,78.08,114,146,-0.24
2013,49,0,33419,Cameron Tringale,77.78,105,135,-0.3
2013,50,0,25834,Daniel Summerhays,77.71,122,157,-0.34
2013,51,0,26289,Boo Weekley,77.66,146,188,-0.23
2013,52,0,25818,Scott Piercy,77.61,104,134,-0.27
2013,53,0,20593,Greg Chalmers,77.59,90,116,-0.34
2013,54,0,28500,Martin Flores,77.51,131,169,-0.21
2013,55,0,26476,Chez Reavie,77.37,106,137,-0.25
2013,56,0,20766,Padraig Harrington,77.36,41,53,-0.34
2013,57,0,27503,Steve LeBrun,77.31,92,119,-0.28
2013,58,0,6004,Stephen Ames,77.27,51,66,-0.31
2013,59,0,28475,Jeff Overton,77.25,129,167,-0.24
2013,60,0,20160,Charlie Wi,77.12,91,118,-0.3
2013,61,0,28092,D.H. Lee,77.08,74,96,-0.19
2013,62,0,23497,Tag Ridings,77.06,84,109,-0.32
2013,63,0,22792,Peter Hanson,77.05,47,61,-0.32
2013,64,0,24024,Zach Johnson,76.98,97,126,-0.26
2013,65,0,21731,Freddie Jacobson,76.92,70,91,-0.29
2013,65,0,6573,Brandt Jobe,76.92,80,104,-0.34
2013,67,0,34431,Robert Streb,76.86,93,121,-0.22
2013,67,0,27963,Chris Stroud,76.86,93,121,-0.32
2013,69,0,20645,John Senden,76.84,73,95,-0.33
2013,70,0,6527,Steve Stricker,76.56,49,64,-0.33
2013,71,0,34099,Harris English,76.55,111,145,-0.32
2013,72,0,21209,Sergio Garcia,76.47,65,85,-0.22
2013,72,0,22046,Geoff Ogilvy,76.47,52,68,-0.15
2013,74,0,23108,Matt Kuchar,76.23,93,122,-0.27
2013,75,0,31202,William McGirt,76.22,109,143,-0.33
2013,76,0,10885,Robert Allenby,76.14,67,88,-0.24
2013,76,0,27408,Martin Kaymer,76.14,67,88,-0.15
2013,78,0,27436,Graham DeLaet,76.12,102,134,-0.3
2013,79,0,22405,Justin Rose,76.09,70,92,-0.24
2013,80,0,29740,Brad Fritsch,75.94,101,133,-0.29
2013,81,0,29221,Webb Simpson,75.78,97,128,-0.34
2013,82,0,25804,Bubba Watson,75.76,100,132,-0.18
2013,83,0,22295,Darron Stiles,75.64,59,78,-0.29
2013,84,0,28780,Nicholas Thompson,75.61,124,164,-0.25
2013,85,0,26951,Johnson Wagner,75.51,74,98,-0.26
2013,86,0,26679,Kevin Stadler,75.5,114,151,-0.3
2013,87,0,20396,Lee Westwood,75.49,77,102,-0.22
2013,88,0,22056,Cameron Percy,75.4,95,126,-0.22
2013,89,0,32366,Kevin Chappell,75.35,107,142,-0.32
2013,90,0,20572,Rod Pampling,75.32,58,77,-0.21
2013,91,0,21753,Brian Davis,75.31,122,162,-0.38
2013,92,0,29479,Scott Brown,75.0,93,124,-0.23
2013,92,0,31557,Jim Herman,75.0,60,80,-0.18
2013,92,0,27649,Brandt Snedeker,75.0,84,112,-0.37
2013,92,0,21528,Henrik Stenson,75.0,51,68,-0.25
2013,92,0,32150,Michael Thompson,75.0,69,92,-0.12
2013,92,0,24663,Y.E. Yang,75.0,45,60,-0.27
2013,98,0,19970,Robert Karlsson,74.6,47,63,-0.21
2013,99,0,36884,Ben Kohles,74.58,88,118,-0.28
2013,100,0,30163,Henrik Norlander,74.56,85,114,-0.25
2013,101,0,25345,Carl Pettersson,74.44,99,133,-0.22
2013,102,0,33141,Keegan Bradley,74.42,96,129,-0.25
2013,102,0,25562,Andres Romero,74.42,64,86,-0.16
2013,104,0,1810,Phil Mickelson,74.29,78,105,-0.33
2013,104,0,24138,Ian Poulter,74.29,52,70,-0.15
2013,106,0,32448,James Hahn,74.17,89,120,-0.25
2013,107,0,32334,Charlie Beljan,74.16,66,89,-0.15
