YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,HOLE OUTS
2013,1,0,21753,Brian Davis,20
2013,2,0,19846,Brian Gay,18
2013,2,0,34174,John Huh,18
2013,4,0,25818,Scott Piercy,17
2013,5,0,23638,Brendon de Jonge,16
2013,5,0,30944,Jason Kokrak,16
2013,7,0,27120,Troy Matteson,15
2013,7,0,27933,John Merrick,15
2013,7,0,34360,Patrick Reed,15
2013,7,0,34046,Jordan Spieth,15
2013,7,0,25834,Daniel Summerhays,15
2013,12,0,20098,Stuart Appleby,14
2013,12,0,28259,Sangmoon Bae,14
2013,12,0,24507,Jason Bohn,14
2013,12,0,20848,Ángel Cabrera,14
2013,12,0,29740,Brad Fritsch,14
2013,12,0,32448,James Hahn,14
2013,12,0,30926,Chris Kirk,14
2013,12,0,10860,Justin Leonard,14
2013,12,0,21099,David Lynn,14
2013,12,0,23800,Bryce Molder,14
2013,12,0,25240,D.A. Points,14
2013,12,0,27963,Chris Stroud,14
2013,24,0,24024,Zach Johnson,13
2013,24,0,36884,Ben Kohles,13
2013,24,0,31202,William McGirt,13
2013,24,0,24490,George McNeill,13
2013,24,0,10213,Dicky Pride,13
2013,24,0,29221,Webb Simpson,13
2013,24,0,26679,Kevin Stadler,13
2013,24,0,20160,Charlie Wi,13
2013,32,0,20593,Greg Chalmers,12
2013,32,0,20104,Ken Duke,12
2013,32,0,28500,Martin Flores,12
2013,32,0,30750,Tommy Gainey,12
2013,32,0,27644,Brian Harman,12
2013,32,0,34098,Russell Henley,12
2013,32,0,8075,Jerry Kelly,12
2013,32,0,27936,Martin Laird,12
2013,32,0,24140,Sean O'Hair,12
2013,32,0,26476,Chez Reavie,12
2013,32,0,23621,Rory Sabbatini,12
2013,32,0,28780,Nicholas Thompson,12
2013,32,0,31323,Gary Woodland,12
2013,45,0,22371,Aaron Baddeley,11
2013,45,0,27895,Jonas Blixt,11
2013,45,0,25274,Steven Bowditch,11
2013,45,0,33141,Keegan Bradley,11
2013,45,0,29479,Scott Brown,11
2013,45,0,12510,Chad Campbell,11
2013,45,0,32200,Roberto Castro,11
2013,45,0,23409,James Driscoll,11
2013,45,0,33461,Morgan Hoffmann,11
2013,45,0,29420,Billy Horschel,11
2013,45,0,34409,David Lingmerth,11
2013,45,0,24781,Hunter Mahan,11
2013,45,0,33419,Cameron Tringale,11
2013,45,0,28310,Lee Williams,11
2013,59,0,24494,Erik Compton,10
2013,59,0,32102,Rickie Fowler,10
2013,59,0,24399,Scott Gardiner,10
2013,59,0,35539,Luke Guthrie,10
2013,59,0,24924,Bill Haas,10
2013,59,0,12716,Charley Hoffman,10
2013,59,0,21961,Charles Howell III,10
2013,59,0,30711,Colt Knost,10
2013,59,0,22806,Doug LaBelle II,10
2013,59,0,26596,Ryan Moore,10
2013,59,0,24361,Pat Perez,10
2013,59,0,27556,Ted Potter Jr.,10
