RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,01935,Calvin Peete,83.67,753,900
2,0,01823,Larry Mize,79.19,963,1216
3,0,02190,Doug Tewell,78.97,860,1089
4,0,01559,Hale Irwin,77.84,664,853
5,0,01306,David Edwards,77.57,792,1021
6,0,02159,Curtis Strange,76.59,772,1008
7,0,01928,Corey Pavin,75.75,1112,1468
8,0,02186,Brian Tennyson,75.71,1013,1338
9,0,01557,John Inman,74.54,1057,1418
10,0,01527,Scott Hoch,74.16,901,1215
11,0,01996,Mike Reid,74.08,683,922
12,0,01633,Tom Kite,74.04,890,1202
13,0,01133,Billy Ray Brown,73.92,859,1162
14,0,01725,John Mahaffey,73.47,986,1342
15,0,02010,Loren Roberts,73.24,1144,1562
16,0,01168,David Canipe,73.06,857,1173
17,0,01435,Wayne Grady,72.61,843,1161
18,0,01320,Bob Estes,72.45,939,1296
19,0,01381,Fred Funk,72.38,836,1155
20,0,01797,Rocco Mediate,72.33,860,1189
21,0,02267,D.A. Weibring,72.30,663,917
22,0,06132,Sonny Skinner,72.17,752,1042
23,0,01049,Ian Baker-Finch,72.13,818,1134
23,0,01701,Bob Lohr,72.13,968,1342
25,0,02100,Tim Simpson,71.77,938,1307
26,0,01690,Bruce Lietzke,71.43,610,854
27,0,01569,Peter Jacobsen,71.37,805,1128
28,0,02180,Harry Taylor,70.90,570,804
29,0,01835,Tommy Moore,70.80,868,1226
29,0,01946,Peter Persons,70.80,987,1394
31,0,01971,Dillard Pruitt,70.67,776,1098
32,0,01219,John Cook,70.50,937,1329
33,0,01072,Chip Beck,70.31,855,1216
34,0,01157,Tom Byrum,70.29,880,1252
34,0,01945,Kenny Perry,70.29,724,1030
36,0,02049,Gene Sauers,70.21,952,1356
37,0,01346,Ed Fiori,69.68,1048,1504
38,0,02230,Stan Utley,69.62,1029,1478
39,0,02133,Craig Stadler,69.59,643,924
40,0,01196,Brian Claar,69.47,817,1176
41,0,02242,Lanny Wadkins,69.46,796,1146
42,0,01510,Nolan Henke,69.41,851,1226
43,0,02322,Richard Zokol,69.40,644,928
44,0,01682,Wayne Levi,69.12,714,1033
45,0,01154,Bill Buttner,69.03,838,1214
46,0,01266,Clark Dennis,68.95,826,1198
47,0,01042,Paul Azinger,68.93,945,1371
48,0,01599,Steve Jones,68.83,731,1062
49,0,01968,Nick Price,68.66,942,1372
50,0,01837,Gil Morgan,68.60,815,1188
51,0,01507,Webb Heintzelman,68.35,905,1324
52,0,02111,Mike Smith,68.30,866,1268
53,0,01960,Don Pooley,68.23,713,1045
54,0,01385,Jim Gallagher Jr.,68.14,1093,1604
55,0,01766,Billy Mayfair,68.11,1036,1521
56,0,01876,Greg Norman,68.10,572,840
57,0,06144,John Dowdall,68.06,520,764
58,0,01388,Robert Gamez,67.93,750,1104
59,0,06118,Greg Bruckner,67.91,840,1237
60,0,01132,Mark Brooks,67.85,1070,1577
61,0,02225,Howard Twitty,67.70,895,1322
62,0,02170,Hal Sutton,67.62,852,1260
63,0,02099,Scott Simpson,67.61,595,880
64,0,02214,Kirk Triplett,67.57,727,1076
65,0,01458,Jerry Haas,67.50,835,1237
