RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES
1,0,02104,Jeff Sluman,.83,3,360
2,0,01346,Ed Fiori,.93,1,108
2,0,21007,Gabriel Hjertstedt,.93,2,216
4,0,06124,Patrick Burke,1.01,2,198
5,0,01306,David Edwards,1.11,2,180
5,0,07547,Craig Kanada,1.11,1,90
7,0,01093,Ronnie Black,1.19,3,252
8,0,06132,Sonny Skinner,1.23,2,162
9,0,02135,Mike Standly,1.28,3,234
10,0,01487,Jeff Hart,1.39,3,216
10,0,01748,Doug Martin,1.39,5,360
10,0,01960,Don Pooley,1.39,4,288
10,0,02010,Loren Roberts,1.39,4,288
14,0,10505,Shane Bertsch,1.52,3,198
15,0,01096,Phil Blackmar,1.54,5,324
15,0,12645,Brent Geiberger,1.54,5,324
17,0,02100,Tim Simpson,1.59,2,126
18,0,12826,Paul Claxton,1.67,3,180
18,0,02101,Joey Sindelar,1.67,6,360
20,0,01353,Bruce Fleisher,1.71,4,234
21,0,01887,Mark O'Meara,1.74,5,288
22,0,01577,Lee Janzen,1.77,7,396
23,0,01331,Rick Fehr,1.85,4,216
23,0,06332,Neal Lancaster,1.85,6,324
23,0,01943,Chris Perry,1.85,7,378
23,0,10213,Dicky Pride,1.85,2,108
23,0,20158,Anthony Rodriguez,1.85,2,108
23,0,02095,Larry Silveira,1.85,2,108
23,0,06527,Steve Stricker,1.85,3,162
23,0,02294,Willie Wood,1.85,5,270
31,0,09011,David Duval,1.94,7,360
32,0,01035,Tommy Armour III,1.96,6,306
32,0,01098,Jay Don Blake,1.96,6,306
34,0,12387,Michael Christie,1.98,5,252
35,0,01196,Brian Claar,2.02,4,198
35,0,01771,Blaine McCallister,2.02,4,198
35,0,02267,D.A. Weibring,2.02,4,198
38,0,01707,Steve Lowery,2.05,7,342
39,0,01249,John Daly,2.08,3,144
39,0,06595,Kevin Sutherland,2.08,6,288
41,0,10809,Jim Furyk,2.12,8,378
42,0,01011,Rafael Alarcon,2.14,5,234
42,0,01132,Mark Brooks,2.14,5,234
42,0,10457,Frank Nobilo,2.14,5,234
42,0,02133,Craig Stadler,2.14,5,234
46,0,20229,Stewart Cink,2.16,7,324
46,0,08537,J.P. Hayes,2.16,7,324
46,0,01569,Peter Jacobsen,2.16,7,324
49,0,01320,Bob Estes,2.22,6,270
49,0,01361,Dan Forsman,2.22,6,270
49,0,01378,David Frost,2.22,4,180
49,0,05466,Jack O'Keefe,2.22,4,180
49,0,12660,Jesper Parnevik,2.22,6,270
49,0,02007,Larry Rinker,2.22,6,270
49,0,06577,John Wilson,2.22,6,270
56,0,07749,Brett Quigley,2.27,9,396
57,0,06315,Pete Jordan,2.29,7,306
57,0,02206,David Toms,2.29,7,306
59,0,08265,Eric Johnson,2.31,5,216
60,0,01116,Michael Bradley,2.38,6,252
60,0,01261,Jay Delsing,2.38,6,252
60,0,07267,Allen Doyle,2.38,6,252
60,0,01533,P.H. Horgan III,2.38,6,252
60,0,01926,Steve Pate,2.38,6,252
65,0,06012,Greg Kraft,2.43,7,288
65,0,07235,John Morse,2.43,7,288
67,0,10875,Todd Demsey,2.47,4,162
67,0,01724,Jeff Maggert,2.47,8,324
69,0,06044,Scott Gump,2.50,9,360
69,0,01891,David Ogrin,2.50,9,360
71,0,01014,Fulton Allem,2.53,5,198
71,0,01024,Billy Andrade,2.53,10,396
71,0,01133,Billy Ray Brown,2.53,5,198
71,0,06575,Dudley Hart,2.53,5,198
71,0,02131,Mike Springer,2.53,5,198
71,0,02239,Scott Verplank,2.53,5,198
77,0,07003,David Berganio Jr.,2.56,6,234
77,0,06617,Brian Henninger,2.56,6,234
79,0,01329,Brad Faxon,2.59,7,270
79,0,01996,Mike Reid,2.59,7,270
81,0,06613,Tommy Tolles,2.63,9,342
82,0,10860,Justin Leonard,2.65,10,378
83,0,01139,Olin Browne,2.78,9,324
83,0,10837,Kevin Burton,2.78,5,180
83,0,01175,Jim Carter,2.78,10,360
83,0,01185,Brandel Chamblee,2.78,7,252
83,0,19881,Robert Damron,2.78,8,288
83,0,01323,Brad Fabel,2.78,9,324
83,0,10963,Jimmy Green,2.78,5,180
83,0,07465,Hideki Kase,2.78,6,216
83,0,01941,Tom Pernice Jr.,2.78,6,216
83,0,02146,Payne Stewart,2.78,10,360
93,0,01203,Russ Cochran,2.91,11,378
93,0,01723,Andrew Magee,2.91,11,378
95,0,20098,Stuart Appleby,2.94,9,306
96,0,01677,Tom Lehman,2.96,8,270
96,0,08547,John Maginnes,2.96,8,270
96,0,01766,Billy Mayfair,2.96,8,270
96,0,02242,Lanny Wadkins,2.96,8,270
100,0,01006,John Adams,2.99,7,234
100,0,08931,Glen Day,2.99,7,234
100,0,08075,Jerry Kelly,2.99,7,234
100,0,01682,Wayne Levi,2.99,7,234
100,0,06581,David Sutherland,2.99,7,234
105,0,02223,Bob Tway,3.06,11,360
105,0,02245,Grant Waite,3.06,11,360
107,0,01040,Emlyn Aubrey,3.09,5,162
107,0,06621,Joe Durant,3.09,10,324
107,0,01489,Steve Hart,3.09,5,162
107,0,08385,Omar Uresti,3.09,10,324
111,0,01201,Lennie Clements,3.13,9,288
111,0,01457,Jay Haas,3.13,9,288
113,0,01161,Mark Calcavecchia,3.17,12,378
113,0,08339,Spike McRoy,3.17,4,126
113,0,01823,Larry Mize,3.17,8,252
116,0,06643,Paul Goydos,3.22,11,342
117,0,06522,Ernie Els,3.24,7,216
117,0,01408,Kelly Gibson,3.24,14,432
117,0,10962,Bradley Hughes,3.24,7,216
117,0,02115,Taylor Smith,3.24,7,216
121,0,01510,Nolan Henke,3.27,10,306
122,0,01527,Scott Hoch,3.33,12,360
122,0,01920,Craig Parry,3.33,9,270
122,0,02008,Lee Rinker,3.33,9,270
125,0,11032,Frank Lickliter II,3.42,8,234
126,0,07363,Craig Bowden,3.47,5,144
126,0,07087,Hugh Royer III,3.47,5,144
126,0,02225,Howard Twitty,3.47,5,144
126,0,02321,Fuzzy Zoeller,3.47,5,144
130,0,12782,Tim Herron,3.51,12,342
131,0,02159,Curtis Strange,3.54,7,198
131,0,02166,Chip Sullivan,3.54,7,198
133,0,10585,Scott McCarron,3.57,9,252
133,0,01905,Joe Ozaki,3.57,9,252
135,0,07101,Dave Stockton Jr.,3.59,11,306
136,0,06034,Marco Dawson,3.70,8,216
136,0,01288,Ed Dougherty,3.70,4,108
136,0,06144,John Dowdall,3.70,4,108
136,0,10207,Jimmy Johnston,3.70,8,216
136,0,01761,Len Mattiace,3.70,12,324
136,0,08375,Paul Stankowski,3.70,14,378
136,0,02218,Ted Tryba,3.70,12,324
143,0,01219,John Cook,3.80,13,342
144,0,01945,Kenny Perry,3.82,11,288
145,0,01374,Robin Freeman,3.85,9,234
146,0,01619,Skip Kendall,3.89,14,360
147,0,02170,Hal Sutton,3.92,12,306
148,0,01313,Steve Elkington,3.97,10,252
148,0,02099,Scott Simpson,3.97,10,252
150,0,01876,Greg Norman,4.04,8,198
151,0,10569,Mike Brisky,4.09,14,342
151,0,01549,Mike Hulbert,4.09,14,342
151,0,01706,Davis Love III,4.09,14,342
154,0,01072,Chip Beck,4.17,3,72
155,0,01157,Tom Byrum,4.23,16,378
156,0,01810,Phil Mickelson,4.25,13,306
157,0,06090,Jim McGovern,4.27,10,234
158,0,01717,Sandy Lyle,4.32,7,162
158,0,01928,Corey Pavin,4.32,7,162
158,0,02292,Bob Wolcott,4.32,7,162
158,0,08793,Tiger Woods,4.32,14,324
162,0,01385,Jim Gallagher Jr.,4.37,11,252
162,0,01599,Steve Jones,4.37,11,252
164,0,01633,Tom Kite,4.44,12,270
164,0,01975,Tom Purtzer,4.44,8,180
166,0,01475,Donnie Hammond,4.63,10,216
166,0,12663,Phil Tataurangi,4.63,10,216
168,0,01388,Robert Gamez,4.70,11,234
168,0,02023,Clarence Rose,4.70,11,234
170,0,06567,Vijay Singh,4.72,17,360
171,0,01968,Nick Price,4.76,12,252
172,0,01381,Fred Funk,4.80,19,396
173,0,01307,Joel Edwards,4.81,13,270
174,0,01326,Nick Faldo,5.00,9,180
174,0,02049,Gene Sauers,5.00,9,180
176,0,01042,Paul Azinger,5.05,10,198
176,0,01334,Keith Fergus,5.05,10,198
176,0,01553,John Huston,5.05,10,198
179,0,02246,Duffy Waldorf,5.25,17,324
180,0,07867,Woody Austin,5.56,8,144
180,0,20099,Doug Barron,5.56,20,360
180,0,01143,Brad Bryant,5.56,15,270
180,0,01418,Bill Glasson,5.56,15,270
180,0,01797,Rocco Mediate,5.56,16,288
180,0,01864,Larry Nelson,5.56,9,162
180,0,08553,Lee Porter,5.56,8,144
180,0,02214,Kirk Triplett,5.56,17,306
188,0,02226,Tray Tyner,6.17,10,162
189,0,06036,Scott Dunlap,6.35,16,252
189,0,02279,Mark Wiebe,6.35,16,252
191,0,06515,Shaun Micheel,6.67,6,90
191,0,02256,Tom Watson,6.67,12,180
193,0,06214,Guy Boros,7.07,14,198
194,0,01226,Fred Couples,7.41,16,216
195,0,01444,Ken Green,8.73,11,126
