RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,01943,Chris Perry,468
2,0,01381,Fred Funk,425
3,0,11032,Frank Lickliter II,403
4,0,01619,Skip Kendall,402
5,0,20094,Jonathan Kaye,386
6,0,02206,David Toms,385
7,0,19881,Robert Damron,381
8,0,02218,Ted Tryba,379
9,0,20593,Greg Chalmers,376
9,0,08075,Jerry Kelly,376
11,0,01320,Bob Estes,370
12,0,01927,Dennis Paulson,368
13,0,06567,Vijay Singh,367
14,0,10860,Justin Leonard,364
15,0,02104,Jeff Sluman,358
16,0,10423,Mike Weir,355
17,0,07867,Woody Austin,354
17,0,12645,Brent Geiberger,354
19,0,08385,Omar Uresti,351
20,0,01132,Mark Brooks,350
21,0,01527,Scott Hoch,347
22,0,06617,Brian Henninger,346
22,0,08993,Franklin Langham,346
24,0,20029,Notah Begay III,345
24,0,07457,Steve Flesch,345
26,0,01376,Bob Friend,342
26,0,01549,Mike Hulbert,342
26,0,10585,Scott McCarron,342
29,0,21007,Gabriel Hjertstedt,338
30,0,01161,Mark Calcavecchia,336
31,0,01035,Tommy Armour III,333
31,0,02170,Hal Sutton,333
33,0,01707,Steve Lowery,329
34,0,02010,Loren Roberts,324
35,0,20229,Stewart Cink,323
35,0,12782,Tim Herron,323
35,0,06078,Esteban Toledo,323
35,0,08793,Tiger Woods,323
39,0,08931,Glen Day,322
39,0,06062,Charles Raulerson,322
39,0,06595,Kevin Sutherland,322
42,0,10962,Bradley Hughes,321
43,0,08547,John Maginnes,320
44,0,06643,Paul Goydos,317
44,0,10649,Tom Scherrer,317
44,0,02245,Grant Waite,317
47,0,01926,Steve Pate,316
48,0,01098,Jay Don Blake,315
48,0,06251,Chris DiMarco,315
48,0,01533,P.H. Horgan III,315
51,0,06012,Greg Kraft,314
52,0,21805,Harrison Frazar,313
53,0,01748,Doug Martin,311
54,0,20098,Stuart Appleby,310
54,0,10809,Jim Furyk,310
56,0,01361,Dan Forsman,309
56,0,21949,Joe Ogilvie,309
56,0,02223,Bob Tway,309
59,0,01175,Jim Carter,308
60,0,02246,Duffy Waldorf,307
61,0,01063,Ben Bates,306
62,0,01191,Barry Cheesman,305
62,0,02214,Kirk Triplett,305
64,0,01685,J.L. Lewis,304
65,0,20099,Doug Barron,303
65,0,01810,Phil Mickelson,303
67,0,06044,Scott Gump,301
68,0,08537,J.P. Hayes,300
69,0,09011,David Duval,297
69,0,11011,Mike Sposa,297
71,0,01282,Trevor Dodds,296
71,0,06332,Neal Lancaster,296
71,0,01724,Jeff Maggert,296
74,0,02008,Lee Rinker,295
75,0,01096,Phil Blackmar,294
75,0,06014,Eric Booker,294
75,0,01323,Brad Fabel,294
78,0,01577,Lee Janzen,293
79,0,01706,Davis Love III,291
