RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,06567,Vijay Singh,17
2,0,20094,Jonathan Kaye,15
2,0,02206,David Toms,15
4,0,21805,Harrison Frazar,14
4,0,01943,Chris Perry,14
4,0,02218,Ted Tryba,14
7,0,19824,Craig Barlow,13
8,0,21949,Joe Ogilvie,12
8,0,01927,Dennis Paulson,12
10,0,01707,Steve Lowery,11
10,0,02245,Grant Waite,11
12,0,20098,Stuart Appleby,10
12,0,20029,Notah Begay III,10
12,0,06251,Chris DiMarco,10
12,0,12823,Carlos Franco,10
12,0,06575,Dudley Hart,10
12,0,01619,Skip Kendall,10
12,0,01685,J.L. Lewis,10
12,0,11032,Frank Lickliter II,10
12,0,01941,Tom Pernice Jr.,10
12,0,06062,Charles Raulerson,10
12,0,02106,Chris Smith,10
23,0,01175,Jim Carter,9
23,0,20593,Greg Chalmers,9
23,0,01282,Trevor Dodds,9
23,0,06643,Paul Goydos,9
23,0,21007,Gabriel Hjertstedt,9
23,0,01569,Peter Jacobsen,9
23,0,01723,Andrew Magee,9
23,0,01797,Rocco Mediate,9
23,0,01810,Phil Mickelson,9
23,0,02239,Scott Verplank,9
23,0,02246,Duffy Waldorf,9
23,0,10423,Mike Weir,9
23,0,08793,Tiger Woods,9
36,0,01035,Tommy Armour III,8
36,0,12652,Cameron Beckman,8
36,0,01116,Michael Bradley,8
36,0,01249,John Daly,8
36,0,01266,Clark Dennis,8
36,0,09011,David Duval,8
36,0,06599,John Elliott,8
36,0,01381,Fred Funk,8
36,0,01385,Jim Gallagher Jr.,8
36,0,01527,Scott Hoch,8
36,0,01533,P.H. Horgan III,8
36,0,08075,Jerry Kelly,8
36,0,06332,Neal Lancaster,8
36,0,01945,Kenny Perry,8
36,0,23621,Rory Sabbatini,8
36,0,02214,Kirk Triplett,8
36,0,23349,Charles Warren,8
36,0,07753,Kevin Wentworth,8
54,0,06014,Eric Booker,7
54,0,06809,Bob Burns,7
54,0,01226,Fred Couples,7
54,0,19881,Robert Damron,7
54,0,06036,Scott Dunlap,7
54,0,08537,J.P. Hayes,7
54,0,12782,Tim Herron,7
54,0,01577,Lee Janzen,7
54,0,02104,Jeff Sluman,7
54,0,11011,Mike Sposa,7
54,0,08375,Paul Stankowski,7
54,0,06595,Kevin Sutherland,7
66,0,20099,Doug Barron,6
66,0,01096,Phil Blackmar,6
66,0,01098,Jay Don Blake,6
66,0,01132,Mark Brooks,6
66,0,01191,Barry Cheesman,6
66,0,20229,Stewart Cink,6
66,0,11123,Chris Couch,6
66,0,06522,Ernie Els,6
66,0,01376,Bob Friend,6
66,0,01378,David Frost,6
66,0,10809,Jim Furyk,6
66,0,12645,Brent Geiberger,6
66,0,01553,John Huston,6
66,0,06315,Pete Jordan,6
66,0,01677,Tom Lehman,6
66,0,01724,Jeff Maggert,6
66,0,01761,Len Mattiace,6
66,0,01766,Billy Mayfair,6
66,0,01771,Blaine McCallister,6
66,0,01823,Larry Mize,6
66,0,01926,Steve Pate,6
66,0,20127,Chris Riley,6
66,0,02007,Larry Rinker,6
66,0,07101,Dave Stockton Jr.,6
66,0,06527,Steve Stricker,6
66,0,12663,Phil Tataurangi,6
66,0,02223,Bob Tway,6
66,0,08385,Omar Uresti,6
66,0,23623,Bo Van Pelt,6
66,0,02257,Brian Watts,6
66,0,02279,Mark Wiebe,6
97,0,10885,Robert Allenby,5
97,0,01042,Paul Azinger,5
97,0,08123,Jeff Brehaut,5
97,0,10569,Mike Brisky,5
97,0,01139,Olin Browne,5
97,0,01185,Brandel Chamblee,5
97,0,01374,Robin Freeman,5
97,0,10963,Jimmy Green,5
97,0,10962,Bradley Hughes,5
97,0,10585,Scott McCarron,5
97,0,20213,Katsumasa Miyamoto,5
97,0,10457,Frank Nobilo,5
97,0,06581,David Sutherland,5
97,0,02170,Hal Sutton,5
111,0,06004,Stephen Ames,4
111,0,07867,Woody Austin,4
111,0,23614,Rich Beem,4
111,0,08931,Glen Day,4
111,0,07763,Doug Dunakey,4
111,0,01313,Steve Elkington,4
111,0,01320,Bob Estes,4
111,0,01323,Brad Fabel,4
111,0,01331,Rick Fehr,4
111,0,07457,Steve Flesch,4
111,0,01361,Dan Forsman,4
111,0,01418,Bill Glasson,4
111,0,06617,Brian Henninger,4
111,0,10860,Justin Leonard,4
111,0,08547,John Maginnes,4
111,0,06140,Sean Murphy,4
111,0,12660,Jesper Parnevik,4
111,0,01968,Nick Price,4
111,0,21959,Ted Purdy,4
111,0,01996,Mike Reid,4
111,0,02008,Lee Rinker,4
111,0,10649,Tom Scherrer,4
111,0,02101,Joey Sindelar,4
111,0,02131,Mike Springer,4
111,0,02133,Craig Stadler,4
111,0,06613,Tommy Tolles,4
137,0,01014,Fulton Allem,3
137,0,01024,Billy Andrade,3
137,0,07781,Ty Armstrong,3
137,0,20498,Briny Baird,3
137,0,01072,Chip Beck,3
137,0,01093,Ronnie Black,3
137,0,01157,Tom Byrum,3
137,0,01203,Russ Cochran,3
137,0,01261,Jay Delsing,3
137,0,01329,Brad Faxon,3
137,0,01388,Robert Gamez,3
137,0,19846,Brian Gay,3
137,0,06044,Scott Gump,3
137,0,01510,Nolan Henke,3
137,0,01549,Mike Hulbert,3
137,0,01604,Steve Jurgensen,3
137,0,01706,Davis Love III,3
137,0,08045,Perry Moss,3
137,0,01891,David Ogrin,3
137,0,10107,Deane Pappas,3
137,0,08553,Lee Porter,3
137,0,10213,Dicky Pride,3
137,0,01975,Tom Purtzer,3
137,0,07749,Brett Quigley,3
137,0,02023,Clarence Rose,3
137,0,22292,David Seawell,3
137,0,02146,Payne Stewart,3
137,0,02242,Lanny Wadkins,3
137,0,02321,Fuzzy Zoeller,3
166,0,01040,Emlyn Aubrey,2
166,0,01063,Ben Bates,2
166,0,01127,Danny Briggs,2
166,0,01161,Mark Calcavecchia,2
166,0,06621,Joe Durant,2
166,0,06064,Jeff Gallagher,2
166,0,01457,Jay Haas,2
166,0,10733,Kent Jones,2
166,0,01599,Steve Jones,2
166,0,01633,Tom Kite,2
166,0,06012,Greg Kraft,2
166,0,08993,Franklin Langham,2
166,0,01705,Tim Loustalot,2
166,0,01887,Mark O'Meara,2
166,0,01905,Joe Ozaki,2
166,0,01928,Corey Pavin,2
166,0,02010,Loren Roberts,2
166,0,06078,Esteban Toledo,2
166,0,02294,Willie Wood,2
185,0,01219,John Cook,1
185,0,01748,Doug Martin,1
185,0,01920,Craig Parry,1
185,0,02099,Scott Simpson,1
185,0,02267,D.A. Weibring,1
185,0,10425,Jay Williamson,1
191,0,20124,Alan Bratton,0
