RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,06004,Stephen Ames,4
1,0,01249,John Daly,4
1,0,09011,David Duval,4
1,0,01374,Robin Freeman,4
1,0,06064,Jeff Gallagher,4
1,0,21007,Gabriel Hjertstedt,4
1,0,06012,Greg Kraft,4
1,0,11032,Frank Lickliter II,4
1,0,01748,Doug Martin,4
1,0,12660,Jesper Parnevik,4
1,0,01920,Craig Parry,4
1,0,06567,Vijay Singh,4
1,0,07101,Dave Stockton Jr.,4
14,0,10885,Robert Allenby,3
14,0,07781,Ty Armstrong,3
14,0,01040,Emlyn Aubrey,3
14,0,07867,Woody Austin,3
14,0,20498,Briny Baird,3
14,0,19824,Craig Barlow,3
14,0,20099,Doug Barron,3
14,0,01072,Chip Beck,3
14,0,12652,Cameron Beckman,3
14,0,20029,Notah Begay III,3
14,0,01096,Phil Blackmar,3
14,0,06014,Eric Booker,3
14,0,01127,Danny Briggs,3
14,0,10569,Mike Brisky,3
14,0,06809,Bob Burns,3
14,0,20593,Greg Chalmers,3
14,0,01185,Brandel Chamblee,3
14,0,01219,John Cook,3
14,0,01261,Jay Delsing,3
14,0,06251,Chris DiMarco,3
14,0,01282,Trevor Dodds,3
14,0,01302,R.W. Eaks,3
14,0,01306,David Edwards,3
14,0,01320,Bob Estes,3
14,0,01323,Brad Fabel,3
14,0,07457,Steve Flesch,3
14,0,01361,Dan Forsman,3
14,0,12823,Carlos Franco,3
14,0,01376,Bob Friend,3
14,0,10809,Jim Furyk,3
14,0,01385,Jim Gallagher Jr.,3
14,0,01408,Kelly Gibson,3
14,0,10963,Jimmy Green,3
14,0,20378,Mathias Grönberg,3
14,0,06044,Scott Gump,3
14,0,01457,Jay Haas,3
14,0,20766,Padraig Harrington,3
14,0,06575,Dudley Hart,3
14,0,08537,J.P. Hayes,3
14,0,06617,Brian Henninger,3
14,0,12782,Tim Herron,3
14,0,01527,Scott Hoch,3
14,0,01533,P.H. Horgan III,3
14,0,20608,David Howell,3
14,0,10962,Bradley Hughes,3
14,0,01553,John Huston,3
14,0,01569,Peter Jacobsen,3
14,0,01577,Lee Janzen,3
14,0,06573,Brandt Jobe,3
14,0,10733,Kent Jones,3
14,0,01604,Steve Jurgensen,3
14,0,20094,Jonathan Kaye,3
14,0,08075,Jerry Kelly,3
14,0,01619,Skip Kendall,3
14,0,01633,Tom Kite,3
14,0,06332,Neal Lancaster,3
14,0,08993,Franklin Langham,3
14,0,10565,Ian Leggatt,3
14,0,01705,Tim Loustalot,3
14,0,01724,Jeff Maggert,3
14,0,08547,John Maginnes,3
14,0,10904,Mike Malizia,3
14,0,12680,Shigeki Maruyama,3
14,0,01755,Dick Mast,3
14,0,01761,Len Mattiace,3
14,0,01797,Rocco Mediate,3
14,0,08635,Colin Montgomerie,3
14,0,01876,Greg Norman,3
14,0,01891,David Ogrin,3
14,0,06373,José María Olazábal,3
14,0,01945,Kenny Perry,3
14,0,01968,Nick Price,3
14,0,20127,Chris Riley,3
14,0,02008,Lee Rinker,3
14,0,02010,Loren Roberts,3
14,0,02023,Clarence Rose,3
14,0,02101,Joey Sindelar,3
14,0,06655,Geoffrey Sisk,3
14,0,02106,Chris Smith,3
14,0,11011,Mike Sposa,3
14,0,02131,Mike Springer,3
14,0,08375,Paul Stankowski,3
14,0,02146,Payne Stewart,3
14,0,02167,Mike Sullivan,3
14,0,06581,David Sutherland,3
14,0,06613,Tommy Tolles,3
14,0,02214,Kirk Triplett,3
14,0,02218,Ted Tryba,3
14,0,02223,Bob Tway,3
14,0,08385,Omar Uresti,3
14,0,06431,Jean Van de Velde,3
14,0,02241,Bobby Wadkins,3
14,0,02246,Duffy Waldorf,3
14,0,23349,Charles Warren,3
14,0,10423,Mike Weir,3
14,0,07753,Kevin Wentworth,3
110,0,21633,Steve Allan,2
110,0,01014,Fulton Allem,2
110,0,01024,Billy Andrade,2
110,0,20098,Stuart Appleby,2
110,0,01035,Tommy Armour III,2
110,0,01042,Paul Azinger,2
110,0,01063,Ben Bates,2
110,0,01068,Andy Bean,2
110,0,23614,Rich Beem,2
110,0,01093,Ronnie Black,2
110,0,01098,Jay Don Blake,2
110,0,01116,Michael Bradley,2
110,0,20124,Alan Bratton,2
110,0,08123,Jeff Brehaut,2
110,0,06220,Jaxon Brigman,2
110,0,01132,Mark Brooks,2
110,0,01133,Billy Ray Brown,2
110,0,01139,Olin Browne,2
110,0,01143,Brad Bryant,2
110,0,01149,Michael Burke Jr.,2
110,0,01157,Tom Byrum,2
110,0,01161,Mark Calcavecchia,2
110,0,12510,Chad Campbell,2
110,0,07569,Mark Carnevale,2
110,0,01175,Jim Carter,2
110,0,01191,Barry Cheesman,2
110,0,21848,Lewis Chitengwa,2
110,0,24357,K.J. Choi,2
110,0,20229,Stewart Cink,2
110,0,01196,Brian Claar,2
110,0,01203,Russ Cochran,2
110,0,19905,Andrew Coltart,2
110,0,10195,Tim Conley,2
110,0,11123,Chris Couch,2
110,0,01226,Fred Couples,2
110,0,01235,Ben Crenshaw,2
110,0,19881,Robert Damron,2
110,0,08931,Glen Day,2
110,0,01266,Clark Dennis,2
110,0,20104,Ken Duke,2
110,0,07763,Doug Dunakey,2
110,0,06036,Scott Dunlap,2
110,0,06621,Joe Durant,2
110,0,23125,Brad Elder,2
110,0,01313,Steve Elkington,2
110,0,06599,John Elliott,2
110,0,06522,Ernie Els,2
110,0,01329,Brad Faxon,2
110,0,01331,Rick Fehr,2
110,0,01334,Keith Fergus,2
110,0,01378,David Frost,2
110,0,06269,Rich Fulkerson,2
110,0,01381,Fred Funk,2
110,0,01388,Robert Gamez,2
110,0,21209,Sergio Garcia,2
110,0,19846,Brian Gay,2
110,0,12645,Brent Geiberger,2
110,0,01418,Bill Glasson,2
110,0,22892,Jason Gore,2
110,0,23338,David Gossett,2
110,0,06643,Paul Goydos,2
110,0,01435,Wayne Grady,2
110,0,01468,Gary Hallberg,2
110,0,01475,Donnie Hammond,2
110,0,01510,Nolan Henke,2
110,0,12716,Charley Hoffman,2
110,0,01549,Mike Hulbert,2
110,0,21547,Jeff Hull,2
110,0,21350,Ryuji Imada,2
110,0,01572,Mark James,2
110,0,19958,Miguel Angel Jiménez,2
110,0,08633,Per-Ulrik Johansson,2
110,0,01599,Steve Jones,2
110,0,06315,Pete Jordan,2
110,0,23685,Ian Kennedy,2
110,0,01639,Kenny Knox,2
110,0,23552,Hank Kuehne,2
110,0,01666,Bernhard Langer,2
110,0,01677,Tom Lehman,2
110,0,10860,Justin Leonard,2
110,0,01682,Wayne Levi,2
110,0,01685,J.L. Lewis,2
110,0,01690,Bruce Lietzke,2
110,0,01706,Davis Love III,2
110,0,01707,Steve Lowery,2
110,0,01717,Sandy Lyle,2
110,0,01723,Andrew Magee,2
110,0,23516,Wes Martin,2
110,0,22961,David Mathis,2
110,0,06350,Bob May,2
110,0,01771,Blaine McCallister,2
110,0,10585,Scott McCarron,2
110,0,06090,Jim McGovern,2
110,0,08339,Spike McRoy,2
110,0,01810,Phil Mickelson,2
110,0,20213,Katsumasa Miyamoto,2
110,0,01823,Larry Mize,2
110,0,12753,David Morland IV,2
110,0,08045,Perry Moss,2
110,0,06140,Sean Murphy,2
110,0,10457,Frank Nobilo,2
110,0,01887,Mark O'Meara,2
