RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
1,0,01219,John Cook,11.31,995,88
2,0,01975,Tom Purtzer,11.20,627,56
3,0,01408,Kelly Gibson,11.09,909,82
4,0,06044,Scott Gump,11.04,1159,105
5,0,20445,Casey Martin,10.97,965,88
6,0,08545,Glen Hnatiuk,10.94,985,90
7,0,06573,Brandt Jobe,10.91,960,88
8,0,08045,Perry Moss,10.89,577,53
9,0,20574,Mathew Goggin,10.88,990,91
9,0,02246,Duffy Waldorf,10.88,816,75
11,0,01510,Nolan Henke,10.84,856,79
12,0,01943,Chris Perry,10.81,1135,105
13,0,01766,Billy Mayfair,10.80,950,88
14,0,07363,Craig Bowden,10.74,580,54
14,0,10962,Bradley Hughes,10.74,967,90
16,0,02101,Joey Sindelar,10.71,900,84
17,0,20099,Doug Barron,10.68,876,82
17,0,23614,Rich Beem,10.68,865,81
19,0,06621,Joe Durant,10.66,1002,94
19,0,01307,Joel Edwards,10.66,1055,99
21,0,01685,J.L. Lewis,10.65,1086,102
22,0,10213,Dicky Pride,10.64,1000,94
23,0,01035,Tommy Armour III,10.61,944,89
24,0,01014,Fulton Allem,10.60,795,75
24,0,01771,Blaine McCallister,10.60,1102,104
26,0,01093,Ronnie Black,10.58,836,79
27,0,01063,Ben Bates,10.56,1098,104
28,0,01261,Jay Delsing,10.55,981,93
29,0,01549,Mike Hulbert,10.53,842,80
29,0,02223,Bob Tway,10.53,937,89
31,0,02279,Mark Wiebe,10.52,968,92
32,0,24356,Jason Buha,10.51,862,82
32,0,01533,P.H. Horgan III,10.51,683,65
32,0,08535,Gary Nicklaus,10.51,862,82
32,0,02257,Brian Watts,10.51,925,88
36,0,24357,K.J. Choi,10.49,934,89
37,0,01191,Barry Cheesman,10.48,975,93
38,0,01142,Bart Bryant,10.47,764,73
39,0,01388,Robert Gamez,10.46,795,76
39,0,10457,Frank Nobilo,10.46,994,95
41,0,06014,Eric Booker,10.45,888,85
41,0,01139,Olin Browne,10.45,1035,99
43,0,01996,Mike Reid,10.44,752,72
43,0,06595,Kevin Sutherland,10.44,981,94
45,0,10963,Jimmy Green,10.43,866,83
45,0,01527,Scott Hoch,10.43,1085,104
45,0,07101,Dave Stockton Jr.,10.43,907,87
