RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,08793,Tiger Woods,34.39,2614,76
2,0,01706,Davis Love III,34.61,2596,75
3,0,02239,Scott Verplank,34.65,3361,97
4,0,06567,Vijay Singh,34.66,3189,92
5,0,01042,Paul Azinger,34.68,2740,79
6,0,21961,Charles Howell III,34.74,2953,85
7,0,01320,Bob Estes,34.76,3059,88
8,0,01677,Tom Lehman,34.78,2713,78
9,0,01527,Scott Hoch,34.79,2922,84
10,0,01945,Kenny Perry,34.80,3097,89
10,0,02214,Kirk Triplett,34.80,2888,83
12,0,10809,Jim Furyk,34.82,3064,88
12,0,01810,Phil Mickelson,34.82,2855,82
14,0,06251,Chris DiMarco,34.83,3588,103
15,0,21209,Sergio Garcia,34.88,2093,60
16,0,20098,Stuart Appleby,34.91,3421,98
16,0,19846,Brian Gay,34.91,3910,112
16,0,02206,David Toms,34.91,3351,96
19,0,01666,Bernhard Langer,34.92,2130,61
20,0,20094,Jonathan Kaye,34.93,3912,112
21,0,01457,Jay Haas,34.94,2516,72
22,0,09011,David Duval,34.97,2553,73
22,0,07749,Brett Quigley,34.97,2203,63
24,0,01219,John Cook,34.99,3079,88
25,0,06621,Joe Durant,35.01,2801,80
25,0,02170,Hal Sutton,35.01,3326,95
27,0,01307,Joel Edwards,35.02,3467,99
28,0,06575,Dudley Hart,35.03,2627,75
29,0,01381,Fred Funk,35.04,4100,117
29,0,02294,Willie Wood,35.04,1822,52
31,0,10585,Scott McCarron,35.05,3295,94
31,0,01823,Larry Mize,35.05,2594,74
31,0,06595,Kevin Sutherland,35.05,3435,98
34,0,06004,Stephen Ames,35.08,2947,84
34,0,20593,Greg Chalmers,35.08,3122,89
36,0,20229,Stewart Cink,35.09,3404,97
36,0,01766,Billy Mayfair,35.09,3509,100
36,0,10457,Frank Nobilo,35.09,3123,89
36,0,02104,Jeff Sluman,35.09,3649,104
40,0,11032,Frank Lickliter II,35.10,3580,102
41,0,01161,Mark Calcavecchia,35.11,2774,79
42,0,12652,Cameron Beckman,35.12,3477,99
43,0,01098,Jay Don Blake,35.13,3372,96
44,0,02257,Brian Watts,35.14,1968,56
45,0,01577,Lee Janzen,35.15,3234,92
45,0,12660,Jesper Parnevik,35.15,3199,91
47,0,24357,K.J. Choi,35.16,3235,92
47,0,08075,Jerry Kelly,35.16,3551,101
49,0,07003,David Berganio Jr.,35.18,2568,73
50,0,01797,Rocco Mediate,35.19,2428,69
50,0,01968,Nick Price,35.19,2604,74
52,0,02101,Joey Sindelar,35.20,2323,66
53,0,01139,Olin Browne,35.21,3380,96
53,0,08633,Per-Ulrik Johansson,35.21,2817,80
53,0,10860,Justin Leonard,35.21,3486,99
56,0,20498,Briny Baird,35.22,3628,103
56,0,12645,Brent Geiberger,35.22,2782,79
56,0,10423,Mike Weir,35.22,3029,86
59,0,01203,Russ Cochran,35.23,2572,73
59,0,06527,Steve Stricker,35.23,2290,65
61,0,06332,Neal Lancaster,35.24,3700,105
62,0,02106,Chris Smith,35.25,3419,97
62,0,02218,Ted Tryba,35.25,3737,106
64,0,08931,Glen Day,35.26,2962,84
64,0,01619,Skip Kendall,35.26,3808,108
66,0,01707,Steve Lowery,35.27,3386,96
67,0,11011,Mike Sposa,35.28,3281,93
68,0,21805,Harrison Frazar,35.30,2965,84
68,0,12680,Shigeki Maruyama,35.30,3318,94
68,0,01938,David Peoples,35.30,3283,93
68,0,02223,Bob Tway,35.30,3742,106
72,0,01226,Fred Couples,35.31,2401,68
73,0,19972,José Coceres,35.32,2013,57
73,0,02002,John Riegger,35.32,2967,84
73,0,02099,Scott Simpson,35.32,2578,73
76,0,01920,Craig Parry,35.33,2226,63
77,0,01063,Ben Bates,35.34,1873,53
77,0,08545,Glen Hnatiuk,35.34,3569,101
79,0,10885,Robert Allenby,35.35,3747,106
79,0,01093,Ronnie Black,35.35,1803,51
81,0,10565,Ian Leggatt,35.36,2970,84
82,0,06522,Ernie Els,35.37,2122,60
83,0,01024,Billy Andrade,35.38,2795,79
83,0,07457,Steve Flesch,35.38,3750,106
83,0,10201,Matt Gogel,35.38,2866,81
83,0,12782,Tim Herron,35.38,3220,91
83,0,08339,Spike McRoy,35.38,3220,91
88,0,01378,David Frost,35.39,3079,87
88,0,23353,J.J. Henry,35.39,2973,84
88,0,23621,Rory Sabbatini,35.39,2442,69
91,0,06350,Bob May,35.40,2832,80
92,0,06617,Brian Henninger,35.41,2797,79
