RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,10809,Jim Furyk,92.74,115,124,-0.46
2,0,01797,Rocco Mediate,89.38,101,113,-0.57
3,0,01381,Fred Funk,89.34,176,197,-0.45
4,0,01475,Donnie Hammond,89.11,90,101,-0.40
5,0,01219,John Cook,88.99,97,109,-0.44
6,0,24357,K.J. Choi,88.70,157,177,-0.46
7,0,01361,Dan Forsman,88.51,131,148,-0.41
8,0,20548,Hidemichi Tanaka,88.20,157,178,-0.44
9,0,01320,Bob Estes,88.00,110,125,-0.40
10,0,02206,David Toms,87.89,167,190,-0.58
11,0,06595,Kevin Sutherland,87.16,95,109,-0.41
12,0,01042,Paul Azinger,87.06,74,85,-0.49
12,0,01887,Mark O'Meara,87.06,74,85,-0.41
14,0,02133,Craig Stadler,86.96,80,92,-0.50
15,0,20572,Rod Pampling,86.78,151,174,-0.48
16,0,08793,Tiger Woods,86.67,91,105,-0.53
17,0,06350,Bob May,86.59,142,164,-0.42
18,0,10423,Mike Weir,86.52,122,141,-0.41
19,0,20029,Notah Begay III,86.21,150,174,-0.46
19,0,01968,Nick Price,86.21,75,87,-0.37
21,0,23125,Brad Elder,85.86,85,99,-0.44
22,0,20498,Briny Baird,85.34,163,191,-0.43
23,0,20574,Mathew Goggin,85.27,110,129,-0.36
24,0,20105,Jeff Gove,85.21,144,169,-0.37
25,0,07721,Pat Bates,85.09,137,161,-0.44
26,0,01723,Andrew Magee,85.03,125,147,-0.38
27,0,07003,David Berganio Jr.,85.00,119,140,-0.45
27,0,12510,Chad Campbell,85.00,153,180,-0.53
29,0,01771,Blaine McCallister,84.92,107,126,-0.36
30,0,23353,J.J. Henry,84.88,174,205,-0.43
31,0,20645,John Senden,84.87,129,152,-0.48
32,0,06567,Vijay Singh,84.82,162,191,-0.54
33,0,20095,Carl Paulson,84.81,134,158,-0.47
34,0,01685,J.L. Lewis,84.77,167,197,-0.47
35,0,19846,Brian Gay,84.74,161,190,-0.49
36,0,08339,Spike McRoy,84.69,83,98,-0.37
37,0,02214,Kirk Triplett,84.68,94,111,-0.43
38,0,02239,Scott Verplank,84.56,126,149,-0.47
39,0,07457,Steve Flesch,84.42,130,154,-0.42
40,0,23621,Rory Sabbatini,84.40,92,109,-0.43
41,0,10733,Kent Jones,84.32,156,185,-0.48
42,0,20634,Peter Lonard,84.28,134,159,-0.53
43,0,10201,Matt Gogel,84.21,96,114,-0.41
44,0,22293,Heath Slocum,84.14,122,145,-0.35
45,0,08123,Jeff Brehaut,84.12,143,170,-0.50
46,0,01677,Tom Lehman,84.09,74,88,-0.42
47,0,24361,Pat Perez,84.06,116,138,-0.47
48,0,01948,Tim Petrovic,84.03,121,144,-0.46
49,0,23983,Luke Donald,83.98,152,181,-0.41
50,0,02002,John Riegger,83.93,141,168,-0.45
51,0,21805,Harrison Frazar,83.92,120,143,-0.48
52,0,06373,José María Olazábal,83.91,73,87,-0.58
53,0,01378,David Frost,83.89,125,149,-0.43
