RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,23353,J.J. Henry,64.56,102,158,-0.10
2,0,08725,Tom Gillis,64.29,63,98,-0.06
3,0,23034,Brent Schwarzrock,63.89,46,72,+0.02
4,0,20498,Briny Baird,63.64,84,132,E
5,0,06621,Joe Durant,63.55,68,107,-0.03
6,0,20157,Retief Goosen,61.11,44,72,-0.11
7,0,07749,Brett Quigley,60.87,56,92,-0.07
8,0,10860,Justin Leonard,60.17,71,118,-0.14
9,0,06581,David Sutherland,59.55,53,89,-0.04
10,0,02170,Hal Sutton,59.18,58,98,-0.07
11,0,10423,Mike Weir,58.42,59,101,-0.02
12,0,01139,Olin Browne,58.30,130,223,-0.13
13,0,02246,Duffy Waldorf,57.89,66,114,-0.11
14,0,12510,Chad Campbell,57.63,68,118,-0.07
15,0,20094,Jonathan Kaye,57.50,69,120,-0.10
16,0,02104,Jeff Sluman,56.56,69,122,-0.12
17,0,01945,Kenny Perry,56.41,44,78,-0.20
18,0,01938,David Peoples,56.20,77,137,E
19,0,10425,Jay Williamson,55.74,68,122,-0.10
20,0,22295,Darron Stiles,55.21,53,96,-0.09
21,0,02223,Bob Tway,55.20,69,125,-0.16
22,0,10585,Scott McCarron,55.17,48,87,-0.13
23,0,10809,Jim Furyk,55.07,76,138,-0.13
24,0,06515,Shaun Micheel,55.04,71,129,-0.01
25,0,01666,Bernhard Langer,54.95,61,111,-0.07
26,0,22892,Jason Gore,54.81,57,104,-0.07
27,0,02101,Joey Sindelar,54.79,80,146,-0.11
28,0,01381,Fred Funk,54.77,109,199,-0.16
29,0,08075,Jerry Kelly,54.43,86,158,-0.12
29,0,06567,Vijay Singh,54.43,43,79,-0.07
31,0,01766,Billy Mayfair,54.07,73,135,-0.10
32,0,23036,Chris Anderson,53.97,68,126,-0.12
33,0,07721,Pat Bates,53.93,96,178,-0.08
34,0,20548,Hidemichi Tanaka,53.71,94,175,-0.17
35,0,06004,Stephen Ames,53.60,67,125,-0.21
36,0,12680,Shigeki Maruyama,53.57,75,140,-0.09
37,0,21805,Harrison Frazar,53.09,43,81,E
38,0,01035,Tommy Armour III,53.03,35,66,-0.14
39,0,10213,Dicky Pride,52.94,54,102,-0.20
40,0,01723,Andrew Magee,52.88,55,104,-0.16
41,0,20121,Todd Fischer,52.80,66,125,-0.17
42,0,12823,Carlos Franco,52.67,69,131,-0.14
