RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,01320,Bob Estes,30.00,30,1
2,0,07867,Woody Austin,31.00,31,1
2,0,01157,Tom Byrum,31.00,31,1
2,0,01378,David Frost,31.00,31,1
5,0,20593,Greg Chalmers,32.00,32,1
5,0,20094,Jonathan Kaye,32.00,32,1
5,0,10423,Mike Weir,32.00,32,1
8,0,01024,Billy Andrade,33.00,33,1
8,0,01042,Paul Azinger,33.00,33,1
8,0,01161,Mark Calcavecchia,33.00,33,1
8,0,06575,Dudley Hart,33.00,33,1
8,0,10733,Kent Jones,33.00,33,1
8,0,10107,Deane Pappas,33.00,33,1
8,0,23621,Rory Sabbatini,33.00,33,1
8,0,02101,Joey Sindelar,33.00,33,1
8,0,21878,Mark Wilson,33.00,33,1
17,0,01810,Phil Mickelson,33.50,67,2
18,0,20098,Stuart Appleby,34.00,34,1
18,0,07223,Brian Bateman,34.00,34,1
18,0,08931,Glen Day,34.00,34,1
18,0,01723,Andrew Magee,34.00,68,2
18,0,24361,Pat Perez,34.00,34,1
18,0,10213,Dicky Pride,34.00,34,1
18,0,22548,Patrick Sheehan,34.00,34,1
18,0,08375,Paul Stankowski,34.00,68,2
18,0,12755,Vance Veazey,34.00,34,1
18,0,02246,Duffy Waldorf,34.00,68,2
18,0,12602,Dean Wilson,34.00,34,1
29,0,06251,Chris DiMarco,34.50,69,2
29,0,06621,Joe Durant,34.50,69,2
29,0,12705,Cliff Kresge,34.50,69,2
29,0,01707,Steve Lowery,34.50,69,2
33,0,07721,Pat Bates,35.00,35,1
33,0,01132,Mark Brooks,35.00,35,1
33,0,19825,Darren Clarke,35.00,35,1
33,0,01249,John Daly,35.00,35,1
33,0,23338,David Gossett,35.00,35,1
33,0,26420,Richard Johnson,35.00,35,1
33,0,01685,J.L. Lewis,35.00,35,1
33,0,01724,Jeff Maggert,35.00,35,1
33,0,20572,Rod Pampling,35.00,35,1
33,0,12660,Jesper Parnevik,35.00,35,1
33,0,20127,Chris Riley,35.00,70,2
33,0,02104,Jeff Sluman,35.00,70,2
33,0,06595,Kevin Sutherland,35.00,35,1
33,0,06078,Esteban Toledo,35.00,35,1
33,0,02206,David Toms,35.00,35,1
33,0,02214,Kirk Triplett,35.00,70,2
33,0,02239,Scott Verplank,35.00,70,2
50,0,06004,Stephen Ames,35.50,71,2
50,0,20229,Stewart Cink,35.50,71,2
50,0,20121,Todd Fischer,35.50,71,2
50,0,08075,Jerry Kelly,35.50,71,2
54,0,21739,Aaron Barber,36.00,36,1
54,0,08123,Jeff Brehaut,36.00,72,2
54,0,01329,Brad Faxon,36.00,36,1
54,0,01361,Dan Forsman,36.00,72,2
54,0,10809,Jim Furyk,36.00,36,1
54,0,10201,Matt Gogel,36.00,72,2
54,0,08545,Glen Hnatiuk,36.00,36,1
54,0,20940,Kenichi Kuboya,36.00,36,1
54,0,01677,Tom Lehman,36.00,72,2
54,0,10860,Justin Leonard,36.00,36,1
54,0,11032,Frank Lickliter II,36.00,72,2
54,0,01761,Len Mattiace,36.00,36,1
54,0,10585,Scott McCarron,36.00,72,2
54,0,01938,David Peoples,36.00,36,1
54,0,02002,John Riegger,36.00,36,1
54,0,20645,John Senden,36.00,72,2
54,0,26489,Cameron Yancey,36.00,36,1
71,0,06809,Bob Burns,36.50,73,2
71,0,12510,Chad Campbell,36.50,73,2
71,0,12782,Tim Herron,36.50,73,2
71,0,01619,Skip Kendall,36.50,73,2
75,0,10885,Robert Allenby,37.00,37,1
75,0,20498,Briny Baird,37.00,37,1
75,0,19824,Craig Barlow,37.00,37,1
75,0,12652,Cameron Beckman,37.00,37,1
75,0,01139,Olin Browne,37.00,37,1
75,0,24925,Jonathan Byrd,37.00,37,1
75,0,01226,Fred Couples,37.00,37,1
75,0,06643,Paul Goydos,37.00,37,1
75,0,01457,Jay Haas,37.00,37,1
75,0,21961,Charles Howell III,37.00,37,1
75,0,01706,Davis Love III,37.00,37,1
75,0,08547,John Maginnes,37.00,37,1
75,0,01766,Billy Mayfair,37.00,37,1
75,0,22046,Geoff Ogilvy,37.00,37,1
75,0,01941,Tom Pernice Jr.,37.00,74,2
75,0,02170,Hal Sutton,37.00,37,1
91,0,01948,Tim Petrovic,37.50,75,2
92,0,23614,Rich Beem,38.00,38,1
92,0,20029,Notah Begay III,38.00,38,1
92,0,21805,Harrison Frazar,38.00,38,1
92,0,01388,Robert Gamez,38.00,76,2
92,0,01475,Donnie Hammond,38.00,76,2
92,0,08337,Mike Heinen,38.00,38,1
92,0,08339,Spike McRoy,38.00,76,2
92,0,06515,Shaun Micheel,38.00,38,1
92,0,06581,David Sutherland,38.00,38,1
101,0,01569,Peter Jacobsen,38.50,77,2
102,0,20099,Doug Barron,39.00,39,1
102,0,23541,Ben Crane,39.00,78,2
102,0,01381,Fred Funk,39.00,39,1
105,0,20472,Alex Cejka,40.00,40,1
105,0,07457,Steve Flesch,40.00,40,1
105,0,01928,Corey Pavin,40.00,40,1
105,0,01945,Kenny Perry,40.00,40,1
109,0,01553,John Huston,41.00,41,1
