RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,06251,Chris DiMarco,2.86,183,64
2,0,01361,Dan Forsman,2.88,164,57
3,0,01320,Bob Estes,2.89,104,36
3,0,10201,Matt Gogel,2.89,81,28
5,0,07749,Brett Quigley,2.90,142,49
6,0,21961,Charles Howell III,2.92,146,50
6,0,10860,Justin Leonard,2.92,108,37
6,0,02239,Scott Verplank,2.92,140,48
9,0,01226,Fred Couples,2.93,82,28
9,0,01938,David Peoples,2.93,261,89
11,0,20498,Briny Baird,2.94,262,89
11,0,08337,Mike Heinen,2.94,285,97
11,0,08793,Tiger Woods,2.94,47,16
14,0,22371,Aaron Baddeley,2.95,130,44
14,0,20572,Rod Pampling,2.95,192,65
16,0,12510,Chad Campbell,2.96,142,48
16,0,20229,Stewart Cink,2.96,160,54
16,0,22621,Ben Curtis,2.96,142,48
19,0,08537,J.P. Hayes,2.97,181,61
19,0,01666,Bernhard Langer,2.97,89,30
19,0,08547,John Maginnes,2.97,211,71
19,0,02106,Chris Smith,2.97,202,68
23,0,06621,Joe Durant,2.98,197,66
23,0,23125,Brad Elder,2.98,167,56
23,0,10809,Jim Furyk,2.98,155,52
23,0,06573,Brandt Jobe,2.98,173,58
23,0,20094,Jonathan Kaye,2.98,122,41
23,0,10213,Dicky Pride,2.98,173,58
23,0,20645,John Senden,2.98,274,92
30,0,06004,Stephen Ames,2.99,200,67
30,0,07721,Pat Bates,2.99,317,106
30,0,01098,Jay Don Blake,2.99,218,73
33,0,07867,Woody Austin,3.00,231,77
33,0,01161,Mark Calcavecchia,3.00,204,68
33,0,20623,Gavin Coles,3.00,171,57
33,0,01249,John Daly,3.00,132,44
33,0,19881,Robert Damron,3.00,273,91
33,0,06522,Ernie Els,3.00,51,17
33,0,21209,Sergio Garcia,3.00,48,16
33,0,20157,Retief Goosen,3.00,111,37
33,0,01553,John Huston,3.00,108,36
33,0,20573,Scott Laycock,3.00,144,48
33,0,01706,Davis Love III,3.00,108,36
33,0,01968,Nick Price,3.00,60,20
33,0,02002,John Riegger,3.00,147,49
33,0,20127,Chris Riley,3.00,216,72
33,0,25692,Akio Sadakata,3.00,192,64
33,0,22548,Patrick Sheehan,3.00,243,81
33,0,08375,Paul Stankowski,3.00,132,44
50,0,23541,Ben Crane,3.01,217,72
51,0,24925,Jonathan Byrd,3.02,293,97
51,0,12388,Michael Clark II,3.02,136,45
51,0,01381,Fred Funk,3.02,151,50
51,0,22892,Jason Gore,3.02,305,101
51,0,06575,Dudley Hart,3.02,260,86
51,0,01619,Skip Kendall,3.02,251,83
51,0,06332,Neal Lancaster,3.02,254,84
51,0,10107,Deane Pappas,3.02,184,61
51,0,10912,Craig Perks,3.02,184,61
51,0,01948,Tim Petrovic,3.02,272,90
51,0,06581,David Sutherland,3.02,187,62
62,0,06643,Paul Goydos,3.03,233,77
62,0,20634,Peter Lonard,3.03,121,40
62,0,01797,Rocco Mediate,3.03,115,38
62,0,11011,Mike Sposa,3.03,194,64
62,0,06595,Kevin Sutherland,3.03,182,60
62,0,10423,Mike Weir,3.03,103,34
68,0,01329,Brad Faxon,3.04,158,52
68,0,01378,David Frost,3.04,158,52
68,0,12645,Brent Geiberger,3.04,85,28
68,0,20940,Kenichi Kuboya,3.04,252,83
68,0,01945,Kenny Perry,3.04,79,26
73,0,07223,Brian Bateman,3.05,198,65
73,0,01132,Mark Brooks,3.05,256,84
73,0,01457,Jay Haas,3.05,122,40
73,0,20548,Hidemichi Tanaka,3.05,174,57
73,0,02206,David Toms,3.05,113,37
73,0,02223,Bob Tway,3.05,195,64
73,0,10425,Jay Williamson,3.05,259,85
73,0,20566,Kaname Yokoo,3.05,122,40
81,0,08931,Glen Day,3.06,199,65
81,0,06617,Brian Henninger,3.06,165,54
81,0,01577,Lee Janzen,3.06,150,49
81,0,01723,Andrew Magee,3.06,285,93
81,0,08339,Spike McRoy,3.06,220,72
81,0,06515,Shaun Micheel,3.06,211,69
81,0,02101,Joey Sindelar,3.06,248,81
81,0,06527,Steve Stricker,3.06,196,64
89,0,21633,Steve Allan,3.07,92,30
89,0,20098,Stuart Appleby,3.07,135,44
89,0,20121,Todd Fischer,3.07,307,100
89,0,08725,Tom Gillis,3.07,92,30
89,0,12782,Tim Herron,3.07,230,75
89,0,02010,Loren Roberts,3.07,175,57
95,0,07457,Steve Flesch,3.08,200,65
95,0,21806,Paul Gow,3.08,160,52
95,0,12662,Thomas Levet,3.08,163,53
95,0,10585,Scott McCarron,3.08,151,49
95,0,22293,Heath Slocum,3.08,268,87
95,0,02104,Jeff Sluman,3.08,163,53
95,0,12755,Vance Veazey,3.08,151,49
95,0,12602,Dean Wilson,3.08,185,60
103,0,01139,Olin Browne,3.09,287,93
103,0,24356,Jason Buha,3.09,139,45
103,0,01157,Tom Byrum,3.09,210,68
103,0,01307,Joel Edwards,3.09,102,33
103,0,19846,Brian Gay,3.09,198,64
103,0,20574,Mathew Goggin,3.09,312,101
103,0,11032,Frank Lickliter II,3.09,216,70
103,0,01724,Jeff Maggert,3.09,210,68
111,0,20771,Steven Alker,3.10,245,79
111,0,23983,Luke Donald,3.10,270,87
111,0,01388,Robert Gamez,3.10,251,81
111,0,01475,Donnie Hammond,3.10,273,88
111,0,10565,Ian Leggatt,3.10,127,41
111,0,26950,John Morgan,3.10,192,62
111,0,01928,Corey Pavin,3.10,251,81
111,0,25345,Carl Pettersson,3.10,149,48
111,0,02170,Hal Sutton,3.10,155,50
111,0,20436,Garrett Willis,3.10,220,71
121,0,10885,Robert Allenby,3.11,137,44
121,0,12652,Cameron Beckman,3.11,264,85
121,0,23614,Rich Beem,3.11,140,45
121,0,08123,Jeff Brehaut,3.11,295,95
121,0,23656,Jason Caron,3.11,177,57
121,0,23135,Tim Clark,3.11,177,57
121,0,08545,Glen Hnatiuk,3.11,236,76
121,0,12680,Shigeki Maruyama,3.11,174,56
121,0,01941,Tom Pernice Jr.,3.11,230,74
130,0,01024,Billy Andrade,3.12,278,89
130,0,01175,Jim Carter,3.12,234,75
130,0,23338,David Gossett,3.12,324,104
130,0,08075,Jerry Kelly,3.12,178,57
130,0,01677,Tom Lehman,3.12,128,41
130,0,01810,Phil Mickelson,3.12,131,42
130,0,20663,Brenden Pappas,3.12,312,100
130,0,20095,Carl Paulson,3.12,234,75
130,0,06567,Vijay Singh,3.12,106,34
139,0,20472,Alex Cejka,3.13,191,61
139,0,19825,Darren Clarke,3.13,100,32
139,0,12823,Carlos Franco,3.13,241,77
139,0,23353,J.J. Henry,3.13,319,102
143,0,06034,Marco Dawson,3.14,232,74
143,0,26420,Richard Johnson,3.14,245,78
143,0,12705,Cliff Kresge,3.14,254,81
143,0,01707,Steve Lowery,3.14,204,65
143,0,02049,Gene Sauers,3.14,245,78
143,0,23034,Brent Schwarzrock,3.14,88,28
143,0,24502,Adam Scott,3.14,113,36
143,0,22295,Darron Stiles,3.14,242,77
151,0,23036,Chris Anderson,3.15,246,78
151,0,08633,Per-Ulrik Johansson,3.15,255,81
151,0,22046,Geoff Ogilvy,3.15,230,73
151,0,22913,John Rollins,3.15,164,52
155,0,21739,Aaron Barber,3.16,215,68
155,0,06809,Bob Burns,3.16,218,69
155,0,24357,K.J. Choi,3.16,180,57
155,0,07941,Mike Grob,3.16,275,87
155,0,01685,J.L. Lewis,3.16,142,45
155,0,24361,Pat Perez,3.16,272,86
155,0,07101,Dave Stockton Jr.,3.16,281,89
162,0,01042,Paul Azinger,3.17,168,53
162,0,19972,José Coceres,3.17,76,24
162,0,20628,Arron Oberholser,3.17,244,77
162,0,23177,Kenneth Staton,3.17,206,65
166,0,20099,Doug Barron,3.18,216,68
166,0,20593,Greg Chalmers,3.18,194,61
166,0,10733,Kent Jones,3.18,194,61
169,0,21805,Harrison Frazar,3.19,217,68
169,0,23552,Hank Kuehne,3.19,182,57
169,0,01766,Billy Mayfair,3.19,246,77
169,0,23621,Rory Sabbatini,3.19,236,74
173,0,01761,Len Mattiace,3.20,195,61
173,0,20568,Anthony Painter,3.20,298,93
173,0,12660,Jesper Parnevik,3.20,141,44
173,0,02214,Kirk Triplett,3.20,141,44
173,0,02246,Duffy Waldorf,3.20,147,46
178,0,01035,Tommy Armour III,3.21,154,48
178,0,19824,Craig Barlow,3.21,273,85
178,0,06078,Esteban Toledo,3.21,212,66
181,0,01569,Peter Jacobsen,3.22,174,54
181,0,01887,Mark O'Meara,3.22,174,54
183,0,25031,Andy Miller,3.23,155,48
183,0,26489,Cameron Yancey,3.23,194,60
185,0,12661,Todd Barranger,3.25,263,81
186,0,20029,Notah Begay III,3.26,202,62
186,0,06475,Jeff Klein,3.26,222,68
186,0,21878,Mark Wilson,3.26,215,66
189,0,25450,Ty Tryon,3.27,183,56
190,0,23108,Matt Kuchar,3.30,201,61
