RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,21959,Ted Purdy,-.512
2,0,25237,Kevin Muncrief,-.483
3,0,06567,Vijay Singh,-.480
4,0,21878,Mark Wilson,-.462
5,0,20548,Hidemichi Tanaka,-.453
6,0,06522,Ernie Els,-.448
7,0,02245,Grant Waite,-.442
8,0,01724,Jeff Maggert,-.432
9,0,01685,J.L. Lewis,-.423
10,0,24925,Jonathan Byrd,-.421
11,0,01810,Phil Mickelson,-.420
12,0,24290,D.J. Brigman,-.419
13,0,01261,Jay Delsing,-.417
14,0,19972,José Coceres,-.411
15,0,01928,Corey Pavin,-.408
16,0,22913,John Rollins,-.406
17,0,21805,Harrison Frazar,-.403
18,0,02246,Duffy Waldorf,-.400
19,0,23613,Rich Barcelo,-.395
20,0,10423,Mike Weir,-.392
21,0,01127,Danny Briggs,-.390
22,0,20634,Peter Lonard,-.386
23,0,20104,Ken Duke,-.385
24,0,12782,Tim Herron,-.383
24,0,23325,Vaughn Taylor,-.383
26,0,01142,Bart Bryant,-.379
27,0,21893,Brian Kortan,-.378
28,0,01042,Paul Azinger,-.375
28,0,07223,Brian Bateman,-.375
28,0,01677,Tom Lehman,-.375
31,0,01766,Billy Mayfair,-.372
32,0,26287,Roland Thatcher,-.370
33,0,07363,Craig Bowden,-.367
33,0,11123,Chris Couch,-.367
35,0,01926,Steve Pate,-.365
36,0,01553,John Huston,-.361
37,0,21209,Sergio Garcia,-.356
38,0,06575,Dudley Hart,-.355
39,0,25900,Lucas Glover,-.354
40,0,22371,Aaron Baddeley,-.352
41,0,02010,Loren Roberts,-.347
41,0,02106,Chris Smith,-.347
43,0,08385,Omar Uresti,-.346
44,0,01527,Scott Hoch,-.342
45,0,20628,Arron Oberholser,-.333
45,0,01920,Craig Parry,-.333
45,0,08793,Tiger Woods,-.333
48,0,01577,Lee Janzen,-.328
49,0,22405,Justin Rose,-.325
50,0,06214,Guy Boros,-.324
50,0,24502,Adam Scott,-.324
52,0,20572,Rod Pampling,-.322
53,0,21961,Charles Howell III,-.319
53,0,01771,Blaine McCallister,-.319
53,0,23623,Bo Van Pelt,-.319
56,0,23108,Matt Kuchar,-.316
57,0,20098,Stuart Appleby,-.315
57,0,20645,John Senden,-.315
59,0,20094,Jonathan Kaye,-.313
60,0,12823,Carlos Franco,-.312
61,0,08537,J.P. Hayes,-.311
62,0,07867,Woody Austin,-.310
63,0,12753,David Morland IV,-.308
63,0,23307,Roger Tambellini,-.308
65,0,12660,Jesper Parnevik,-.304
66,0,12652,Cameron Beckman,-.302
66,0,01927,Dennis Paulson,-.302
66,0,02206,David Toms,-.302
69,0,07749,Brett Quigley,-.300
70,0,12394,Tom Carter,-.299
70,0,12602,Dean Wilson,-.299
