RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,01577,Lee Janzen,70.45,44,31
2,0,08337,Mike Heinen,68.75,32,22
3,0,01203,Russ Cochran,68.09,47,32
4,0,06613,Tommy Tolles,63.04,46,29
5,0,26287,Roland Thatcher,62.50,40,25
6,0,10213,Dicky Pride,61.70,47,29
7,0,02239,Scott Verplank,60.66,61,37
8,0,06575,Dudley Hart,60.61,33,20
9,0,21731,Freddie Jacobson,60.00,45,27
10,0,01771,Blaine McCallister,59.32,59,35
10,0,12660,Jesper Parnevik,59.32,59,35
12,0,20382,Stephen Leaney,58.97,39,23
13,0,01381,Fred Funk,58.93,56,33
14,0,20580,Andre Stolz,58.33,24,14
15,0,07223,Brian Bateman,58.14,43,25
15,0,01161,Mark Calcavecchia,58.14,43,25
17,0,02223,Bob Tway,58.00,50,29
18,0,20157,Retief Goosen,57.69,26,15
19,0,06522,Ernie Els,57.58,33,19
20,0,21805,Harrison Frazar,57.41,54,31
21,0,02099,Scott Simpson,56.76,37,21
22,0,20229,Stewart Cink,56.67,60,34
23,0,23353,J.J. Henry,56.60,53,30
24,0,06809,Bob Burns,56.34,71,40
25,0,24357,K.J. Choi,56.25,64,36
25,0,22046,Geoff Ogilvy,56.25,48,27
27,0,12782,Tim Herron,55.77,52,29
28,0,07457,Steve Flesch,55.74,61,34
29,0,19972,José Coceres,55.56,45,25
29,0,01378,David Frost,55.56,45,25
31,0,01941,Tom Pernice Jr.,55.38,65,36
32,0,08793,Tiger Woods,55.32,47,26
33,0,01457,Jay Haas,55.26,38,21
34,0,01042,Paul Azinger,55.17,58,32
35,0,10885,Robert Allenby,54.72,53,29
35,0,01127,Danny Briggs,54.72,53,29
37,0,06332,Neal Lancaster,54.69,64,35
38,0,19846,Brian Gay,54.55,55,30
38,0,01968,Nick Price,54.55,33,18
40,0,19824,Craig Barlow,54.24,59,32
41,0,21407,Arjun Atwal,54.10,61,33
42,0,01157,Tom Byrum,54.00,50,27
43,0,23552,Hank Kuehne,53.85,78,42
44,0,08835,Kris Cox,53.66,41,22
45,0,01927,Dennis Paulson,53.49,43,23
46,0,20127,Chris Riley,53.33,45,24
46,0,06078,Esteban Toledo,53.33,60,32
48,0,11123,Chris Couch,53.13,32,17
49,0,20378,Mathias Grönberg,52.83,53,28
50,0,07363,Craig Bowden,52.73,55,29
51,0,12652,Cameron Beckman,52.63,76,40
51,0,24361,Pat Perez,52.63,57,30
53,0,19881,Robert Damron,52.00,50,26
54,0,12680,Shigeki Maruyama,51.92,52,27
55,0,01219,John Cook,51.72,29,15
55,0,02002,John Riegger,51.72,29,15
57,0,08123,Jeff Brehaut,51.52,66,34
57,0,08075,Jerry Kelly,51.52,66,34
57,0,01666,Bernhard Langer,51.52,33,17
60,0,20029,Notah Begay III,51.16,43,22
61,0,01473,Todd Hamilton,51.11,45,23
62,0,23983,Luke Donald,51.06,47,24
63,0,08385,Omar Uresti,50.94,53,27
64,0,11032,Frank Lickliter II,50.88,57,29
65,0,08931,Glen Day,50.79,63,32
66,0,20663,Brenden Pappas,50.52,97,49
67,0,06197,Michael Allen,50.00,54,27
67,0,20593,Greg Chalmers,50.00,44,22
67,0,01261,Jay Delsing,50.00,42,21
67,0,01313,Steve Elkington,50.00,38,19
67,0,21209,Sergio Garcia,50.00,38,19
67,0,24024,Zach Johnson,50.00,76,38
67,0,01619,Skip Kendall,50.00,44,22
67,0,23108,Matt Kuchar,50.00,52,26
67,0,01810,Phil Mickelson,50.00,38,19
67,0,06373,José María Olazábal,50.00,36,18
67,0,02010,Loren Roberts,50.00,44,22
67,0,02246,Duffy Waldorf,50.00,46,23
79,0,06515,Shaun Micheel,49.30,71,35
80,0,20433,Mark Hensby,49.25,67,33
81,0,01024,Billy Andrade,49.23,65,32
81,0,06251,Chris DiMarco,49.23,65,32
83,0,21961,Charles Howell III,49.18,61,30
84,0,24290,D.J. Brigman,49.15,59,29
85,0,02245,Grant Waite,49.09,55,27
86,0,01761,Len Mattiace,49.06,53,26
87,0,06527,Steve Stricker,48.98,49,24
88,0,01706,Davis Love III,48.89,45,22
89,0,22405,Justin Rose,48.84,43,21
90,0,07939,Dan Olsen,48.78,41,20
91,0,22548,Patrick Sheehan,48.68,76,37
92,0,12510,Chad Campbell,48.33,60,29
93,0,06004,Stephen Ames,48.28,58,28
93,0,07749,Brett Quigley,48.28,58,28
93,0,23497,Tag Ridings,48.28,29,14
96,0,06214,Guy Boros,48.21,56,27
96,0,12760,Danny Ellis,48.21,56,27
98,0,23307,Roger Tambellini,48.00,50,24
99,0,10733,Kent Jones,47.76,67,32
100,0,22913,John Rollins,47.62,63,30
100,0,23621,Rory Sabbatini,47.62,42,20
100,0,02106,Chris Smith,47.62,63,30
103,0,01142,Bart Bryant,47.54,61,29
103,0,20094,Jonathan Kaye,47.54,61,29
105,0,22621,Ben Curtis,47.50,40,19
106,0,24925,Jonathan Byrd,47.27,55,26
107,0,20121,Todd Fischer,47.06,68,32
108,0,02206,David Toms,46.94,49,23
109,0,21959,Ted Purdy,46.91,81,38
110,0,20585,Niclas Fasth,46.88,32,15
111,0,02214,Kirk Triplett,46.77,62,29
112,0,19825,Darren Clarke,46.67,30,14
112,0,23541,Ben Crane,46.67,45,21
112,0,01887,Mark O'Meara,46.67,30,14
112,0,24502,Adam Scott,46.67,30,14
116,0,20572,Rod Pampling,46.55,58,27
117,0,20628,Arron Oberholser,46.51,43,20
118,0,01928,Corey Pavin,46.30,54,25
119,0,08339,Spike McRoy,46.05,76,35
120,0,24781,Hunter Mahan,46.03,63,29
120,0,23623,Bo Van Pelt,46.03,63,29
122,0,06567,Vijay Singh,45.95,74,34
123,0,01707,Steve Lowery,45.90,61,28
124,0,10860,Justin Leonard,45.83,48,22
124,0,25345,Carl Pettersson,45.83,48,22
124,0,02104,Jeff Sluman,45.83,48,22
127,0,01677,Tom Lehman,45.71,35,16
128,0,01249,John Daly,45.65,46,21
129,0,23325,Vaughn Taylor,45.61,57,26
130,0,20645,John Senden,45.59,68,31
131,0,02101,Joey Sindelar,45.45,66,30
132,0,22371,Aaron Baddeley,45.16,62,28
133,0,23614,Rich Beem,45.00,40,18
134,0,01948,Tim Petrovic,44.93,69,31
135,0,01035,Tommy Armour III,44.68,47,21
136,0,21633,Steve Allan,44.59,74,33
137,0,01361,Dan Forsman,44.44,45,20
137,0,08881,Tripp Isenhour,44.44,36,16
137,0,10585,Scott McCarron,44.44,45,20
137,0,21949,Joe Ogilvie,44.44,63,28
141,0,20850,Daniel Chopra,44.29,70,31
142,0,20104,Ken Duke,44.26,61,27
143,0,01945,Kenny Perry,44.19,43,19
143,0,10423,Mike Weir,44.19,43,19
145,0,12682,Hirofumi Miyase,43.90,41,18
146,0,07867,Woody Austin,43.75,64,28
146,0,01388,Robert Gamez,43.75,64,28
148,0,23320,Ryan Palmer,43.59,78,34
149,0,01938,David Peoples,43.33,60,26
150,0,01527,Scott Hoch,43.24,37,16
151,0,08537,J.P. Hayes,43.18,44,19
152,0,25396,Kevin Na,43.06,72,31
153,0,01766,Billy Mayfair,43.04,79,34
154,0,12823,Carlos Franco,43.02,86,37
155,0,26420,Richard Johnson,42.86,56,24
156,0,12753,David Morland IV,42.55,47,20
157,0,20548,Hidemichi Tanaka,42.50,40,17
158,0,12602,Dean Wilson,42.37,59,25
159,0,25237,Kevin Muncrief,41.86,43,18
160,0,12394,Tom Carter,41.82,55,23
161,0,07721,Pat Bates,41.46,82,34
162,0,10425,Jay Williamson,41.03,78,32
163,0,20472,Alex Cejka,40.82,49,20
163,0,25686,Jason Dufner,40.82,49,20
163,0,20634,Peter Lonard,40.82,49,20
163,0,22293,Heath Slocum,40.82,49,20
167,0,23135,Tim Clark,40.74,54,22
167,0,23338,David Gossett,40.74,54,22
169,0,12645,Brent Geiberger,40.58,69,28
170,0,24507,Jason Bohn,40.54,74,30
171,0,01685,J.L. Lewis,40.35,57,23
172,0,25900,Lucas Glover,40.30,67,27
173,0,01329,Brad Faxon,40.00,45,18
174,0,10201,Matt Gogel,39.58,48,19
175,0,06621,Joe Durant,38.89,54,21
175,0,01553,John Huston,38.89,36,14
177,0,23613,Rich Barcelo,38.78,49,19
178,0,01724,Jeff Maggert,38.46,39,15
178,0,06595,Kevin Sutherland,38.46,52,20
180,0,23063,Scott Hend,38.33,60,23
180,0,10912,Craig Perks,38.33,60,23
182,0,21646,David Branshaw,36.96,46,17
183,0,01132,Mark Brooks,36.73,49,18
184,0,10107,Deane Pappas,35.71,42,15
185,0,20498,Briny Baird,35.59,59,21
186,0,21878,Mark Wilson,35.14,37,13
187,0,01920,Craig Parry,34.62,26,9
188,0,01320,Bob Estes,34.48,29,10
189,0,12705,Cliff Kresge,34.25,73,25
190,0,20098,Stuart Appleby,33.33,45,15
190,0,01139,Olin Browne,33.33,54,18
190,0,21893,Brian Kortan,33.33,39,13
190,0,02049,Gene Sauers,33.33,60,20
194,0,01926,Steve Pate,31.58,38,12
195,0,01226,Fred Couples,26.92,26,7
196,0,01797,Rocco Mediate,21.62,37,8
