RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,01132,Mark Brooks,67.67,203,3
2,0,01142,Bart Bryant,67.83,407,6
3,0,20157,Retief Goosen,67.88,543,8
4,0,20029,Notah Begay III,68.40,342,5
5,0,23135,Tim Clark,68.80,688,10
5,0,01666,Bernhard Langer,68.80,344,5
7,0,01219,John Cook,69.00,345,5
7,0,21959,Ted Purdy,69.00,690,10
7,0,02206,David Toms,69.00,483,7
7,0,02246,Duffy Waldorf,69.00,552,8
11,0,10201,Matt Gogel,69.08,829,12
12,0,19846,Brian Gay,69.11,622,9
13,0,06621,Joe Durant,69.13,553,8
14,0,01157,Tom Byrum,69.17,415,6
15,0,21805,Harrison Frazar,69.20,692,10
16,0,02049,Gene Sauers,69.40,347,5
17,0,02239,Scott Verplank,69.43,972,14
18,0,06004,Stephen Ames,69.46,903,13
19,0,20229,Stewart Cink,69.54,904,13
20,0,06522,Ernie Els,69.55,765,11
20,0,06567,Vijay Singh,69.55,1391,20
22,0,07867,Woody Austin,69.57,487,7
23,0,22046,Geoff Ogilvy,69.58,835,12
24,0,20098,Stuart Appleby,69.60,696,10
24,0,12782,Tim Herron,69.60,696,10
24,0,20634,Peter Lonard,69.60,348,5
24,0,01968,Nick Price,69.60,348,5
28,0,01797,Rocco Mediate,69.67,209,3
29,0,06214,Guy Boros,69.75,279,4
29,0,19972,José Coceres,69.75,558,8
29,0,23353,J.J. Henry,69.75,558,8
29,0,01771,Blaine McCallister,69.75,279,4
33,0,08793,Tiger Woods,69.77,907,13
34,0,25900,Lucas Glover,69.80,349,5
34,0,01706,Davis Love III,69.80,698,10
36,0,21633,Steve Allan,69.86,489,7
37,0,20645,John Senden,69.89,629,9
38,0,11032,Frank Lickliter II,69.92,839,12
38,0,01945,Kenny Perry,69.92,839,12
40,0,20121,Todd Fischer,70.00,490,7
40,0,20628,Arron Oberholser,70.00,560,8
40,0,12660,Jesper Parnevik,70.00,910,13
40,0,02002,John Riegger,70.00,350,5
44,0,01810,Phil Mickelson,70.07,1051,15
45,0,23541,Ben Crane,70.11,631,9
46,0,08075,Jerry Kelly,70.13,1052,15
47,0,07363,Craig Bowden,70.17,421,6
48,0,20572,Rod Pampling,70.18,772,11
49,0,01127,Danny Briggs,70.20,351,5
49,0,01677,Tom Lehman,70.20,351,5
51,0,25396,Kevin Na,70.22,632,9
52,0,20433,Mark Hensby,70.25,843,12
52,0,01927,Dennis Paulson,70.25,562,8
54,0,01553,John Huston,70.29,492,7
55,0,01381,Fred Funk,70.33,633,9
55,0,20094,Jonathan Kaye,70.33,633,9
55,0,10423,Mike Weir,70.33,844,12
58,0,21731,Freddie Jacobson,70.38,563,8
58,0,01685,J.L. Lewis,70.38,563,8
60,0,01313,Steve Elkington,70.40,352,5
60,0,01457,Jay Haas,70.40,704,10
62,0,21209,Sergio Garcia,70.42,845,12
63,0,24925,Jonathan Byrd,70.44,634,9
64,0,23623,Bo Van Pelt,70.46,916,13
65,0,07721,Pat Bates,70.50,564,8
65,0,01249,John Daly,70.50,846,12
65,0,08537,J.P. Hayes,70.50,282,4
65,0,01941,Tom Pernice Jr.,70.50,564,8
65,0,02106,Chris Smith,70.50,705,10
70,0,12823,Carlos Franco,70.55,776,11
71,0,01139,Olin Browne,70.57,494,7
72,0,26420,Richard Johnson,70.60,706,10
72,0,22293,Heath Slocum,70.60,353,5
74,0,19881,Robert Damron,70.63,565,8
74,0,24502,Adam Scott,70.63,565,8
76,0,23325,Vaughn Taylor,70.64,777,11
77,0,06197,Michael Allen,70.67,424,6
77,0,20593,Greg Chalmers,70.67,424,6
77,0,01320,Bob Estes,70.67,212,3
77,0,02010,Loren Roberts,70.67,848,12
77,0,02101,Joey Sindelar,70.67,636,9
77,0,21878,Mark Wilson,70.67,212,3
83,0,12645,Brent Geiberger,70.73,778,11
84,0,20850,Daniel Chopra,70.75,849,12
84,0,10912,Craig Perks,70.75,283,4
86,0,01024,Billy Andrade,70.80,354,5
86,0,19824,Craig Barlow,70.80,354,5
88,0,07749,Brett Quigley,70.82,779,11
89,0,20382,Stephen Leaney,70.83,425,6
89,0,01926,Steve Pate,70.83,425,6
91,0,06251,Chris DiMarco,70.85,921,13
92,0,24507,Jason Bohn,70.86,496,7
92,0,01261,Jay Delsing,70.86,496,7
92,0,01724,Jeff Maggert,70.86,496,7
95,0,23552,Hank Kuehne,70.88,567,8
96,0,20498,Briny Baird,70.89,638,9
97,0,01619,Skip Kendall,70.91,780,11
98,0,07457,Steve Flesch,70.92,922,13
99,0,12510,Chad Campbell,71.00,639,9
99,0,20472,Alex Cejka,71.00,355,5
99,0,24357,K.J. Choi,71.00,639,9
99,0,06575,Dudley Hart,71.00,284,4
99,0,08881,Tripp Isenhour,71.00,284,4
99,0,10860,Justin Leonard,71.00,639,9
99,0,12753,David Morland IV,71.00,497,7
106,0,20127,Chris Riley,71.11,640,9
106,0,20548,Hidemichi Tanaka,71.11,640,9
108,0,10885,Robert Allenby,71.13,569,8
109,0,01035,Tommy Armour III,71.14,498,7
110,0,08385,Omar Uresti,71.17,427,6
111,0,23621,Rory Sabbatini,71.18,783,11
112,0,06515,Shaun Micheel,71.25,570,8
112,0,23320,Ryan Palmer,71.25,855,12
114,0,01577,Lee Janzen,71.27,784,11
115,0,02214,Kirk Triplett,71.29,998,14
116,0,01928,Corey Pavin,71.30,713,10
116,0,02223,Bob Tway,71.30,713,10
118,0,23108,Matt Kuchar,71.33,428,6
118,0,01887,Mark O'Meara,71.33,428,6
120,0,21949,Joe Ogilvie,71.40,714,10
120,0,06527,Steve Stricker,71.40,357,5
122,0,07223,Brian Bateman,71.45,786,11
123,0,24024,Zach Johnson,71.46,929,13
124,0,12652,Cameron Beckman,71.50,858,12
124,0,12394,Tom Carter,71.50,429,6
124,0,19825,Darren Clarke,71.50,429,6
124,0,08835,Kris Cox,71.50,429,6
124,0,01938,David Peoples,71.50,858,12
124,0,25345,Carl Pettersson,71.50,572,8
124,0,06613,Tommy Tolles,71.50,286,4
124,0,12602,Dean Wilson,71.50,429,6
132,0,22548,Patrick Sheehan,71.54,930,13
133,0,01161,Mark Calcavecchia,71.55,787,11
134,0,01473,Todd Hamilton,71.56,644,9
135,0,01042,Paul Azinger,71.63,573,8
136,0,23983,Luke Donald,71.67,645,9
136,0,01361,Dan Forsman,71.67,430,6
136,0,12680,Shigeki Maruyama,71.67,860,12
136,0,06595,Kevin Sutherland,71.67,430,6
140,0,01388,Robert Gamez,71.69,932,13
141,0,01527,Scott Hoch,71.71,502,7
142,0,06332,Neal Lancaster,71.78,646,9
142,0,06373,José María Olazábal,71.78,646,9
144,0,01761,Len Mattiace,71.83,431,6
144,0,02099,Scott Simpson,71.83,431,6
146,0,01707,Steve Lowery,71.89,647,9
147,0,21961,Charles Howell III,71.93,1007,14
148,0,10585,Scott McCarron,72.00,720,10
148,0,07939,Dan Olsen,72.00,72,1
150,0,24781,Hunter Mahan,72.14,505,7
151,0,25686,Jason Dufner,72.17,433,6
151,0,01920,Craig Parry,72.17,433,6
153,0,20378,Mathias Grönberg,72.25,289,4
153,0,08339,Spike McRoy,72.25,289,4
153,0,22913,John Rollins,72.25,578,8
156,0,23614,Rich Beem,72.29,506,7
157,0,24290,D.J. Brigman,72.33,434,6
157,0,01329,Brad Faxon,72.33,651,9
157,0,12682,Hirofumi Miyase,72.33,217,3
160,0,20104,Ken Duke,72.50,290,4
160,0,10733,Kent Jones,72.50,435,6
160,0,10107,Deane Pappas,72.50,435,6
163,0,22405,Justin Rose,72.60,363,5
163,0,02245,Grant Waite,72.60,363,5
165,0,01948,Tim Petrovic,72.64,799,11
166,0,11123,Chris Couch,72.67,218,3
166,0,06078,Esteban Toledo,72.67,436,6
166,0,10425,Jay Williamson,72.67,654,9
169,0,08123,Jeff Brehaut,72.70,727,10
170,0,20580,Andre Stolz,72.75,291,4
171,0,01226,Fred Couples,72.78,655,9
172,0,23063,Scott Hend,72.80,364,5
172,0,23307,Roger Tambellini,72.80,364,5
172,0,26287,Roland Thatcher,72.80,364,5
175,0,20663,Brenden Pappas,72.88,583,8
176,0,01766,Billy Mayfair,72.92,875,12
177,0,22371,Aaron Baddeley,73.00,438,6
177,0,23613,Rich Barcelo,73.00,146,2
177,0,21646,David Branshaw,73.00,292,4
177,0,08931,Glen Day,73.00,438,6
177,0,01378,David Frost,73.00,292,4
177,0,21893,Brian Kortan,73.00,292,4
177,0,12705,Cliff Kresge,73.00,365,5
184,0,02104,Jeff Sluman,73.23,952,13
185,0,06809,Bob Burns,73.40,367,5
186,0,21407,Arjun Atwal,73.50,441,6
186,0,24361,Pat Perez,73.50,294,4
188,0,23497,Tag Ridings,73.75,295,4
189,0,12760,Danny Ellis,73.83,443,6
190,0,20585,Niclas Fasth,74.00,74,1
190,0,23338,David Gossett,74.00,74,1
190,0,25237,Kevin Muncrief,74.00,74,1
193,0,22621,Ben Curtis,74.40,372,5
194,0,01203,Russ Cochran,76.00,152,2
195,0,08337,Mike Heinen,76.50,153,2
195,0,10213,Dicky Pride,76.50,153,2
