RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,01810,Phil Mickelson,-.033
1,0,08793,Tiger Woods,-.033
3,0,22405,Justin Rose,-.026
4,0,22046,Geoff Ogilvy,-.019
5,0,01361,Dan Forsman,-.014
6,0,21951,Joey Snyder III,E
6,0,12454,Mario Tiziani,E
8,0,20474,Phillip Price,+.009
9,0,06567,Vijay Singh,+.011
10,0,20548,Hidemichi Tanaka,+.017
11,0,20850,Daniel Chopra,+.020
12,0,20098,Stuart Appleby,+.023
13,0,21350,Ryuji Imada,+.025
14,0,06621,Joe Durant,+.026
15,0,01226,Fred Couples,+.029
15,0,21961,Charles Howell III,+.029
17,0,21209,Sergio Garcia,+.030
18,0,20378,Mathias Grönberg,+.037
19,0,21407,Arjun Atwal,+.040
20,0,23322,Brett Wetterich,+.041
21,0,23497,Tag Ridings,+.044
22,0,06373,José María Olazábal,+.045
23,0,23788,D.J. Trahan,+.047
24,0,20634,Peter Lonard,+.050
24,0,23623,Bo Van Pelt,+.050
26,0,20498,Briny Baird,+.051
27,0,12823,Carlos Franco,+.056
28,0,20099,Doug Barron,+.060
29,0,01766,Billy Mayfair,+.061
30,0,23541,Ben Crane,+.063
31,0,12782,Tim Herron,+.069
32,0,08123,Jeff Brehaut,+.070
33,0,25240,D.A. Points,+.075
34,0,20663,Brenden Pappas,+.076
34,0,24502,Adam Scott,+.076
36,0,02214,Kirk Triplett,+.077
37,0,23983,Luke Donald,+.079
37,0,24024,Zach Johnson,+.079
39,0,01945,Kenny Perry,+.080
39,0,06595,Kevin Sutherland,+.080
41,0,21959,Ted Purdy,+.081
41,0,02223,Bob Tway,+.081
43,0,21633,Steve Allan,+.085
44,0,01329,Brad Faxon,+.088
44,0,25396,Kevin Na,+.088
46,0,24980,Scott Gutschewski,+.090
47,0,01457,Jay Haas,+.091
48,0,23135,Tim Clark,+.092
48,0,24604,Hunter Haas,+.092
50,0,06197,Michael Allen,+.093
50,0,08993,Franklin Langham,+.093
52,0,01706,Davis Love III,+.096
52,0,20127,Chris Riley,+.096
54,0,01139,Olin Browne,+.097
54,0,26420,Richard Johnson,+.097
54,0,21878,Mark Wilson,+.097
57,0,06034,Marco Dawson,+.098
58,0,19846,Brian Gay,+.100
58,0,20766,Padraig Harrington,+.100
58,0,12660,Jesper Parnevik,+.100
61,0,20623,Gavin Coles,+.103
61,0,06251,Chris DiMarco,+.103
63,0,24507,Jason Bohn,+.104
63,0,12602,Dean Wilson,+.104
65,0,21731,Freddie Jacobson,+.105
66,0,25345,Carl Pettersson,+.106
67,0,12680,Shigeki Maruyama,+.107
67,0,01927,Dennis Paulson,+.107
69,0,02206,David Toms,+.108
70,0,12510,Chad Campbell,+.110
70,0,20502,Michael Long,+.110
72,0,01487,Jeff Hart,+.113
72,0,06332,Neal Lancaster,+.113
74,0,01320,Bob Estes,+.116
75,0,24290,D.J. Brigman,+.117
75,0,21753,Brian Davis,+.117
77,0,08931,Glen Day,+.118
77,0,01707,Steve Lowery,+.118
79,0,10585,Scott McCarron,+.119
79,0,02104,Jeff Sluman,+.119
81,0,24781,Hunter Mahan,+.121
81,0,23320,Ryan Palmer,+.121
83,0,01161,Mark Calcavecchia,+.123
83,0,08725,Tom Gillis,+.123
85,0,23540,Jason Allred,+.124
85,0,23036,Chris Anderson,+.124
87,0,24925,Jonathan Byrd,+.125
87,0,22293,Heath Slocum,+.125
89,0,01666,Bernhard Langer,+.127
89,0,20382,Stephen Leaney,+.127
91,0,01127,Danny Briggs,+.130
91,0,23353,J.J. Henry,+.130
91,0,02106,Chris Smith,+.130
94,0,23325,Vaughn Taylor,+.131
95,0,01042,Paul Azinger,+.132
95,0,01797,Rocco Mediate,+.132
95,0,24140,Sean O'Hair,+.132
98,0,01761,Len Mattiace,+.133
98,0,20628,Arron Oberholser,+.133
100,0,10733,Kent Jones,+.134
100,0,11032,Frank Lickliter II,+.134
100,0,22295,Darron Stiles,+.134
103,0,25847,Rob Rashell,+.137
104,0,23614,Rich Beem,+.139
105,0,07867,Woody Austin,+.140
106,0,20121,Todd Fischer,+.145
107,0,01948,Tim Petrovic,+.148
108,0,25900,Lucas Glover,+.150
108,0,06575,Dudley Hart,+.150
108,0,02101,Joey Sindelar,+.150
111,0,06004,Stephen Ames,+.152
111,0,01381,Fred Funk,+.152
113,0,20157,Retief Goosen,+.154
114,0,01035,Tommy Armour III,+.155
114,0,26758,David Hearn,+.155
116,0,12826,Paul Claxton,+.157
117,0,20645,John Senden,+.158
118,0,10201,Matt Gogel,+.159
118,0,24912,Will MacKenzie,+.159
118,0,01724,Jeff Maggert,+.159
118,0,26287,Roland Thatcher,+.159
122,0,24357,K.J. Choi,+.160
122,0,20812,Tjaart van der Walt,+.160
124,0,19972,José Coceres,+.163
124,0,01887,Mark O'Meara,+.163
124,0,23621,Rory Sabbatini,+.163
127,0,22371,Aaron Baddeley,+.164
127,0,21949,Joe Ogilvie,+.164
129,0,20094,Jonathan Kaye,+.165
129,0,08385,Omar Uresti,+.165
131,0,08075,Jerry Kelly,+.167
131,0,20572,Rod Pampling,+.167
131,0,22913,John Rollins,+.167
134,0,02239,Scott Verplank,+.168
135,0,20691,Greg Owen,+.169
135,0,06527,Steve Stricker,+.169
135,0,20160,Charlie Wi,+.169
138,0,23349,Charles Warren,+.171
139,0,20229,Stewart Cink,+.172
140,0,01418,Bill Glasson,+.176
140,0,08545,Glen Hnatiuk,+.176
140,0,06515,Shaun Micheel,+.176
140,0,01941,Tom Pernice Jr.,+.176
140,0,07749,Brett Quigley,+.176
145,0,01685,J.L. Lewis,+.177
146,0,21805,Harrison Frazar,+.178
146,0,10425,Jay Williamson,+.178
148,0,24361,Pat Perez,+.179
149,0,07457,Steve Flesch,+.181
150,0,19824,Craig Barlow,+.185
150,0,01219,John Cook,+.185
152,0,23063,Scott Hend,+.186
153,0,20433,Mark Hensby,+.191
154,0,23108,Matt Kuchar,+.194
154,0,01723,Andrew Magee,+.194
156,0,01142,Bart Bryant,+.195
156,0,06573,Brandt Jobe,+.195
158,0,12652,Cameron Beckman,+.197
158,0,01157,Tom Byrum,+.197
160,0,24138,Ian Poulter,+.198
161,0,10885,Robert Allenby,+.200
161,0,01928,Corey Pavin,+.200
163,0,22548,Patrick Sheehan,+.202
164,0,02010,Loren Roberts,+.207
165,0,01473,Todd Hamilton,+.208
166,0,01823,Larry Mize,+.210
167,0,10423,Mike Weir,+.212
168,0,23725,Brendan Jones,+.214
168,0,26679,Kevin Stadler,+.214
170,0,22621,Ben Curtis,+.215
171,0,01313,Steve Elkington,+.216
172,0,21806,Paul Gow,+.217
173,0,10912,Craig Perks,+.218
174,0,20396,Lee Westwood,+.219
175,0,06599,John Elliott,+.221
176,0,01024,Billy Andrade,+.226
176,0,20472,Alex Cejka,+.226
176,0,19881,Robert Damron,+.226
179,0,07223,Brian Bateman,+.235
179,0,01619,Skip Kendall,+.235
181,0,28088,Matt Davidson,+.238
182,0,01577,Lee Janzen,+.240
183,0,23409,James Driscoll,+.245
184,0,23552,Hank Kuehne,+.250
185,0,01553,John Huston,+.255
186,0,10860,Justin Leonard,+.256
187,0,08537,J.P. Hayes,+.258
188,0,10962,Bradley Hughes,+.259
189,0,01132,Mark Brooks,+.261
189,0,10809,Jim Furyk,+.261
189,0,12645,Brent Geiberger,+.261
192,0,01388,Robert Gamez,+.264
192,0,21498,Hideto Tanihara,+.264
192,0,27095,Nick Watney,+.264
195,0,10117,Bob Heintz,+.270
196,0,01175,Jim Carter,+.275
197,0,02246,Duffy Waldorf,+.277
198,0,01249,John Daly,+.297
199,0,24227,Justin Bolli,+.315
200,0,01677,Tom Lehman,+.321
201,0,12662,Thomas Levet,+.328
202,0,01599,Steve Jones,+.361
