RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,20766,Padraig Harrington,98.33,59,60
2,0,23983,Luke Donald,94.34,50,53
3,0,27770,Camilo Villegas,93.58,102,109
4,0,01928,Corey Pavin,93.55,87,93
5,0,23353,J.J. Henry,93.33,70,75
6,0,24138,Ian Poulter,92.31,60,65
7,0,12602,Dean Wilson,92.11,105,114
8,0,24924,Bill Haas,91.94,114,124
9,0,06373,José María Olazábal,91.84,45,49
10,0,10860,Justin Leonard,91.75,89,97
11,0,01219,John Cook,91.67,77,84
12,0,25935,John Engler Jr.,90.79,69,76
13,0,22548,Patrick Sheehan,90.73,137,151
14,0,01139,Olin Browne,90.55,115,127
15,0,06527,Steve Stricker,90.54,67,74
16,0,01042,Paul Azinger,90.48,114,126
17,0,07749,Brett Quigley,90.43,85,94
18,0,28475,Jeff Overton,90.40,113,125
19,0,25240,D.A. Points,90.38,94,104
20,0,01941,Tom Pernice Jr.,90.27,102,113
21,0,06575,Dudley Hart,90.20,92,102
21,0,08793,Tiger Woods,90.20,46,51
23,0,01035,Tommy Armour III,90.14,64,71
24,0,21878,Mark Wilson,90.00,72,80
25,0,20645,John Senden,89.89,80,89
25,0,08385,Omar Uresti,89.89,80,89
27,0,20572,Rod Pampling,89.87,71,79
28,0,25345,Carl Pettersson,89.81,97,108
29,0,08123,Jeff Brehaut,89.69,87,97
30,0,12680,Shigeki Maruyama,89.15,115,129
31,0,10885,Robert Allenby,88.89,72,81
31,0,20691,Greg Owen,88.89,72,81
31,0,21660,Jason Schultz,88.89,64,72
34,0,06567,Vijay Singh,88.80,111,125
35,0,11032,Frank Lickliter II,88.79,95,107
35,0,24912,Will MacKenzie,88.79,95,107
37,0,01619,Skip Kendall,88.61,70,79
38,0,23325,Vaughn Taylor,88.60,101,114
39,0,21209,Sergio Garcia,88.46,46,52
40,0,12660,Jesper Parnevik,88.37,76,86
41,0,27141,J.B. Holmes,88.30,83,94
42,0,19881,Robert Damron,88.18,97,110
43,0,12645,Brent Geiberger,88.10,111,126
44,0,23048,Eric Axley,88.07,96,109
45,0,10423,Mike Weir,88.04,81,92
46,0,02246,Duffy Waldorf,88.03,103,117
47,0,23788,D.J. Trahan,88.00,88,100
48,0,20812,Tjaart van der Walt,87.95,73,83
49,0,06595,Kevin Sutherland,87.88,87,99
50,0,06643,Paul Goydos,87.85,94,107
51,0,20121,Todd Fischer,87.80,108,123
52,0,20628,Arron Oberholser,87.69,57,65
53,0,12823,Carlos Franco,87.64,78,89
54,0,02239,Scott Verplank,87.61,99,113
55,0,24507,Jason Bohn,87.40,111,127
56,0,01599,Steve Jones,87.37,83,95
57,0,21805,Harrison Frazar,87.29,103,118
58,0,01142,Bart Bryant,87.27,96,110
59,0,20548,Hidemichi Tanaka,87.25,89,102
60,0,10505,Shane Bertsch,87.12,115,132
61,0,23623,Bo Van Pelt,87.07,101,116
62,0,07223,Brian Bateman,87.01,67,77
63,0,10809,Jim Furyk,86.75,72,83
64,0,01666,Bernhard Langer,86.67,65,75
