RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,20498,Briny Baird,.80,163,13
1,0,01887,Mark O'Meara,.80,75,6
3,0,24138,Ian Poulter,.74,81,6
4,0,01928,Corey Pavin,.69,130,9
5,0,26420,Richard Johnson,.68,191,13
6,0,22621,Ben Curtis,.66,166,11
7,0,12645,Brent Geiberger,.65,231,15
8,0,23325,Vaughn Taylor,.64,140,9
9,0,20608,David Howell,.62,65,4
9,0,10733,Kent Jones,.62,194,12
11,0,06522,Ernie Els,.61,82,5
11,0,27141,J.B. Holmes,.61,147,9
11,0,01685,J.L. Lewis,.61,98,6
14,0,22371,Aaron Baddeley,.59,135,8
14,0,19824,Craig Barlow,.59,119,7
16,0,20229,Stewart Cink,.58,139,8
16,0,01706,Davis Love III,.58,103,6
16,0,01941,Tom Pernice Jr.,.58,191,11
19,0,09011,David Duval,.57,106,6
19,0,08793,Tiger Woods,.57,88,5
21,0,06621,Joe Durant,.56,198,11
22,0,20548,Hidemichi Tanaka,.55,128,7
22,0,02214,Kirk Triplett,.55,73,4
24,0,23353,J.J. Henry,.54,168,9
24,0,08075,Jerry Kelly,.54,185,10
26,0,21407,Arjun Atwal,.53,152,8
26,0,24357,K.J. Choi,.53,208,11
26,0,06575,Dudley Hart,.53,150,8
26,0,06573,Brandt Jobe,.53,151,8
26,0,24912,Will MacKenzie,.53,189,10
26,0,20631,David McKenzie,.53,151,8
26,0,06567,Vijay Singh,.53,169,9
33,0,23135,Tim Clark,.52,116,6
33,0,24781,Hunter Mahan,.52,191,10
33,0,23497,Tag Ridings,.52,193,10
33,0,02206,David Toms,.52,116,6
37,0,21805,Harrison Frazar,.51,136,7
37,0,21961,Charles Howell III,.51,197,10
37,0,01724,Jeff Maggert,.51,137,7
40,0,21350,Ryuji Imada,.50,181,9
40,0,02110,Jerry Smith,.50,159,8
40,0,02223,Bob Tway,.50,140,7
40,0,21878,Mark Wilson,.50,159,8
44,0,21209,Sergio Garcia,.49,82,4
44,0,24361,Pat Perez,.49,82,4
44,0,20127,Chris Riley,.49,143,7
47,0,01142,Bart Bryant,.48,168,8
47,0,06595,Kevin Sutherland,.48,230,11
49,0,12510,Chad Campbell,.47,128,6
49,0,12823,Carlos Franco,.47,171,8
49,0,20574,Mathew Goggin,.47,148,7
52,0,20766,Padraig Harrington,.46,65,3
52,0,23320,Ryan Palmer,.46,153,7
54,0,01313,Steve Elkington,.45,112,5
55,0,01219,John Cook,.44,114,5
55,0,20378,Mathias Grönberg,.44,160,7
55,0,22293,Heath Slocum,.44,159,7
58,0,21959,Ted Purdy,.43,163,7
58,0,02106,Chris Smith,.43,162,7
58,0,08375,Paul Stankowski,.43,138,6
61,0,12782,Tim Herron,.42,118,5
61,0,24024,Zach Johnson,.42,143,6
61,0,01823,Larry Mize,.42,95,4
61,0,21949,Joe Ogilvie,.42,144,6
65,0,01666,Bernhard Langer,.41,121,5
65,0,11011,Mike Sposa,.41,147,6
65,0,12755,Vance Veazey,.41,98,4
68,0,23541,Ben Crane,.40,126,5
68,0,06643,Paul Goydos,.40,124,5
68,0,23718,Nathan Green,.40,202,8
68,0,08537,J.P. Hayes,.40,101,4
68,0,22378,Trevor Immelman,.40,151,6
73,0,07223,Brian Bateman,.39,127,5
73,0,25935,John Engler Jr.,.39,155,6
73,0,20157,Retief Goosen,.39,77,3
73,0,25345,Carl Pettersson,.39,154,6
73,0,07013,Wes Short Jr.,.39,152,6
78,0,06197,Michael Allen,.38,130,5
78,0,20105,Jeff Gove,.38,186,7
78,0,20628,Arron Oberholser,.38,133,5
78,0,01945,Kenny Perry,.38,133,5
78,0,19913,Ron Whittaker,.38,160,6
83,0,01329,Brad Faxon,.37,161,6
83,0,01473,Todd Hamilton,.37,108,4
83,0,21731,Freddie Jacobson,.37,107,4
83,0,27120,Troy Matteson,.37,191,7
83,0,22913,John Rollins,.37,162,6
83,0,20645,John Senden,.37,189,7
83,0,23322,Brett Wetterich,.37,136,5
90,0,08123,Jeff Brehaut,.36,194,7
90,0,25240,D.A. Points,.36,165,6
92,0,01249,John Daly,.35,85,3
92,0,06034,Marco Dawson,.35,143,5
92,0,07749,Brett Quigley,.35,228,8
