RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,20498,Briny Baird,2.000,2,1
1,0,26360,Bubba Dickerson,2.000,2,1
1,0,01677,Tom Lehman,2.000,2,1
1,0,27120,Troy Matteson,2.000,2,1
1,0,06567,Vijay Singh,2.000,2,1
1,0,23322,Brett Wetterich,2.000,2,1
7,0,06197,Michael Allen,3.000,3,1
7,0,01024,Billy Andrade,3.000,3,1
7,0,25936,Alex Aragon,3.000,3,1
7,0,19824,Craig Barlow,3.000,3,1
7,0,07223,Brian Bateman,3.000,3,1
7,0,10505,Shane Bertsch,3.000,3,1
7,0,24507,Jason Bohn,3.000,3,1
7,0,01132,Mark Brooks,3.000,3,1
7,0,20850,Daniel Chopra,3.000,3,1
7,0,21753,Brian Davis,3.000,3,1
7,0,06251,Chris DiMarco,3.000,3,1
7,0,23983,Luke Donald,3.000,3,1
7,0,01329,Brad Faxon,3.000,3,1
7,0,07457,Steve Flesch,3.000,3,1
7,0,21805,Harrison Frazar,3.000,3,1
7,0,10809,Jim Furyk,3.000,3,1
7,0,22892,Jason Gore,3.000,3,1
7,0,12716,Charley Hoffman,3.000,3,1
7,0,21731,Freddie Jacobson,3.000,3,1
7,0,01577,Lee Janzen,3.000,3,1
7,0,01685,J.L. Lewis,3.000,3,1
7,0,24912,Will MacKenzie,3.000,3,1
7,0,01724,Jeff Maggert,3.000,3,1
7,0,24781,Hunter Mahan,3.000,3,1
7,0,06350,Bob May,3.000,3,1
7,0,20628,Arron Oberholser,3.000,3,1
7,0,21949,Joe Ogilvie,3.000,3,1
7,0,06373,José María Olazábal,3.000,3,1
7,0,24361,Pat Perez,3.000,3,1
7,0,23621,Rory Sabbatini,3.000,3,1
7,0,20645,John Senden,3.000,3,1
7,0,08375,Paul Stankowski,3.000,3,1
7,0,06527,Steve Stricker,3.000,3,1
7,0,23623,Bo Van Pelt,3.000,3,1
7,0,02246,Duffy Waldorf,3.000,3,1
7,0,23349,Charles Warren,3.000,3,1
7,0,27095,Nick Watney,3.000,3,1
7,0,21878,Mark Wilson,3.000,3,1
45,0,24925,Jonathan Byrd,4.000,4,1
45,0,23135,Tim Clark,4.000,4,1
45,0,01219,John Cook,4.000,4,1
45,0,21961,Charles Howell III,4.000,4,1
45,0,01706,Davis Love III,4.000,4,1
45,0,01707,Steve Lowery,4.000,4,1
45,0,01810,Phil Mickelson,4.000,4,1
45,0,25842,Jon Mills,4.000,4,1
45,0,23320,Ryan Palmer,4.000,4,1
45,0,02104,Jeff Sluman,4.000,4,1
45,0,02110,Jerry Smith,4.000,4,1
45,0,12755,Vance Veazey,4.000,4,1
45,0,10423,Mike Weir,4.000,4,1
45,0,12602,Dean Wilson,4.000,4,1
59,0,24358,Robert Garrigus,5.000,5,1
