RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,08793,Tiger Woods,23.43,253,1080,1
2,0,21731,Freddie Jacobson,22.46,283,1260,46
3,0,24925,Jonathan Byrd,22.07,290,1314,136
4,0,01161,Mark Calcavecchia,21.92,367,1674,121
5,0,12660,Jesper Parnevik,21.84,346,1584,33
6,0,24502,Adam Scott,21.81,267,1224,72
7,0,23349,Charles Warren,21.73,395,1818,14
8,0,22405,Justin Rose,21.66,230,1062,58
9,0,25900,Lucas Glover,21.48,375,1746,44
10,0,01810,Phil Mickelson,21.44,274,1278,84
11,0,25396,Kevin Na,21.36,323,1512,167
12,0,21633,Steve Allan,21.25,241,1134,95
13,0,27141,J.B. Holmes,21.13,270,1278,104
13,0,21949,Joe Ogilvie,21.13,388,1836,172
15,0,25804,Bubba Watson,21.04,303,1440,68
16,0,22046,Geoff Ogilvy,21.01,295,1404,158
17,0,24358,Robert Garrigus,20.99,359,1710,25
18,0,23638,Brendon de Jonge,20.98,287,1368,113
18,0,06522,Ernie Els,20.98,219,1044,98
20,0,28475,Jeff Overton,20.93,226,1080,10
21,0,29718,Anthony Kim,20.91,350,1674,73
22,0,12716,Charley Hoffman,20.85,364,1746,123
23,0,01249,John Daly,20.81,221,1062,179
24,0,23614,Rich Beem,20.79,333,1602,112
25,0,23325,Vaughn Taylor,20.76,340,1638,120
26,0,23621,Rory Sabbatini,20.75,295,1422,174
27,0,06567,Vijay Singh,20.72,373,1800,45
28,0,10425,Jay Williamson,20.67,186,900,40
29,0,25345,Carl Pettersson,20.66,409,1980,126
30,0,20850,Daniel Chopra,20.65,394,1908,75
31,0,21350,Ryuji Imada,20.62,386,1872,159
32,0,24140,Sean O'Hair,20.58,363,1764,23
33,0,21209,Sergio Garcia,20.54,244,1188,105
34,0,10117,Bob Heintz,20.52,314,1530,146
35,0,23497,Tag Ridings,20.51,192,936,157
35,0,23623,Bo Van Pelt,20.51,384,1872,37
37,0,01707,Steve Lowery,20.50,273,1332,41
37,0,27095,Nick Watney,20.50,321,1566,35
39,0,20472,Alex Cejka,20.49,295,1440,6
40,0,12652,Cameron Beckman,20.43,353,1728,4
41,0,06527,Steve Stricker,20.42,294,1440,55
42,0,10885,Robert Allenby,20.41,327,1602,15
43,0,21753,Brian Davis,20.30,369,1818,83
44,0,22371,Aaron Baddeley,20.28,292,1440,188
45,0,01320,Bob Estes,20.27,321,1584,143
46,0,10809,Jim Furyk,20.26,299,1476,6
47,0,28158,Steve Marino,20.23,386,1908,50
48,0,22892,Jason Gore,20.22,313,1548,64
48,0,24912,Will MacKenzie,20.22,364,1800,47
48,0,01797,Rocco Mediate,20.22,262,1296,90
51,0,24781,Hunter Mahan,20.21,331,1638,29
