RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
1,0,12755,Vance Veazey,8.6
2,0,31044,Matt Harmon,8.5
3,0,01042,Paul Azinger,8.3
3,0,12680,Shigeki Maruyama,8.3
5,0,06034,Marco Dawson,8.0
6,0,02223,Bob Tway,7.8
7,0,20766,Padraig Harrington,7.7
7,0,22986,Søren Kjeldsen,7.7
7,0,02010,Loren Roberts,7.7
10,0,24511,Thongchai Jaidee,7.6
10,0,29461,Jamie Lovemark,7.6
10,0,20628,Arron Oberholser,7.6
10,0,01926,Steve Pate,7.6
14,0,25349,Tim Wilkinson,7.5
14,0,22951,Azuma Yano,7.5
16,0,06373,José María Olazábal,7.4
16,0,25632,Jimmy Walker,7.4
18,0,20218,Shingo Katayama,7.3
18,0,06527,Steve Stricker,7.3
18,0,26498,Matt Weibring,7.3
18,0,08793,Tiger Woods,7.3
22,0,21350,Ryuji Imada,7.2
22,0,29221,Webb Simpson,7.2
24,0,23983,Luke Donald,7.1
24,0,27896,Ross Fisher,7.1
24,0,20669,James Kingston,7.1
24,0,01685,J.L. Lewis,7.1
24,0,22348,Nick O'Hern,7.1
29,0,22371,Aaron Baddeley,7.0
29,0,24236,Nick Dougherty,7.0
29,0,19970,Robert Karlsson,7.0
29,0,20382,Stephen Leaney,7.0
29,0,26695,Michael Letzig,7.0
29,0,01941,Tom Pernice Jr.,7.0
35,0,22621,Ben Curtis,6.9
35,0,20104,Ken Duke,6.9
35,0,10809,Jim Furyk,6.9
35,0,20433,Mark Hensby,6.9
35,0,01577,Lee Janzen,6.9
35,0,01876,Greg Norman,6.9
35,0,22405,Justin Rose,6.9
35,0,20645,John Senden,6.9
35,0,10423,Mike Weir,6.9
44,0,32262,Mark Brown,6.8
44,0,01157,Tom Byrum,6.8
44,0,19846,Brian Gay,6.8
44,0,12782,Tim Herron,6.8
44,0,08075,Jerry Kelly,6.8
44,0,24490,George McNeill,6.8
44,0,23800,Bryce Molder,6.8
44,0,25396,Kevin Na,6.8
44,0,20127,Chris Riley,6.8
53,0,23778,Brad Adamonis,6.7
53,0,10885,Robert Allenby,6.7
53,0,23135,Tim Clark,6.7
53,0,27382,Wil Collins,6.7
53,0,01226,Fred Couples,6.7
53,0,01313,Steve Elkington,6.7
53,0,24924,Bill Haas,6.7
53,0,06575,Dudley Hart,6.7
53,0,23353,J.J. Henry,6.7
53,0,24024,Zach Johnson,6.7
53,0,23108,Matt Kuchar,6.7
53,0,24449,Parker McLachlin,6.7
53,0,20572,Rod Pampling,6.7
53,0,12660,Jesper Parnevik,6.7
53,0,24138,Ian Poulter,6.7
53,0,25190,Jeff Quinney,6.7
53,0,26497,Casey Wittenberg,6.7
70,0,07223,Brian Bateman,6.6
70,0,20848,Ángel Cabrera,6.6
70,0,20472,Alex Cejka,6.6
70,0,20229,Stewart Cink,6.6
70,0,23541,Ben Crane,6.6
70,0,01329,Brad Faxon,6.6
70,0,23718,Nathan Green,6.6
70,0,20378,Mathias Grönberg,6.6
70,0,12705,Cliff Kresge,6.6
70,0,11032,Frank Lickliter II,6.6
70,0,06539,Rick Price,6.6
70,0,23621,Rory Sabbatini,6.6
70,0,22295,Darron Stiles,6.6
70,0,26287,Roland Thatcher,6.6
70,0,02214,Kirk Triplett,6.6
70,0,08385,Omar Uresti,6.6
70,0,27095,Nick Watney,6.6
87,0,20498,Briny Baird,6.5
87,0,12652,Cameron Beckman,6.5
87,0,24357,K.J. Choi,6.5
87,0,06643,Paul Goydos,6.5
87,0,01724,Jeff Maggert,6.5
87,0,10585,Scott McCarron,6.5
87,0,26596,Ryan Moore,6.5
87,0,22046,Geoff Ogilvy,6.5
87,0,28475,Jeff Overton,6.5
87,0,20691,Greg Owen,6.5
87,0,28620,Aron Price,6.5
87,0,07749,Brett Quigley,6.5
87,0,26679,Kevin Stadler,6.5
87,0,30110,Kyle Stanley,6.5
87,0,08845,Scott Sterling,6.5
87,0,12602,Dean Wilson,6.5
103,0,24461,Thomas Aiken,6.4
103,0,20098,Stuart Appleby,6.4
103,0,19972,José Coceres,6.4
103,0,06251,Chris DiMarco,6.4
103,0,20157,Retief Goosen,6.4
103,0,10117,Bob Heintz,6.4
103,0,21731,Freddie Jacobson,6.4
103,0,19958,Miguel Angel Jiménez,6.4
103,0,30925,Dustin Johnson,6.4
103,0,10860,Justin Leonard,6.4
103,0,26881,Jarrod Lyle,6.4
103,0,22080,Prayad Marksaeng,6.4
103,0,24140,Sean O'Hair,6.4
103,0,01928,Corey Pavin,6.4
103,0,01948,Tim Petrovic,6.4
103,0,27072,Alvaro Quiros,6.4
103,0,26476,Chez Reavie,6.4
103,0,22293,Heath Slocum,6.4
103,0,02206,David Toms,6.4
103,0,02245,Grant Waite,6.4
103,0,20436,Garrett Willis,6.4
103,0,21878,Mark Wilson,6.4
103,0,27506,Oliver Wilson,6.4
126,0,21407,Arjun Atwal,6.3
126,0,01132,Mark Brooks,6.3
126,0,20593,Greg Chalmers,6.3
126,0,20850,Daniel Chopra,6.3
126,0,25686,Jason Dufner,6.3
126,0,06522,Ernie Els,6.3
126,0,07457,Steve Flesch,6.3
126,0,12823,Carlos Franco,6.3
126,0,21805,Harrison Frazar,6.3
126,0,29419,Tadd Fujikawa,6.3
126,0,22378,Trevor Immelman,6.3
126,0,06573,Brandt Jobe,6.3
126,0,26300,Matt Jones,6.3
126,0,28237,Rory McIlroy,6.3
126,0,06515,Shaun Micheel,6.3
