RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,21209,Sergio Garcia,29' 3",643.667,22,+5
2,0,26392,Chris Wilson,34' 0",1460.333,43,+6
3,0,27214,Kevin Streelman,34' 1",1672.000,49,+1
4,0,20848,Ángel Cabrera,34' 7",1417.417,41,+4
5,0,01810,Phil Mickelson,34' 9",1632.667,47,+6
6,0,20157,Retief Goosen,34' 11",1292.583,37,-1
7,0,07457,Steve Flesch,35' 0",1611.000,46,+5
8,0,07363,Craig Bowden,35' 1",632.167,18,+4
9,0,22046,Geoff Ogilvy,35' 4",1201.417,34,+5
10,0,24663,Y.E. Yang,35' 5",1240.417,35,+8
11,0,20663,Brenden Pappas,35' 6",1454.750,41,+3
12,0,22946,Henrik Bjornstad,35' 7",1709.917,48,+7
13,0,28475,Jeff Overton,36' 0",2197.167,61,+4
14,0,27302,Garth Mulroy,36' 1",975.333,27,+8
15,0,24358,Robert Garrigus,36' 2",1736.167,48,+12
16,0,22378,Trevor Immelman,36' 4",1236.250,34,+2
17,0,20593,Greg Chalmers,36' 5",2729.667,75,+11
17,0,24502,Adam Scott,36' 5",1530.250,42,+8
19,0,24924,Bill Haas,36' 8",2125.250,58,+4
20,0,10423,Mike Weir,36' 11",959.000,26,+2
21,0,01724,Jeff Maggert,37' 2",2083.250,56,+8
21,0,20572,Rod Pampling,37' 2",2155.583,58,+9
21,0,23325,Vaughn Taylor,37' 2",1782.417,48,+6
24,0,24912,Will MacKenzie,37' 6",1349.083,36,+2
25,0,25892,Steve Wheatcroft,37' 7",1614.833,43,+13
25,0,10425,Jay Williamson,37' 7",1878.917,50,+11
27,0,01797,Rocco Mediate,37' 10",945.333,25,+3
28,0,22056,Cameron Percy,37' 11",1744.667,46,+6
29,0,20098,Stuart Appleby,38' 0",3232.250,85,+9
29,0,20436,Garrett Willis,38' 0",1331.333,35,+6
31,0,22621,Ben Curtis,38' 1",1675.917,44,+3
32,0,29221,Webb Simpson,38' 3",3787.417,99,+12
32,0,26679,Kevin Stadler,38' 3",2029.417,53,+15
34,0,27141,J.B. Holmes,38' 4",2877.000,75,+7
35,0,26301,James Nitties,38' 5",2190.500,57,+11
35,0,28780,Nicholas Thompson,38' 5",2115.000,55,+6
37,0,11123,Chris Couch,38' 7",1580.917,41,+1
37,0,01707,Steve Lowery,38' 7",1774.000,46,+12
37,0,27613,David Lutterus,38' 7",1773.583,46,+4
37,0,12755,Vance Veazey,38' 7",1813.250,47,+10
41,0,01945,Kenny Perry,38' 8",1586.167,41,+9
42,0,20850,Daniel Chopra,38' 9",2091.500,54,+2
42,0,23983,Luke Donald,38' 9",1706.750,44,-2
42,0,21961,Charles Howell III,38' 9",3524.750,91,+7
42,0,27466,Spencer Levin,38' 9",3058.167,79,+8
46,0,07867,Woody Austin,38' 11",2530.667,65,+2
46,0,12716,Charley Hoffman,38' 11",2415.333,62,+10
46,0,24138,Ian Poulter,38' 11",1284.000,33,+7
49,0,08385,Omar Uresti,39' 0",1325.917,34,+4
50,0,28500,Martin Flores,39' 1",2148.667,55,+15
51,0,28087,Kris Blanks,39' 2",1841.167,47,+10
52,0,22122,Andrew McLardy,39' 3",1530.417,39,+5
53,0,28237,Rory McIlroy,39' 4",1494.250,38,+6
53,0,26287,Roland Thatcher,39' 4",1888.833,48,+5
53,0,23788,D.J. Trahan,39' 4",2673.667,68,+6
56,0,06522,Ernie Els,39' 5",2128.667,54,+2
57,0,26420,Richard Johnson,39' 6",1894.500,48,+15
57,0,20645,John Senden,39' 6",2174.250,55,+2
59,0,25686,Jason Dufner,39' 7",2019.417,51,+6
59,0,23307,Roger Tambellini,39' 7",1820.250,46,+15
59,0,27095,Nick Watney,39' 7",2453.667,62,+13
62,0,20472,Alex Cejka,39' 10",1792.167,45,+13
63,0,23638,Brendon de Jonge,39' 11",2274.833,57,+12
63,0,06527,Steve Stricker,39' 11",1915.167,48,+2
65,0,23135,Tim Clark,40' 0",1639.417,41,-1
65,0,29285,Brent Delahoussaye,40' 0",1678.750,42,+10
65,0,06251,Chris DiMarco,40' 0",1840.083,46,+9
68,0,20229,Stewart Cink,40' 1",2046.250,51,-2
68,0,08537,J.P. Hayes,40' 1",2243.333,56,+4
68,0,12705,Cliff Kresge,40' 1",1483.583,37,+6
71,0,24024,Zach Johnson,40' 2",1849.167,46,+2
72,0,23322,Brett Wetterich,40' 4",1451.833,36,+4
73,0,23108,Matt Kuchar,40' 5",1979.167,49,+7
74,0,23613,Rich Barcelo,40' 6",2349.333,58,+10
74,0,12602,Dean Wilson,40' 6",1094.167,27,+1
76,0,23541,Ben Crane,40' 7",1339.917,33,+10
77,0,01161,Mark Calcavecchia,40' 8",1179.167,29,+6
77,0,21753,Brian Davis,40' 8",2601.500,64,+7
77,0,21350,Ryuji Imada,40' 8",2401.333,59,+6
80,0,25364,Paul Casey,40' 9",1913.583,47,+4
81,0,27436,Graham DeLaet,40' 10",2287.000,56,+11
82,0,27770,Camilo Villegas,40' 11",2740.250,67,+17
83,0,08725,Tom Gillis,41' 0",2580.417,63,+13
83,0,26951,Johnson Wagner,41' 0",2418.000,59,+13
85,0,25190,Jeff Quinney,41' 1",1891.417,46,+3
