RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,08375,Paul Stankowski,12.35,340,42
2,0,25396,Kevin Na,10.72,429,46
3,0,06004,Stephen Ames,10.71,420,45
4,0,01329,Brad Faxon,10.60,283,30
5,0,24357,K.J. Choi,10.08,387,39
6,0,24024,Zach Johnson,10.05,428,43
7,0,28089,Jason Day,10.02,409,41
8,0,11123,Chris Couch,10.00,350,35
9,0,25364,Paul Casey,9.93,282,28
9,0,25720,Chad Collins,9.93,443,44
9,0,12714,Chris Tidland,9.93,433,43
12,0,28307,Matt Every,9.89,273,27
13,0,10885,Robert Allenby,9.84,366,36
14,0,28237,Rory McIlroy,9.71,206,20
15,0,25562,Andres Romero,9.69,423,41
16,0,25345,Carl Pettersson,9.56,481,46
17,0,23800,Bryce Molder,9.52,441,42
18,0,27797,Derek Lamely,9.47,380,36
18,0,12602,Dean Wilson,9.47,285,27
20,0,06515,Shaun Micheel,9.39,330,31
21,0,01249,John Daly,9.38,256,24
21,0,26420,Richard Johnson,9.38,480,45
23,0,24663,Y.E. Yang,9.34,332,31
24,0,06527,Steve Stricker,9.24,314,29
25,0,24507,Jason Bohn,9.16,415,38
25,0,23541,Ben Crane,9.16,404,37
27,0,21731,Freddie Jacobson,9.15,459,42
27,0,32640,Troy Merritt,9.15,470,43
27,0,26289,Boo Weekley,9.15,470,43
30,0,20070,Matt Bettencourt,9.14,361,33
31,0,20766,Padraig Harrington,9.13,230,21
32,0,24502,Adam Scott,9.12,285,26
33,0,26951,Johnson Wagner,9.09,473,43
34,0,28475,Jeff Overton,9.07,408,37
35,0,25818,Scott Piercy,8.84,475,42
36,0,29910,Blake Adams,8.80,500,44
37,0,31560,Brian Stuard,8.76,411,36
38,0,25190,Jeff Quinney,8.73,424,37
39,0,20229,Stewart Cink,8.66,404,35
40,0,08725,Tom Gillis,8.65,532,46
40,0,23621,Rory Sabbatini,8.65,370,32
42,0,27613,David Lutterus,8.59,326,28
43,0,19846,Brian Gay,8.47,425,36
44,0,30925,Dustin Johnson,8.45,367,31
45,0,26882,Michael Sim,8.44,320,27
46,0,22405,Justin Rose,8.42,404,34
47,0,20160,Charlie Wi,8.41,511,43
48,0,08537,J.P. Hayes,8.40,369,31
48,0,02206,David Toms,8.40,393,33
50,0,23673,Michael Connell,8.37,430,36
51,0,09011,David Duval,8.36,311,26
52,0,07749,Brett Quigley,8.35,575,48
53,0,22371,Aaron Baddeley,8.33,504,42
53,0,01161,Mark Calcavecchia,8.33,180,15
53,0,32617,Jerod Turner,8.33,216,18
56,0,27770,Camilo Villegas,8.31,301,25
57,0,12782,Tim Herron,8.27,423,35
58,0,23325,Vaughn Taylor,8.21,475,39
59,0,23320,Ryan Palmer,8.18,391,32
60,0,24912,Will MacKenzie,8.11,407,33
61,0,29285,Brent Delahoussaye,8.10,284,23
62,0,27436,Graham DeLaet,8.04,485,39
63,0,20593,Greg Chalmers,8.02,536,43
64,0,23983,Luke Donald,7.97,301,24
65,0,26300,Matt Jones,7.95,503,40
66,0,29221,Webb Simpson,7.92,543,43
67,0,23548,Bill Lunde,7.90,443,35
68,0,12652,Cameron Beckman,7.89,355,28
69,0,23613,Rich Barcelo,7.88,330,26
70,0,20686,Jeev Milkha Singh,7.85,293,23
71,0,26679,Kevin Stadler,7.84,421,33
71,0,21878,Mark Wilson,7.84,510,40
73,0,01941,Tom Pernice Jr.,7.83,345,27
74,0,22378,Trevor Immelman,7.81,256,20
75,0,33419,Cameron Tringale,7.72,285,22
76,0,06251,Chris DiMarco,7.69,429,33
